,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,62982,93448,1685,Y,,,2912,,,,90,,90,0.80357143,0,0.80357143,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-01-23 08:00,2013-02-05 17:00,2013-01-23 08:00,2013-02-05 17:00,2013-04-15 08:00,2013-04-28 17:00,N,,,,N,WfBV1qg2hkmYRvy08NNkhg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:04,,
1,62983,93454,1685,Y,,,2912,,,,160,,160,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-12-03 08:00,2012-12-22 17:00,2012-12-03 08:00,2012-12-22 17:00,2013-02-15 08:00,2013-03-06 17:00,Y,,,,N,QOitlMmafE6cQ9e6zOfLEQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
2,62984,93460,1685,Y,,,2912,,,,27,,27,0.675,0,0.675,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-04-02 08:00,2013-04-06 17:00,2013-04-02 08:00,2013-04-06 17:00,2013-05-18 08:00,2013-05-22 17:00,Y,,,,N,TZ2y7ioQ4EqlzRI5gRLViw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
3,62985,93537,1685,Y,,,2912,,,,61,,61,0.38125,0,0.38125,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-02-11 08:00,2013-03-02 17:00,2013-02-11 08:00,2013-03-02 17:00,2013-04-21 08:00,2013-05-10 17:00,Y,,,,N,24JVb5GjVUG7dGLhojs4ig,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
4,62986,93472,1685,Y,,,2912,,,,1377,,1377,5.7375,0,5.7375,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-01-04 08:00,2013-02-02 17:00,2013-01-04 08:00,2013-02-02 17:00,2013-02-19 08:00,2013-03-20 17:00,Y,,,,N,88IYa72fek27m/hlACOBgQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
5,62987,93442,1685,Y,,,2912,,,,140,,140,0.58333333,0,0.58333333,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-12-20 08:00,2013-01-18 17:00,2012-12-20 08:00,2013-01-18 17:00,2013-02-16 08:00,2013-03-17 17:00,Y,,,,N,GYjfi2izikC5y/aDApFKWQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
6,62988,93430,1685,Y,,,2912,,,,100,,100,0.625,0,0.625,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-01-28 08:00,2013-02-16 17:00,2013-01-28 08:00,2013-02-16 17:00,2013-04-26 08:00,2013-05-15 17:00,Y,,,,N,xRkhNKJfZ0KM/U7coHLdrQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
7,62989,93466,1685,Y,,,2912,,,,109,,109,0.68125,0,0.68125,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-10-24 08:00,2012-11-12 17:00,2012-10-24 08:00,2012-11-12 17:00,2012-12-16 08:00,2013-01-04 17:00,Y,,,,N,IouXcE2jEU+eKo4/AJp1Gw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
8,62990,93478,1685,Y,,,2912,,,,600,,600,3,0,3,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-11-08 08:00,2012-12-02 17:00,2012-11-08 08:00,2012-12-02 17:00,2013-02-17 08:00,2013-03-13 17:00,Y,,,,N,N3dUqanVPEe5t0khC1oydQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
9,62991,93484,1685,Y,,,2912,,,,220,,220,1.375,0,1.375,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-12-21 08:00,2013-01-09 17:00,2012-12-21 08:00,2013-01-09 17:00,2013-03-18 08:00,2013-04-06 17:00,Y,,,,N,MdiNLAozxU66tUYcH/+ONw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-03-07 11:06,,
