,task_id,actv_code_type_id,actv_code_id,proj_id
0,89746,7310,13210,785
1,89746,7311,13213,785
2,89746,7312,13217,785
3,89747,7310,13210,785
4,89747,7311,13213,785
5,89747,7312,13217,785
6,89748,7310,13210,785
7,89748,7311,13220,785
8,89749,7310,13210,785
9,89749,7311,13213,785
10,89749,7312,13217,785
11,89750,7310,13210,785
12,89750,7311,13213,785
13,89750,7312,13218,785
14,89751,7310,13210,785
15,89751,7311,13213,785
16,89751,7312,13218,785
17,89752,7310,13210,785
18,89752,7311,13215,785
19,89752,7312,13218,785
20,89753,7310,13210,785
21,89753,7311,13215,785
22,89754,7310,13210,785
23,89754,7311,13213,785
24,89754,7312,13219,785
25,89755,7310,13210,785
26,89755,7311,13213,785
27,89755,7312,13219,785
28,89756,7310,13210,785
29,89756,7311,13220,785
30,89757,7310,13210,785
31,89757,7311,13213,785
32,89757,7312,13219,785
33,89758,7310,13210,785
34,89758,7311,13215,785
35,89759,7310,13210,785
36,89759,7311,13215,785
37,89773,7310,13210,785
38,89773,7311,13213,785
39,89773,7312,13217,785
40,89774,7310,13210,785
41,89774,7311,13213,785
42,89774,7312,13217,785
43,89775,7310,13210,785
44,89775,7311,13220,785
45,89776,7310,13210,785
46,89776,7311,13213,785
47,89776,7312,13217,785
48,89777,7310,13210,785
49,89777,7311,13213,785
50,89777,7312,13218,785
51,89778,7310,13210,785
52,89778,7311,13213,785
53,89778,7312,13218,785
54,89779,7310,13210,785
55,89779,7311,13213,785
56,89779,7312,13218,785
57,89780,7310,13210,785
58,89780,7311,13215,785
59,89781,7310,13210,785
60,89781,7311,13213,785
61,89781,7312,13219,785
62,89782,7310,13210,785
63,89782,7311,13213,785
64,89782,7312,13219,785
65,89783,7310,13210,785
66,89783,7311,13220,785
67,89784,7310,13210,785
68,89784,7311,13213,785
69,89784,7312,13219,785
70,89785,7310,13210,785
71,89785,7311,13215,785
72,89786,7310,13210,785
73,89786,7311,13215,785
74,89793,7310,13210,785
75,89793,7311,13213,785
76,89793,7312,13217,785
77,89794,7310,13210,785
78,89794,7311,13213,785
79,89794,7312,13217,785
80,89795,7310,13210,785
81,89795,7311,13220,785
82,89796,7310,13210,785
83,89796,7311,13213,785
84,89796,7312,13217,785
85,89797,7310,13210,785
86,89797,7311,13213,785
87,89797,7312,13218,785
88,89798,7310,13210,785
89,89798,7311,13213,785
90,89798,7312,13218,785
91,89799,7310,13210,785
92,89799,7311,13213,785
93,89799,7312,13218,785
94,89800,7310,13210,785
95,89800,7311,13215,785
96,89801,7310,13210,785
97,89801,7311,13213,785
98,89801,7312,13219,785
99,89802,7310,13210,785
100,89802,7311,13213,785
101,89802,7312,13219,785
102,89803,7310,13210,785
103,89803,7311,13220,785
104,89804,7310,13210,785
105,89804,7311,13213,785
106,89804,7312,13219,785
107,89805,7310,13210,785
