,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,54951,89778,785,Y,,,2117,,,,480,,480,15,,0,15,0,,0,0,,0,0,0,0,0,,,2010-08-17 08:00,2010-08-21 16:00,2010-08-17 08:00,2010-08-21 16:00,2010-09-07 08:00,2010-09-11 16:00,Y,,,,N,qEWSQLWDj0+KkNsIvJWpXg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-17 08:00,2010-08-21 16:00,32,,
1,54954,89782,785,Y,,,2117,,,,360,,360,15,,0,15,0,,0,0,,0,0,0,0,0,,,2010-09-26 08:00,2010-09-28 16:00,2010-09-26 08:00,2010-09-28 16:00,2010-09-26 08:00,2010-09-28 16:00,Y,,,,N,xxKR6vuNyUm4rgFA5/NjYA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-09-26 08:00,2010-09-28 16:00,24,,
2,54957,89747,785,Y,,,2117,,,,2080,,2080,37.14285714,,0,37.14285714,0,,0,0,,0,0,0,0,0,,,2010-07-15 08:00,2010-07-22 16:00,2010-07-15 08:00,2010-07-22 16:00,2010-07-17 08:00,2010-07-24 16:00,Y,,,,N,XqkF3EJAekme2loQL4sjZA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-07-15 08:00,2010-07-22 16:00,56,,
3,54962,89751,785,Y,,,2117,,,,1440,,1440,60,,0,60,0,,0,0,,0,0,0,0,0,,,2010-08-02 08:00,2010-08-04 16:00,2010-08-02 08:00,2010-08-04 16:00,2010-08-02 08:00,2010-08-04 16:00,Y,,,,N,QJxtUjFNx0+mUEBJhj4+zA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-02 08:00,2010-08-04 16:00,24,,
4,54968,89794,785,Y,,,2117,,,,704,,704,17.6,,0,17.6,0,,0,0,,0,0,0,0,0,,,2010-07-15 08:00,2010-07-20 16:00,2010-07-15 08:00,2010-07-20 16:00,2010-07-22 08:00,2010-07-27 16:00,Y,,,,N,GYY6ULlK302thAohJs4Slg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-07-15 08:00,2010-07-20 16:00,40,,
5,54973,89798,785,Y,,,2117,,,,480,,480,15,,0,15,0,,0,0,,0,0,0,0,0,,,2010-08-02 08:00,2010-08-05 16:00,2010-08-02 08:00,2010-08-05 16:00,2010-08-07 08:00,2010-08-10 16:00,Y,,,,N,p/4JUBAULEWDrv7eQOHTlw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-02 08:00,2010-08-05 16:00,32,,
6,54976,89802,785,Y,,,2117,,,,360,,360,9,,0,9,0,,0,0,,0,0,0,0,0,,,2010-08-16 08:00,2010-08-21 16:00,2010-08-16 08:00,2010-08-21 16:00,2010-08-21 08:00,2010-08-25 16:00,Y,,,,N,wOZYYeiAg0+cbjEL7FT9UA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-16 08:00,2010-08-21 16:00,40,,
7,54979,89824,785,Y,,,2117,,,,704,,704,17.6,,0,17.6,0,,0,0,,0,0,0,0,0,,,2010-07-26 08:00,2010-07-31 16:00,2010-07-26 08:00,2010-07-31 16:00,2010-08-04 08:00,2010-08-09 16:00,Y,,,,N,IHd+ygz550u6mxvJz7NY+A,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-07-26 08:00,2010-07-31 16:00,40,,
8,54982,89828,785,Y,,,2117,,,,480,,480,15,,0,15,0,,0,0,,0,0,0,0,0,,,2010-08-14 08:00,2010-08-17 16:00,2010-08-14 08:00,2010-08-17 16:00,2010-08-25 08:00,2010-08-29 16:00,Y,,,,N,Li7q1+ssi0OeyKfs+x0J+A,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-14 08:00,2010-08-17 16:00,32,,
9,54986,89832,785,Y,,,2117,,,,360,,360,11.25,,0,11.25,0,,0,0,,0,0,0,0,0,,,2010-09-04 08:00,2010-09-07 16:00,2010-09-04 08:00,2010-09-07 16:00,2010-09-08 08:00,2010-09-12 16:00,Y,,,,N,AZMDSOZfXkSfbuChDrkopg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-09-04 08:00,2010-09-07 16:00,32,,
10,54990,89811,785,Y,,,2117,,,,2080,,2080,37.14285714,,0,37.14285714,0,,0,0,,0,0,0,0,0,,,2010-07-26 08:00,2010-08-02 16:00,2010-07-26 08:00,2010-08-02 16:00,2010-08-04 08:00,2010-08-11 16:00,Y,,,,N,uAdZCgI7IEqdRF7wNy2ifg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-07-26 08:00,2010-08-02 16:00,56,,
11,54993,89815,785,Y,,,2117,,,,1440,,1440,30,,0,30,0,,0,0,,0,0,0,0,0,,,2010-08-09 08:00,2010-08-15 16:00,2010-08-09 08:00,2010-08-15 16:00,2010-08-21 08:00,2010-08-26 16:00,Y,,,,N,9x3+CYIikEi3KQzRBxfXJQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-09 08:00,2010-08-15 16:00,48,,
12,54995,89818,785,Y,,,2117,,,,1080,,1080,22.5,,0,22.5,0,,0,0,,0,0,0,0,0,,,2010-09-08 08:00,2010-09-14 16:00,2010-09-08 08:00,2010-09-14 16:00,2010-09-08 08:00,2010-09-14 16:00,Y,,,,N,Px7VRFWYKkSacGOVnar4sw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-09-08 08:00,2010-09-14 16:00,48,,
13,54999,89838,785,Y,,,2117,,,,704,,704,11,,0,11,0,,0,0,,0,0,0,0,0,,,2010-08-02 08:00,2010-08-10 16:00,2010-08-02 08:00,2010-08-10 16:00,2010-08-03 08:00,2010-08-11 16:00,Y,,,,N,DkhygaxSGESi2JwOLNWYHw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-02 08:00,2010-08-10 16:00,64,,
14,55002,89842,785,Y,,,2117,,,,480,,480,10,,0,10,0,,0,0,,0,0,0,0,0,,,2010-08-16 08:00,2010-08-22 16:00,2010-08-16 08:00,2010-08-22 16:00,2010-08-19 08:00,2010-08-25 16:00,Y,,,,N,bsnleB/1DE+4JezbJ/BPng,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-16 08:00,2010-08-22 16:00,48,,
15,55006,89846,785,Y,,,2117,,,,360,,360,9,,0,9,0,,0,0,,0,0,0,0,0,,,2010-09-23 08:00,2010-09-28 16:00,2010-09-23 08:00,2010-09-28 16:00,2010-09-28 08:00,2010-10-03 16:00,Y,,,,N,lcdPCHHK/0qvk3nlt9JsQw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-09-23 08:00,2010-09-28 16:00,40,,
16,55011,89852,785,Y,,,2117,,,,120,,120,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-07-22 08:00,2010-07-25 16:00,2010-07-22 08:00,2010-07-25 16:00,2010-07-29 08:00,2010-08-01 16:00,Y,,,,N,fmRj+nJfOUSZTdJNA3/fQA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-07-22 08:00,2010-07-25 16:00,24,,
17,55014,89855,785,Y,,,2117,,,,120,,120,2.5,,0,2.5,0,,0,0,,0,0,0,0,0,,,2010-08-05 08:00,2010-08-11 16:00,2010-08-05 08:00,2010-08-11 16:00,2010-08-12 08:00,2010-08-18 16:00,Y,,,,N,iMsgvR4h2k6rExWt+d4YrA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-05 08:00,2010-08-11 16:00,48,,
18,55017,89858,785,Y,,,2117,,,,160,,160,3.33333333,,0,3.33333333,0,,0,0,,0,0,0,0,0,,,2010-08-25 08:00,2010-08-31 16:00,2010-08-25 08:00,2010-08-31 16:00,2010-09-01 08:00,2010-09-07 16:00,Y,,,,N,/ahMbrP3nU6+0GsCk0YZCQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 13:19,2010-08-25 08:00,2010-08-31 16:00,48,,
19,55020,89773,785,Y,,,2118,,,,96,,96,2,,0,2,0,,0,0,,0,0,0,0,0,,,2010-07-31 08:00,2010-08-05 16:00,2010-07-31 08:00,2010-08-05 16:00,2010-08-18 08:00,2010-08-24 16:00,Y,,,,N,3cQCKRxOxEu7s77aBREccQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:39,2010-07-31 08:00,2010-08-05 16:00,48,,
20,55022,89776,785,Y,,,2120,,,,56,,56,7,,0,7,0,,0,0,,0,0,0,0,0,,,2010-08-08 08:00,2010-08-08 16:00,2010-08-08 08:00,2010-08-08 16:00,2010-08-26 08:00,2010-08-26 16:00,Y,,,,N,JuwL34b95UGmvPbPJRiofQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:40,2010-08-08 08:00,2010-08-08 16:00,8,,
21,55023,89774,785,Y,,,2117,,,,704,,704,17.6,,0,17.6,0,,0,0,,0,0,0,0,0,,,2010-08-02 08:00,2010-08-07 16:00,2010-08-02 08:00,2010-08-07 16:00,2010-08-21 08:00,2010-08-25 16:00,Y,,,,N,2CDaiFMmxEOPJDDAAqYBJA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:46,2010-08-02 08:00,2010-08-07 16:00,40,,
22,55024,89777,785,Y,,,2118,,,,480,,480,7.5,,0,7.5,0,,0,0,,0,0,0,0,0,,,2010-08-15 08:00,2010-08-23 16:00,2010-08-15 08:00,2010-08-23 16:00,2010-09-02 08:00,2010-09-11 16:00,Y,,,,N,XzwBkAP2T02GCGEVDlltpA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:47,2010-08-15 08:00,2010-08-23 16:00,64,,
23,55025,89779,785,Y,,,2120,,,,32,,32,4,,0,4,0,,0,0,,0,0,0,0,0,,,2010-08-24 08:00,2010-08-24 16:00,2010-08-24 08:00,2010-08-24 16:00,2010-09-12 08:00,2010-09-12 16:00,Y,,,,N,mFInIT3tW0SJg9pDD0X+ZA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:47,2010-08-24 08:00,2010-08-24 16:00,8,,
24,55026,89781,785,Y,,,2118,,,,960,,960,20,,0,20,0,,0,0,,0,0,0,0,0,,,2010-09-21 08:00,2010-09-27 16:00,2010-09-21 08:00,2010-09-27 16:00,2010-09-21 08:00,2010-09-27 16:00,Y,,,,N,Qh36HUmdmkOp7jx4NLX3hw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:48,2010-09-21 08:00,2010-09-27 16:00,48,,
25,55027,89784,785,Y,,,2120,,,,32,,32,4,,0,4,0,,0,0,,0,0,0,0,0,,,2010-09-29 08:00,2010-09-29 16:00,2010-09-29 08:00,2010-09-29 16:00,2010-09-29 08:00,2010-09-29 16:00,Y,,,,N,TTPz/iIZSEm5Cg312fp1TQ,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:49,2010-09-29 08:00,2010-09-29 16:00,8,,
26,55028,89780,785,Y,,,2121,,,,80,,80,2.5,,0,2.5,0,,0,0,,0,0,0,0,0,,,2010-08-28 08:00,2010-08-31 16:00,2010-08-28 08:00,2010-08-31 16:00,2010-09-19 08:00,2010-09-22 16:00,Y,,,,N,4VVBumV/PEyDM3jU+QKF2w,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:49,2010-08-28 08:00,2010-08-31 16:00,32,,
27,55029,89785,785,Y,,,2121,,,,320,,320,10,,0,10,0,,0,0,,0,0,0,0,0,,,2010-08-26 08:00,2010-08-30 16:00,2010-08-26 08:00,2010-08-30 16:00,2010-09-14 08:00,2010-09-18 16:00,Y,,,,N,jmw4WHCgLE2EZ4+QqMbVqw,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:50,2010-08-26 08:00,2010-08-30 16:00,32,,
28,55030,89786,785,Y,,,2121,,,,320,,320,10,,0,10,0,,0,0,,0,0,0,0,0,,,2010-08-31 08:00,2010-09-04 16:00,2010-08-31 08:00,2010-09-04 16:00,2010-09-19 08:00,2010-09-22 16:00,Y,,,,N,vDITfh3Cp0OPpAvLDNoC1w,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:51,2010-08-31 08:00,2010-09-04 16:00,32,,
29,55031,89754,785,Y,,,2118,,,,2880,,2880,36,,0,36,0,,0,0,,0,0,0,0,0,,,2010-08-08 08:00,2010-08-18 16:00,2010-08-08 08:00,2010-08-18 16:00,2010-08-08 08:00,2010-08-18 16:00,Y,,,,N,+HY8RMxDyU+ih0lBLgahVg,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:52,2010-08-08 08:00,2010-08-18 16:00,80,,
30,55032,89755,785,Y,,,2117,,,,1080,,1080,22.5,,0,22.5,0,,0,0,,0,0,0,0,0,,,2010-08-17 08:00,2010-08-23 16:00,2010-08-17 08:00,2010-08-23 16:00,2010-08-17 08:00,2010-08-23 16:00,Y,,,,N,cUjhUEkAl0aDle/I0+xMeA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:53,2010-08-17 08:00,2010-08-23 16:00,48,,
31,55033,89757,785,Y,,,2120,,,,96,,96,12,,0,12,0,,0,0,,0,0,0,0,0,,,2010-08-24 08:00,2010-08-24 16:00,2010-08-24 08:00,2010-08-24 16:00,2010-08-24 08:00,2010-08-24 16:00,Y,,,,N,EnYE7VIiakeLCqThXVSXyA,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:53,2010-08-24 08:00,2010-08-24 16:00,8,,
32,55034,89753,785,Y,,,2121,,,,240,,240,5,,0,5,0,,0,0,,0,0,0,0,0,,,2010-08-09 08:00,2010-08-15 16:00,2010-08-09 08:00,2010-08-15 16:00,2010-09-16 08:00,2010-09-22 16:00,Y,,,,N,nFy6Ou6JgEWMP3nTDGMJ/g,COST_PER_QTY,0,0,,RT_Labor,ST_Rsrc,admin,2010-08-08 14:53,2010-08-09 08:00,2010-08-15 16:00,48,,
