,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,18726,3413,565,802,1,Y,N,WS_Open,PHASE-2-REV-2,Beyti PHASE-2,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DqEMQWLxQ0GsC4NCkO/+2A,,
1,18727,3413,565,1,1,N,N,WS_Open,Procurement,Procurement,,18726,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rc6FXdikThS+Hj7rKJrovg,,
2,18728,3413,565,7,1,N,N,WS_Open,Procurement,Purchase order,,18727,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,S+xffhjNQJW3+AVo1h8NTg,,
3,18729,3413,565,107,1,N,N,WS_Open,Delivery date,Delivery date,,18727,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Gf86KCQlR1epKliNSqnN3w,,
4,18730,3413,565,0,1,N,N,WS_Open,BEYTI-REV A,Project Milestones & key dates,,18726,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,T4YSafqTQqCWu8XJDAhUKg,L63wXJZpcEiRK58PCuuzwQ,
5,18731,3413,565,11,1,N,N,WS_Open,7,Construction,,18726,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,dgVsJw1lTX2SPjuizpcN/A,,
6,18732,3413,565,6,1,N,N,WS_Open,2,Pet Filling Line,,18731,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FKHLKCiaTVO2I0QusyqeyQ,t3kTuzGKbEym9yaHf4ASdA,
7,18733,3413,565,106,1,N,N,WS_Open,1,zone-2 (b30 to b313)-stroage area,,18732,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ciBf8D8AS72STpPohJUpDQ,,
8,18734,3413,565,204,1,N,N,WS_Open,2,Arch works,,18733,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/bKfzjprS5m9l16yRG/drw,,
9,18735,3413,565,104,1,N,N,WS_Open,1,Civil works,,18733,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ZWckWgKoRLy5+CCQBEnsJg,,
10,18736,3413,565,104,1,N,N,WS_Open,2,zone-1 (b314 to b325) processing area,,18732,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,bYFsJGSiTbm4KiA7u/nX0w,,
11,18737,3413,565,104,1,N,N,WS_Open,2,Civil works,,18736,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CiylQjLUQm21Sjnb9EQXUw,,
12,18738,3413,565,304,1,N,N,WS_Open,3,Arch works,,18736,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,uXMz/MDfSbaCOC7GJLau9A,,
13,18739,3413,565,9,1,N,N,WS_Open,Engineering,Engineering,,18726,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,12ULVzSvKkKi7f1LFXJe3w,lYD0tnpTRp2KtybuplxFeg,
14,18740,3413,565,0,1,N,N,WS_Open,12,Shop drawings,,18739,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xjPvvHNvk0GJhGQQ1LXz1A,e4iPR3+KS6O4iWCrUOz0GA,
15,18741,3413,565,100,1,N,N,WS_Open,14,Submittal,,18740,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CxW04/Qke0eWqsHAGnxO2Q,cliy+XRaRpuQHu3ADUF8ZQ,
16,18742,3413,565,200,1,N,N,WS_Open,15,Approval,,18740,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,YHdQ+3+UIkyLFzYeuxluUA,L8jYBO2nSri+i2fq04d5/g,
