,task_id,actv_code_type_id,actv_code_id,proj_id
0,123386,7250,12729,3413
1,123387,7250,12730,3413
2,123388,7250,12730,3413
3,123389,7250,12729,3413
4,123391,7250,12729,3413
5,123392,7250,12728,3413
6,123393,7250,12728,3413
7,123395,7250,12729,3413
8,123396,7250,12730,3413
9,123397,7250,12729,3413
10,123398,7250,12729,3413
11,123399,7250,12730,3413
12,123400,7250,12730,3413
13,123401,7250,12729,3413
14,123412,7250,12729,3413
15,123412,7251,12732,3413
16,123412,7252,12736,3413
17,123413,7250,12729,3413
18,123413,7251,12732,3413
19,123413,7252,12736,3413
20,123416,7250,12729,3413
21,123416,7251,12732,3413
22,123416,7252,12736,3413
23,123417,7250,12729,3413
24,123417,7251,12732,3413
25,123417,7252,12736,3413
26,123418,7250,12729,3413
27,123418,7251,12734,3413
28,123418,7252,12736,3413
29,123419,7250,12729,3413
30,123419,7251,12732,3413
31,123419,7252,12736,3413
32,123420,7250,12737,3413
33,123420,7251,12732,3413
34,123420,7252,12736,3413
35,123421,7250,12729,3413
36,123421,7251,12732,3413
37,123421,7252,12736,3413
38,123422,7250,12737,3413
39,123422,7251,12732,3413
40,123422,7252,12736,3413
41,123423,7250,12729,3413
42,123423,7251,12732,3413
43,123423,7252,12736,3413
44,123424,7250,12729,3413
45,123424,7251,12732,3413
46,123424,7252,12736,3413
47,123425,7250,12729,3413
48,123425,7251,12732,3413
49,123425,7252,12736,3413
50,123426,7250,12729,3413
51,123426,7251,12732,3413
52,123426,7252,12736,3413
53,123427,7250,12729,3413
54,123427,7251,12732,3413
55,123427,7252,12736,3413
56,123431,7250,12728,3413
57,123431,7251,12732,3413
58,123431,7252,12736,3413
59,123432,7250,12728,3413
60,123432,7251,12732,3413
61,123432,7252,12736,3413
62,123433,7250,12728,3413
63,123433,7251,12734,3413
64,123433,7252,12736,3413
65,123434,7250,12728,3413
66,123434,7251,12731,3413
67,123434,7252,12736,3413
68,123435,7250,12728,3413
69,123435,7251,12731,3413
70,123435,7252,12736,3413
71,123436,7250,12728,3413
72,123436,7251,12731,3413
73,123436,7252,12736,3413
74,123437,7250,12728,3413
75,123437,7251,12731,3413
76,123437,7252,12736,3413
77,123438,7250,12728,3413
78,123438,7251,12731,3413
79,123438,7252,12736,3413
80,123439,7250,12728,3413
81,123439,7251,12732,3413
82,123439,7252,12736,3413
83,123440,7250,12728,3413
84,123440,7251,12732,3413
85,123440,7252,12736,3413
86,123441,7250,12728,3413
87,123441,7251,12732,3413
88,123441,7252,12736,3413
89,123442,7250,12728,3413
90,123442,7251,12732,3413
91,123442,7252,12736,3413
92,123443,7250,12728,3413
93,123443,7251,12731,3413
94,123443,7252,12736,3413
95,123444,7250,12728,3413
96,123444,7251,12732,3413
97,123444,7252,12736,3413
98,123445,7250,12728,3413
99,123445,7251,12732,3413
100,123445,7252,12736,3413
101,123454,7250,12728,3413
102,123454,7251,12732,3413
103,123454,7252,12735,3413
104,123455,7250,12728,3413
105,123455,7251,12732,3413
106,123455,7252,12735,3413
107,123456,7250,12728,3413
108,123456,7251,12732,3413
109,123456,7252,12735,3413
110,123457,7250,12728,3413
111,123457,7251,12731,3413
112,123457,7252,12735,3413
113,123458,7250,12728,3413
114,123458,7251,12731,3413
115,123458,7252,12735,3413
116,123459,7250,12728,3413
117,123459,7251,12731,3413
118,123459,7252,12735,3413
119,123460,7250,12728,3413
120,123460,7251,12731,3413
121,123460,7252,12735,3413
122,123461,7250,12728,3413
123,123461,7251,12731,3413
124,123461,7252,12735,3413
125,123463,7250,12728,3413
126,123463,7251,12732,3413
127,123463,7252,12735,3413
128,123464,7250,12728,3413
129,123464,7251,12732,3413
130,123464,7252,12735,3413
131,123465,7250,12728,3413
132,123465,7251,12731,3413
133,123465,7252,12735,3413
134,123466,7250,12728,3413
