,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,160848,123494,123400,3413,3413,PR_FS,0,,2012-11-28 08:00,2012-12-24 08:00
1,160850,123420,123412,3413,3413,PR_FF,24,,2012-09-08 08:00,2012-12-10 08:00
2,160851,123416,123420,3413,3413,PR_FS,0,,2012-11-27 16:00,2012-12-18 08:00
3,160852,123419,123421,3413,3413,PR_SS,0,,2012-11-28 08:00,2012-12-15 08:00
4,160853,123426,123421,3413,3413,PR_FS,0,,2012-12-03 16:00,2012-12-24 08:00
5,160854,123437,123436,3413,3413,PR_SS,32,,2012-06-07 16:00,2012-06-20 08:00
6,160855,123412,123439,3413,3413,PR_SS,56,,2012-09-03 16:00,2012-10-01 08:00
7,160856,123471,123454,3413,3413,PR_SS,112,,2012-09-09 16:00,2012-07-26 08:00
8,160857,123480,123464,3413,3413,PR_FS,0,,2012-12-01 16:00,2012-12-05 08:00
9,160858,123496,123464,3413,3413,PR_FS,56,,2012-12-09 16:00,2012-12-02 08:00
10,160859,123455,123464,3413,3413,PR_SS,0,,2012-11-15 08:00,2012-12-05 08:00
11,160860,123486,123467,3413,3413,PR_FS,0,,2012-12-17 16:00,2012-12-27 08:00
12,160861,123470,123468,3413,3413,PR_FS,0,,2012-10-07 16:00,2012-12-01 08:00
13,160863,123486,123484,3413,3413,PR_FS,0,,2012-10-21 16:00,2012-12-27 08:00
14,160864,123471,123491,3413,3413,PR_FF,8,,2012-09-10 08:00,2012-09-25 08:00
15,160867,123439,123393,3413,3413,PR_FS,0,,2012-08-17 16:00,2012-09-24 08:00
16,160868,123454,123393,3413,3413,PR_FS,0,,2012-08-17 16:00,2012-08-25 08:00
17,160869,123490,123396,3413,3413,PR_FS,0,,2012-05-15 08:00,2012-12-16 08:00
18,160870,123467,123401,3413,3413,PR_FS,0,,2012-11-05 08:00,2012-12-11 08:00
19,160871,123418,123422,3413,3413,PR_SS,0,,2012-09-10 08:00,2012-11-25 08:00
20,160872,123407,123425,3413,3413,PR_FS,0,,2012-12-22 16:00,2012-12-29 16:00
21,160873,123406,123425,3413,3413,PR_FS,0,,2012-12-22 16:00,2012-12-29 16:00
22,160875,123436,123435,3413,3413,PR_FS,0,,2012-06-03 16:00,2012-07-02 08:00
23,160876,123432,123439,3413,3413,PR_FS,0,,2012-09-18 16:00,2012-10-17 08:00
24,160878,123441,123445,3413,3413,PR_FS,0,,2012-09-24 16:00,2012-11-03 08:00
25,160880,123450,123449,3413,3413,PR_SS,16,,2012-09-27 16:00,2012-09-24 08:00
26,160882,123459,123458,3413,3413,PR_FS,0,,2012-06-06 16:00,2012-06-09 08:00
27,160884,123476,123466,3413,3413,PR_SS,0,,2012-10-22 08:00,2012-10-16 08:00
28,160885,123407,123487,3413,3413,PR_FS,0,,2012-12-29 16:00,2012-12-29 16:00
29,160886,123486,123490,3413,3413,PR_FS,0,,2012-11-10 16:00,2012-12-27 08:00
30,160887,123471,123491,3413,3413,PR_SS,8,,2012-09-02 16:00,2012-08-11 08:00
31,160888,123486,123492,3413,3413,PR_FS,0,,2012-12-26 16:00,2012-12-27 08:00
32,160889,123486,123495,3413,3413,PR_FS,0,,2012-12-12 16:00,2012-12-27 08:00
33,160890,123486,123496,3413,3413,PR_FS,0,,2012-12-26 16:00,2012-12-27 08:00
34,160891,123497,123498,3413,3413,PR_FS,0,,2012-11-28 16:00,2012-12-13 08:00
35,160892,123479,123498,3413,3413,PR_FS,0,,2012-11-28 16:00,2012-12-24 08:00
36,160893,123468,123501,3413,3413,PR_FS,0,,2012-09-17 16:00,2012-11-19 08:00
37,160895,123420,123395,3413,3413,PR_FS,0,,2012-11-05 08:00,2012-11-20 08:00
38,160896,123495,123397,3413,3413,PR_FS,0,,2012-11-28 08:00,2012-12-17 08:00
39,160897,123423,123399,3413,3413,PR_FS,0,,2012-11-22 08:00,2012-12-16 08:00
40,160898,123421,123400,3413,3413,PR_FS,0,,2012-11-28 08:00,2012-12-18 08:00
41,160899,123409,123406,3413,3413,PR_FS,0,,2012-12-29 16:00,2012-12-29 16:00
42,160900,123402,123410,3413,3413,PR_FS,0,,2012-05-15 08:00,2012-05-15 08:00
43,160902,123457,123411,3413,3413,PR_FS,0,,2012-05-15 08:00,2012-05-16 08:00
44,160905,123421,123420,3413,3413,PR_FS,0,,2012-11-27 16:00,2012-12-18 08:00
45,160906,123418,123422,3413,3413,PR_FF,0,,2012-09-22 08:00,2012-12-29 16:00
46,160907,123444,123442,3413,3413,PR_FF,0,,2012-10-21 08:00,2012-12-23 16:00
47,160908,123413,123442,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-18 08:00
48,160909,123439,123443,3413,3413,PR_FS,0,,2012-07-07 16:00,2012-09-24 08:00
49,160911,123491,123454,3413,3413,PR_SS,56,,2012-09-01 16:00,2012-07-26 08:00
50,160912,123456,123464,3413,3413,PR_FF,0,,2012-11-24 08:00,2012-12-26 16:00
51,160913,123473,123464,3413,3413,PR_FS,0,,2012-12-01 16:00,2012-12-11 08:00
52,160914,123495,123464,3413,3413,PR_FS,0,,2012-12-01 16:00,2012-12-17 08:00
53,160915,123481,123471,3413,3413,PR_FF,8,,2012-08-29 08:00,2012-12-26 08:00
54,160916,123454,123474,3413,3413,PR_FS,0,,2012-07-07 16:00,2012-08-25 08:00
55,160917,123486,123479,3413,3413,PR_FF,0,,2012-12-05 08:00,2012-12-27 16:00
56,160919,123492,123496,3413,3413,PR_FF,0,,2012-12-22 08:00,2012-12-26 16:00
57,160921,123480,123500,3413,3413,PR_FS,0,,2012-10-08 16:00,2012-12-05 08:00
58,160923,123417,123397,3413,3413,PR_FS,0,,2012-11-28 08:00,2012-12-13 08:00
59,160926,123416,123400,3413,3413,PR_FS,0,,2012-11-28 08:00,2012-12-18 08:00
60,160927,123434,123411,3413,3413,PR_FS,0,,2012-05-15 08:00,2012-06-12 08:00
61,160928,123433,123428,3413,3413,PR_SS,16,,2012-09-05 16:00,2012-11-07 08:00
62,160930,123439,123431,3413,3413,PR_FS,0,,2012-07-07 16:00,2012-09-24 08:00
63,160931,123441,123432,3413,3413,PR_FS,0,,2012-09-24 16:00,2012-11-03 08:00
64,160932,123422,123433,3413,3413,PR_SS,24,,2012-09-09 16:00,2012-11-10 08:00
65,160934,123421,123442,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-18 08:00
66,160935,123424,123442,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-06 08:00
67,160936,123426,123444,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-24 08:00
68,160938,123494,123464,3413,3413,PR_FS,0,,2012-12-01 16:00,2012-12-24 08:00
69,160939,123484,123469,3413,3413,PR_FS,0,,2012-10-10 16:00,2012-12-17 08:00
70,160940,123463,123476,3413,3413,PR_FS,0,,2012-11-06 16:00,2012-11-07 08:00
71,160942,123487,123486,3413,3413,PR_FS,0,,2012-12-27 16:00,2012-12-29 08:00
72,160943,123406,123487,3413,3413,PR_FS,0,,2012-12-29 16:00,2012-12-29 16:00
73,160944,123406,123494,3413,3413,PR_FS,0,,2012-12-06 16:00,2012-12-29 16:00
74,160945,123479,123497,3413,3413,PR_SS,0,,2012-11-29 08:00,2012-12-20 08:00
75,160946,123500,123499,3413,3413,PR_FS,0,,2012-09-15 16:00,2012-11-12 08:00
76,160947,123483,123500,3413,3413,PR_FS,0,,2012-10-08 16:00,2012-12-16 08:00
77,160948,123498,123395,3413,3413,PR_FS,0,,2012-11-05 08:00,2012-11-19 08:00
78,160949,123413,123398,3413,3413,PR_FS,0,,2012-12-11 08:00,2012-12-18 08:00
79,160950,123404,123403,3413,3413,PR_FS,0,,2012-05-15 08:00,2012-05-15 08:00
80,160951,123409,123407,3413,3413,PR_FS,0,,2012-12-29 16:00,2012-12-29 16:00
81,160954,123427,123420,3413,3413,PR_FS,0,,2012-11-27 16:00,2012-12-18 08:00
82,160955,123426,123423,3413,3413,PR_FS,0,,2012-12-05 16:00,2012-12-24 08:00
83,160956,123426,123424,3413,3413,PR_FS,0,,2012-11-25 16:00,2012-12-24 08:00
84,160957,123445,123432,3413,3413,PR_FF,0,,2012-09-19 08:00,2012-10-22 16:00
85,160959,123428,123439,3413,3413,PR_SS,56,,2012-09-03 16:00,2012-10-20 08:00
86,160960,123444,123442,3413,3413,PR_SS,0,,2012-10-11 08:00,2012-11-28 08:00
87,160961,123416,123442,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-18 08:00
88,160962,123417,123442,3413,3413,PR_FS,0,,2012-11-07 16:00,2012-12-13 08:00
89,160964,123453,123452,3413,3413,PR_FS,0,,2012-10-17 16:00,2012-10-18 08:00
90,160965,123501,123454,3413,3413,PR_SS,56,,2012-09-01 16:00,2012-09-22 08:00
91,160966,123496,123456,3413,3413,PR_FF,0,,2012-11-14 08:00,2012-12-26 16:00
92,160968,123455,123464,3413,3413,PR_FF,0,,2012-11-24 08:00,2012-12-29 16:00
93,160969,123476,123466,3413,3413,PR_FF,0,,2012-10-22 08:00,2012-11-06 16:00
94,160970,123490,123468,3413,3413,PR_FS,0,,2012-10-07 16:00,2012-12-16 08:00
95,160971,123468,123471,3413,3413,PR_FS,0,,2012-09-25 16:00,2012-11-19 08:00
96,160973,123496,123485,3413,3413,PR_FS,0,,2012-12-06 16:00,2012-12-10 08:00
97,160974,123406,123489,3413,3413,PR_FS,0,,2012-12-09 16:00,2012-12-29 16:00
98,160975,123495,123497,3413,3413,PR_FS,0,,2012-12-02 16:00,2012-12-17 08:00
