,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,83924,123412,3413,Y,,,2119,,,,50000,,50000,312.5,0,312.5,0,0,0,,1.00,50000.00,0.00,0.00,50000.00,,,2012-09-04 08:00,2012-09-26 16:00,2012-09-04 08:00,2012-09-26 16:00,2012-11-12 08:00,2012-12-04 16:00,N,,,,N,hCQcF047S1qjsvyU8Q3Xkw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
1,83925,123413,3413,Y,,,2119,,,,54250,,54250,1356.25,0,1356.25,0,0,0,,1.00,54250.00,0.00,0.00,54250.00,,,2012-12-11 08:00,2012-12-16 16:00,2012-12-11 08:00,2012-12-16 16:00,2012-12-18 08:00,2012-12-23 16:00,N,,,,N,QuxkCtMOQPah2Q/Jzz4lzw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
2,83928,123416,3413,Y,,,2119,,,,221046,,221046,5526.15,0,5526.15,0,0,0,,1.00,221046.00,0.00,0.00,221046.00,,,2012-11-28 08:00,2012-12-03 16:00,2012-11-28 08:00,2012-12-03 16:00,2012-12-18 08:00,2012-12-23 16:00,N,,,,N,33bi/ulfQFOhI0ZbkAN8pg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
3,83929,123417,3413,Y,,,2119,,,,218146,,218146,3029.80555556,0,3029.80555556,0,0,0,,1.00,218146.00,0.00,0.00,218146.00,,,2012-11-28 08:00,2012-12-08 16:00,2012-11-28 08:00,2012-12-08 16:00,2012-12-13 08:00,2012-12-23 16:00,N,,,,N,HFAT6VqrS6mldhaGgMg3ZA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
4,83930,123418,3413,Y,,,2120,,,,80,,80,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-09-22 08:00,2012-10-02 16:00,2012-09-22 08:00,2012-10-02 16:00,2012-12-18 08:00,2012-12-29 16:00,N,,,,N,TOrg4lrJRT2m73dtWgNzzg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
5,83931,123419,3413,Y,,,2119,,,,2881,,2881,120.04166667,0,120.04166667,0,0,0,,1.00,2881.00,0.00,0.00,2881.00,,,2012-11-28 08:00,2012-12-01 16:00,2012-11-28 08:00,2012-12-01 16:00,2012-12-20 08:00,2012-12-23 16:00,N,,,,N,QfXdJ7i2Q1mh1aN8XluoSA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
6,83932,123420,3413,Y,,,2116,,,,145,,145,0.90625,0,0.90625,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-11-05 08:00,2012-11-27 16:00,2012-11-05 08:00,2012-11-27 16:00,2012-11-20 08:00,2012-12-12 16:00,N,,,,N,97I5SpRGRHmYIb+2xZo2Sg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
7,83933,123420,3413,Y,,,2119,,,,498675,,498675,3116.71875,0,3116.71875,0,0,0,,1.00,498675.00,0.00,0.00,498675.00,,,2012-11-05 08:00,2012-11-27 16:00,2012-11-05 08:00,2012-11-27 16:00,2012-11-20 08:00,2012-12-12 16:00,N,,,,N,qVXeK6HvSUCg0cfkw/YgTA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
8,83934,123420,3413,Y,,,2114,,,,90,,90,0.5625,0,0.5625,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-11-05 08:00,2012-11-27 16:00,2012-11-05 08:00,2012-11-27 16:00,2012-11-20 08:00,2012-12-12 16:00,N,,,,N,Rapob/WSSQCaeZdX3PcefA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
9,83935,123421,3413,Y,,,2119,,,,67700,,67700,1692.5,0,1692.5,0,0,0,,1.00,67700.00,0.00,0.00,67700.00,,,2012-11-28 08:00,2012-12-03 16:00,2012-11-28 08:00,2012-12-03 16:00,2012-12-18 08:00,2012-12-23 16:00,N,,,,N,CoRXT2l+TlmHKehqob+5KA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
10,83936,123422,3413,Y,,,2115,,,,1700,,1700,10.625,0,10.625,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2012-09-10 08:00,2012-10-02 16:00,2012-09-10 08:00,2012-10-02 16:00,2012-12-06 08:00,2012-12-29 16:00,N,,,,N,H9imGtQiQAOx6jr8Q1AEVg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
11,83937,123422,3413,Y,,,2119,,,,825000,,825000,5156.25,0,5156.25,0,0,0,,1.00,825000.00,0.00,0.00,825000.00,,,2012-09-10 08:00,2012-10-02 16:00,2012-09-10 08:00,2012-10-02 16:00,2012-12-06 08:00,2012-12-29 16:00,N,,,,N,Fa/Y1XV4QNyyGZ3ei6cPKA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
12,83938,123423,3413,Y,,,2119,,,,5000,,5000,89.28571429,0,89.28571429,0,0,0,,1.00,5000.00,0.00,0.00,5000.00,,,2012-11-28 08:00,2012-12-05 16:00,2012-11-28 08:00,2012-12-05 16:00,2012-12-16 08:00,2012-12-23 16:00,N,,,,N,H4lzpsdNReedGUnBW+L+NQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-04-26 12:20,,
