,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr
0,48090,,,11,775,162639, ,,,0,0,0,0,CL_End,N,0,,
1,48091,,,11,775,162741, ,,,0,0,0,0,CL_End,N,0,,
2,48092,,,11,775,162843, ,,,0,0,0,0,CL_End,N,0,,
3,48093,,,11,775,162945, ,,,0,0,0,0,CL_End,N,0,,
4,48094,,,11,775,163047, ,,,0,0,0,0,CL_End,N,0,,
5,48095,,,11,775,163149, ,,,0,0,0,0,CL_End,N,0,,
6,48096,,,11,775,163251, ,,,0,0,0,0,CL_End,N,0,,
7,48097,,,11,775,163353, ,,,0,0,0,0,CL_End,N,0,,
8,48098,,,11,775,163455, ,,,0,0,0,0,CL_End,N,0,,
9,48099,,,11,775,163557, ,,,0,0,0,0,CL_End,N,0,,
10,48100,,,11,775,163659, ,,,0,0,0,0,CL_End,N,0,,
11,48101,,,11,775,163761, ,,,0,0,0,0,CL_End,N,0,,
12,48102,,,11,775,163863, ,,,0,0,0,0,CL_End,N,0,,
13,48103,,,11,775,163965, ,,,0,0,0,0,CL_End,N,0,,
14,48104,,,11,775,164067, ,,,0,0,0,0,CL_End,N,0,,
15,48105,,,11,775,164169, ,,,0,0,0,0,CL_End,N,0,,
16,48106,,,11,775,164271, ,,,0,0,0,0,CL_End,N,0,,
17,48107,,,11,775,164373, ,,,0,0,0,0,CL_End,N,0,,
18,48108,,,11,775,164475, ,,,0,0,0,0,CL_End,N,0,,
19,48109,,,11,775,164577, ,,,0,0,0,0,CL_End,N,0,,
20,48110,,,11,775,164679, ,,,0,0,0,0,CL_End,N,0,,
