,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,13962,775,565,408,1,Y,N,WS_Open,e.hussien-3,BUILDING A,,13451,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,+FDwwS4ULUafaoRljqkr2Q,,
1,13963,775,565,0,1,N,N,WS_Open,zone 131,(New WBS),,13962,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vpu/1IXPmkSoImHho+n9Lg,,
2,13964,775,565,21,1,N,N,WS_Closed,2,building-2,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,mKwnU8qa1UOMVYxx0+DFbQ,nDNXBrvpeU+ARjFO70r5zA,
3,13965,775,565,18,1,N,N,WS_Open,5,building-5,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,yDvAPXBQQUiL/rB84TlLCg,1dpQOo/qq024nBwqtN3g6w,
4,13966,775,565,10,1,N,N,WS_Open,10,building-10,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,UENN2WofjUuyPFX3LLMfOQ,1dpQOo/qq024nBwqtN3g6w,
5,13967,775,565,6,1,N,N,WS_Open,14,building-14,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,LfoeAuKhQU2erDtb6vMiCg,1dpQOo/qq024nBwqtN3g6w,
6,13968,775,565,3,1,N,N,WS_Open,18,building-18,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,CrTQJ34NfUeetwMjsgsd3w,1dpQOo/qq024nBwqtN3g6w,
7,13969,775,565,22,1,N,N,WS_Open,1,building-1,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,TchfLGJWlUiQ0ZbmH3dVUQ,,
8,13970,775,565,13,1,N,N,WS_Open,7,building-7,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,sPRdhc+xQk+24yWh2HpOQQ,1dpQOo/qq024nBwqtN3g6w,
9,13971,775,565,9,1,N,N,WS_Open,11,building-11,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,dfIrjBqvE0OyoP9H2pK2oQ,1dpQOo/qq024nBwqtN3g6w,
10,13972,775,565,5,1,N,N,WS_Open,15,building-15,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,y2uL85kNDUyhSxqgDQ45uA,1dpQOo/qq024nBwqtN3g6w,
11,13973,775,565,2,1,N,N,WS_Open,19,building-19,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ziN+Irt4HEKscRnJIiwUQQ,1dpQOo/qq024nBwqtN3g6w,
12,13974,775,565,20,1,N,N,WS_Open,3,building-3,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,zM3t4EtykUyebMiqxEBARQ,1dpQOo/qq024nBwqtN3g6w,
13,13975,775,565,12,1,N,N,WS_Open,8,building-8,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,7QRBMMU+pUK5GW+o9X4c9A,1dpQOo/qq024nBwqtN3g6w,
14,13976,775,565,8,1,N,N,WS_Open,12,building-12,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,079Bu1nW60iX06h7fHk+Sw,1dpQOo/qq024nBwqtN3g6w,
15,13977,775,565,4,1,N,N,WS_Open,16,building-16,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,I/5VJQU+MUumtqG1xs0Itw,1dpQOo/qq024nBwqtN3g6w,
16,13978,775,565,2,1,N,N,WS_Open,6,building-6,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,v7GYdk8mt0WRdGGBzzixVQ,rJInbMrJrEuxln9gWdbwgg,
17,13979,775,565,19,1,N,N,WS_Open,4,building-4,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,cgQmR6AUIEOPMPOuBFXG6Q,1dpQOo/qq024nBwqtN3g6w,
18,13980,775,565,11,1,N,N,WS_Open,9,building-9,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,jMUSDDsvlke3MtgeeffENA,1dpQOo/qq024nBwqtN3g6w,
19,13981,775,565,7,1,N,N,WS_Open,13,building-13,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,nDsFy+d/EE66KKTCKvsKnw,1dpQOo/qq024nBwqtN3g6w,
20,13982,775,565,3,1,N,N,WS_Open,17,building-17,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,xNJL3H6FmkG7Mxh2tbmI3A,1dpQOo/qq024nBwqtN3g6w,
21,13983,775,565,1,1,N,N,WS_Open,20,building-20,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,yteWcOaO6E6wo6XtRLmzAg,rJInbMrJrEuxln9gWdbwgg,
22,13984,775,565,0,1,N,N,WS_Open,21,building-21,,13963,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,RRzuhxGEsUmz+nRhsTQU4A,rJInbMrJrEuxln9gWdbwgg,
23,13985,775,565,1,1,N,N,WS_Closed, , ,,13964,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,pojsM28SXEi0nRuUraO3hw,737y2WzXiUKRnJXxv+S1gA,
24,13986,775,565,201,1,N,N,WS_Closed, , ,,13964,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,9iRT6x5YMkyekel6PADlew,N6C99QY4Uke/BPF9s6Is+g,
25,13987,775,565,301,1,N,N,WS_Closed, , ,,13964,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,kWLCCbnNrE2A4r74ulXlPg,/KuJFo1qzUi+iUDOOfendA,
26,13988,775,565,401,1,N,N,WS_Closed, , ,,13964,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,2YDee4d6KEG+l5thSXzTtg,AdI+bmdrhESSrtp6UVMD+Q,
27,13989,775,565,0,1,N,N,WS_Open, , ,,13969,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ihEUjGBhpUS863HuFaincw,N6C99QY4Uke/BPF9s6Is+g,
28,13990,775,565,103,1,N,N,WS_Open, , ,,13969,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Sj216F+OEkut9SGeEoyLgA,737y2WzXiUKRnJXxv+S1gA,
29,13991,775,565,101,1,N,N,WS_Open, , ,,13969,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SArZ86a5q0CzKqD315OXvg,/KuJFo1qzUi+iUDOOfendA,
30,13992,775,565,102,1,N,N,WS_Open, , ,,13969,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,tK7vlyxBD0Gyw08kczqDIw,AdI+bmdrhESSrtp6UVMD+Q,
31,13993,775,565,103,1,N,N,WS_Open, , ,,13970,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,iOZkdTFTxUKG4QOMmvOSHw,DracgviMxUuw/+T4urs1qQ,
32,13994,775,565,0,1,N,N,WS_Open, , ,,13974,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Bmamp1VugkKYCA34LtBMQQ,46cV0UDRXUqDOzOWuPUZEg,
33,13995,775,565,101,1,N,N,WS_Open, , ,,13974,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,n1ZmmGwfpE2Pp4vg2/CTCA,yVhsByItvEytqOWfpuInvA,
34,13996,775,565,102,1,N,N,WS_Open, , ,,13974,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,MEZHH0CUQUuq1IuC3VIccg,TaMgCY3wC02a2L0Ok5T7cw,
35,13997,775,565,103,1,N,N,WS_Open, , ,,13974,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,he+Hy62TmkeBZ8zLvj7shg,DracgviMxUuw/+T4urs1qQ,
36,13998,775,565,103,1,N,N,WS_Open, , ,,13975,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,n5xQP4AVIUSLWbK1xCbcCw,DracgviMxUuw/+T4urs1qQ,
37,13999,775,565,0,1,N,N,WS_Open, , ,,13979,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,TnGGJ7dCxUWa50jxOWV14g,46cV0UDRXUqDOzOWuPUZEg,
38,14000,775,565,101,1,N,N,WS_Open, , ,,13979,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,5dq2bJQWJ0qAf5AyGD3Vtg,yVhsByItvEytqOWfpuInvA,
39,14001,775,565,102,1,N,N,WS_Open, , ,,13979,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,WjVf85ZT/EODQWYsn9Aalg,TaMgCY3wC02a2L0Ok5T7cw,
40,14002,775,565,103,1,N,N,WS_Open, , ,,13979,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,K4pyuOp2cUaQOAjs90iPIA,DracgviMxUuw/+T4urs1qQ,
41,14003,775,565,103,1,N,N,WS_Open, , ,,13980,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,xdFA7jqkv0OJiXTZAK0USQ,DracgviMxUuw/+T4urs1qQ,
42,14004,775,565,0,1,N,N,WS_Open, , ,,13965,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,JzmPuaLT5UiMns026O/62A,46cV0UDRXUqDOzOWuPUZEg,
43,14005,775,565,101,1,N,N,WS_Open, , ,,13965,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Ife8hVXv+0mZI2o0Yby/TQ,yVhsByItvEytqOWfpuInvA,
