,task_id,actv_code_type_id,actv_code_id,proj_id
0,162633,7368,15103,775
1,162634,7368,15103,775
2,162635,7368,15102,775
3,162636,7368,15103,775
4,162639,7368,15102,775
5,162644,7368,15103,775
6,162645,7368,15102,775
7,162646,7368,15102,775
8,162647,7368,15102,775
9,162648,7368,15102,775
10,162649,7368,15102,775
11,162650,7368,15102,775
12,162651,7368,15102,775
13,162652,7368,15102,775
14,162653,7368,15102,775
15,162654,7368,15102,775
16,162655,7368,15102,775
17,162656,7368,15102,775
18,162657,7368,15102,775
19,162658,7368,15108,775
20,162659,7368,15108,775
21,162660,7368,15108,775
22,162661,7368,15108,775
23,162662,7368,15108,775
24,162663,7368,15108,775
25,162664,7368,15108,775
26,162665,7370,15112,775
27,162667,7370,15112,775
28,162671,7368,15102,775
29,162672,7368,15107,775
30,162675,7368,15106,775
31,162676,7368,15106,775
32,162677,7368,15106,775
33,162678,7368,15106,775
34,162679,7368,15106,775
35,162679,7370,15112,775
36,162680,7368,15107,775
37,162680,7370,15110,775
38,162681,7368,15107,775
39,162682,7368,15107,775
40,162683,7368,15107,775
41,162685,7370,15110,775
42,162688,7368,15104,775
43,162688,7370,15110,775
44,162692,7370,15112,775
45,162693,7370,15110,775
46,162695,7368,15107,775
47,162695,7370,15112,775
48,162696,7370,15112,775
49,162697,7368,15106,775
50,162697,7370,15110,775
51,162698,7370,15112,775
52,162710,7370,15112,775
53,162735,7368,15103,775
54,162736,7368,15103,775
55,162737,7368,15102,775
56,162738,7368,15103,775
57,162741,7368,15102,775
58,162746,7368,15103,775
59,162747,7368,15102,775
60,162748,7368,15102,775
61,162749,7368,15102,775
62,162750,7368,15102,775
63,162751,7368,15102,775
64,162752,7368,15102,775
65,162753,7368,15102,775
66,162754,7368,15102,775
67,162755,7368,15102,775
68,162756,7368,15102,775
69,162757,7368,15102,775
70,162758,7368,15102,775
71,162759,7368,15102,775
72,162760,7368,15108,775
73,162761,7368,15108,775
74,162762,7368,15108,775
75,162763,7368,15108,775
76,162764,7368,15108,775
77,162765,7368,15108,775
78,162766,7368,15108,775
79,162767,7370,15112,775
80,162769,7370,15112,775
81,162773,7368,15102,775
82,162774,7368,15107,775
83,162777,7368,15106,775
84,162778,7368,15106,775
85,162779,7368,15106,775
86,162780,7368,15106,775
87,162781,7368,15106,775
88,162781,7370,15112,775
89,162782,7368,15107,775
90,162782,7370,15110,775
91,162783,7368,15107,775
92,162784,7368,15107,775
93,162785,7368,15107,775
94,162787,7370,15110,775
95,162790,7368,15104,775
96,162790,7370,15110,775
97,162794,7370,15112,775
98,162795,7370,15110,775
99,162797,7368,15107,775
100,162797,7370,15112,775
101,162798,7370,15112,775
102,162799,7368,15106,775
103,162799,7370,15110,775
104,162800,7370,15112,775
105,162812,7370,15112,775
106,162837,7368,15103,775
107,162838,7368,15103,775
108,162839,7368,15102,775
109,162840,7368,15103,775
110,162843,7368,15102,775
111,162848,7368,15103,775
112,162849,7368,15102,775
113,162850,7368,15102,775
114,162851,7368,15102,775
115,162852,7368,15102,775
116,162853,7368,15102,775
117,162854,7368,15102,775
118,162855,7368,15102,775
119,162856,7368,15102,775
120,162857,7368,15102,775
121,162858,7368,15102,775
122,162859,7368,15102,775
123,162860,7368,15102,775
124,162861,7368,15102,775
125,162862,7368,15108,775
126,162863,7368,15108,775
127,162864,7368,15108,775
128,162865,7368,15108,775
129,162866,7368,15108,775
130,162867,7368,15108,775
131,162868,7368,15108,775
132,162869,7370,15112,775
133,162871,7370,15112,775
134,162875,7368,15102,775
135,162876,7368,15107,775
136,162879,7368,15106,775
137,162880,7368,15106,775
138,162881,7368,15106,775
139,162882,7368,15106,775
140,162883,7368,15106,775
141,162883,7370,15112,775
142,162884,7368,15107,775
143,162884,7370,15110,775
144,162885,7368,15107,775
145,162886,7368,15107,775
146,162887,7368,15107,775
147,162889,7370,15110,775
148,162892,7368,15104,775
149,162892,7370,15110,775
150,162896,7370,15112,775
151,162897,7370,15110,775
152,162899,7368,15107,775
153,162899,7370,15112,775
154,162900,7370,15112,775
155,162901,7368,15106,775
156,162901,7370,15110,775
157,162902,7370,15112,775
158,162914,7370,15112,775
159,162939,7368,15103,775
160,162940,7368,15103,775
161,162941,7368,15102,775
162,162942,7368,15103,775
163,162945,7368,15102,775
164,162950,7368,15103,775
165,162951,7368,15102,775
166,162952,7368,15102,775
167,162953,7368,15102,775
168,162954,7368,15102,775
169,162955,7368,15102,775
170,162956,7368,15102,775
171,162957,7368,15102,775
172,162958,7368,15102,775
173,162959,7368,15102,775
174,162960,7368,15102,775
175,162961,7368,15102,775
176,162962,7368,15102,775
177,162963,7368,15102,775
178,162964,7368,15108,775
179,162965,7368,15108,775
180,162966,7368,15108,775
