,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,213068,162634,162633,775,775,PR_FS,0,,2010-03-01 16:00,2010-03-02 08:00
1,213069,162635,162644,775,775,PR_FS,0,,2010-03-15 16:00,2010-03-16 08:00
2,213070,162640,162632,775,775,PR_FS,0,,2010-03-03 16:00,2010-02-27 08:00
3,213071,162633,162640,775,775,PR_FS,0,,2010-02-27 16:00,2010-02-28 08:00
4,213072,162670,162634,775,775,PR_FS,0,,2010-03-09 16:00,2010-03-10 08:00
5,213073,162644,162670,775,775,PR_FS,0,,2010-03-10 16:00,2010-03-11 08:00
6,213074,162639,162641,775,775,PR_FS,0,,2010-05-18 16:00,2010-05-19 08:00
7,213075,162636,162642,775,775,PR_FS,0,,2010-06-17 16:00,2010-06-19 08:00
8,213076,162638,162637,775,775,PR_FS,0,,2010-04-08 16:00,2010-04-10 08:00
9,213077,162641,162638,775,775,PR_FS,0,,2010-04-13 16:00,2010-04-14 08:00
10,213078,162643,162639,775,775,PR_FS,0,,2010-06-02 16:00,2010-06-03 08:00
11,213079,162645,162636,775,775,PR_FS,0,,2010-06-20 16:00,2010-06-21 08:00
12,213080,162642,162643,775,775,PR_FS,0,,2010-06-05 16:00,2010-06-06 08:00
13,213081,162647,162646,775,775,PR_FS,0,,2010-07-24 16:00,2010-07-25 08:00
14,213082,162648,162647,775,775,PR_FS,0,,2010-08-02 16:00,2010-08-03 08:00
15,213083,162649,162648,775,775,PR_FS,0,,2010-08-26 16:00,2010-08-28 08:00
16,213084,162650,162649,775,775,PR_FS,0,,2010-09-05 16:00,2010-09-06 08:00
17,213085,162652,162651,775,775,PR_FS,0,,2010-10-09 16:00,2010-10-10 08:00
18,213086,162653,162652,775,775,PR_FS,0,,2010-11-02 16:00,2010-11-03 08:00
19,213087,162654,162653,775,775,PR_FS,0,,2010-11-11 16:00,2010-11-13 08:00
20,213088,162655,162654,775,775,PR_FS,0,,2010-12-06 16:00,2010-12-07 08:00
21,213089,162657,162656,775,775,PR_FS,0,,2011-01-13 16:00,2011-01-19 08:00
22,213090,162651,162650,775,775,PR_FS,0,,2010-09-29 16:00,2010-09-30 08:00
23,213091,162671,162655,775,775,PR_FS,0,,2010-12-15 16:00,2010-12-16 08:00
24,213092,162656,162671,775,775,PR_FS,0,,2011-01-09 16:00,2011-01-15 08:00
25,213093,162646,162645,775,775,PR_FS,0,,2010-06-29 16:00,2010-06-30 08:00
26,213094,162668,162666,775,775,PR_FS,0,,2011-02-26 16:00,2011-03-07 08:00
27,213095,162667,162665,775,775,PR_FS,0,,2010-11-16 16:00,2011-03-20 08:00
28,213096,162710,162665,775,775,PR_FS,0,,2010-11-16 16:00,2011-03-12 08:00
29,213097,162659,162718,775,775,PR_FS,0,,2010-09-09 16:00,2011-02-06 08:00
30,213098,162662,162717,775,775,PR_FS,0,,2010-12-20 16:00,2011-01-24 08:00
31,213099,162660,162721,775,775,PR_FS,0,,2010-10-13 16:00,2011-02-06 08:00
32,213100,162661,162720,775,775,PR_FS,0,,2010-11-16 16:00,2011-01-24 08:00
33,213101,162663,162722,775,775,PR_FS,0,,2011-01-23 16:00,2011-01-24 08:00
34,213102,162664,162723,775,775,PR_FS,0,,2011-02-01 16:00,2011-03-10 08:00
35,213103,162697,162667,775,775,PR_FS,0,,2010-11-28 16:00,2011-04-11 08:00
36,213104,162675,162667,775,775,PR_FS,0,,2010-11-28 16:00,2011-03-31 08:00
37,213105,162679,162667,775,775,PR_FS,0,,2010-11-28 16:00,2011-04-11 08:00
38,213106,162675,162710,775,775,PR_FS,0,,2010-12-06 16:00,2011-03-31 08:00
39,213107,162679,162710,775,775,PR_FS,0,,2010-12-06 16:00,2011-04-11 08:00
40,213108,162697,162710,775,775,PR_FS,0,,2010-12-06 16:00,2011-04-11 08:00
41,213109,162702,162709,775,775,PR_FS,0,,2011-04-26 16:00,2011-07-02 08:00
42,213110,162709,162701,775,775,PR_FS,0,,2011-04-18 16:00,2011-06-23 08:00
43,213111,162701,162676,775,775,PR_FS,0,,2011-04-10 16:00,2011-06-15 08:00
44,213112,162700,162675,775,775,PR_FS,0,,2010-12-29 16:00,2011-05-05 08:00
45,213113,162687,162700,775,775,PR_FS,0,,2011-02-02 16:00,2011-05-29 08:00
46,213114,162658,162719,775,775,PR_FS,0,,2010-08-07 16:00,2011-02-06 08:00
47,213115,162665,162658,775,775,PR_FS,0,,2010-08-30 16:00,2011-03-01 08:00
48,213116,162672,162687,775,775,PR_FS,0,,2011-03-02 16:00,2011-07-06 08:00
49,213117,162716,162687,775,775,PR_FS,0,,2011-03-02 16:00,2011-06-26 08:00
50,213118,162632,162725,775,775,PR_FS,0,,2010-02-18 08:00,2010-02-18 08:00
51,213119,162669,162636,775,775,PR_FS,0,,2010-06-20 16:00,2010-06-29 16:00
52,213120,162646,162726,775,775,PR_FS,0,,2010-06-21 08:00,2010-06-30 08:00
53,213121,162727,162657,775,775,PR_FS,0,,2011-01-18 16:00,2011-01-23 16:00
54,213122,162658,162728,775,775,PR_FS,0,,2010-08-08 08:00,2011-02-06 08:00
55,213123,162729,162664,775,775,PR_FS,0,,2011-02-08 16:00,2011-03-16 16:00
56,213124,162726,162669,775,775,PR_FS,0,,2010-06-20 16:00,2010-06-30 08:00
57,213125,162719,162646,775,775,PR_FS,0,,2010-07-24 16:00,2011-01-23 08:00
58,213126,162718,162648,775,775,PR_FS,0,,2010-08-26 16:00,2011-01-23 08:00
59,213127,162721,162650,775,775,PR_FS,0,,2010-09-29 16:00,2011-01-23 08:00
60,213128,162720,162652,775,775,PR_FS,0,,2010-11-02 16:00,2011-01-10 08:00
61,213129,162717,162654,775,775,PR_FS,0,,2010-12-06 16:00,2011-01-10 08:00
62,213130,162722,162671,775,775,PR_FS,0,,2011-01-09 16:00,2011-01-10 08:00
63,213131,162723,162657,775,775,PR_FS,0,,2011-01-18 16:00,2011-02-24 08:00
64,213132,162693,162697,775,775,PR_FS,0,,2010-12-29 16:00,2011-05-04 08:00
65,213133,162688,162693,775,775,PR_FS,0,,2011-01-10 16:00,2011-05-16 08:00
66,213134,162685,162688,775,775,PR_FS,0,,2011-02-02 16:00,2011-06-08 08:00
67,213135,162698,162679,775,775,PR_FS,0,,2010-12-29 16:00,2011-05-04 08:00
68,213136,162692,162698,775,775,PR_FS,0,,2011-01-10 16:00,2011-05-16 08:00
69,213137,162695,162692,775,775,PR_FS,0,,2011-02-02 16:00,2011-07-06 08:00
70,213138,162688,162697,775,775,PR_FS,0,,2010-12-29 16:00,2011-05-16 08:00
71,213139,162691,162677,775,775,PR_FS,0,,2011-04-10 16:00,2011-05-16 08:00
72,213140,162692,162679,775,775,PR_FS,0,,2010-12-29 16:00,2011-05-16 08:00
73,213141,162689,162676,775,775,PR_FS,0,,2011-04-10 16:00,2011-04-23 08:00
74,213142,162689,162715,775,775,PR_FS,0,,2011-04-21 16:00,2011-04-23 08:00
75,213143,162690,162678,775,775,PR_FS,0,,2011-04-10 16:00,2011-05-16 08:00
76,213144,162690,162714,775,775,PR_FS,0,,2011-04-21 16:00,2011-05-16 08:00
77,213145,162691,162713,775,775,PR_FS,0,,2011-04-21 16:00,2011-05-16 08:00
78,213146,162684,162691,775,775,PR_FS,0,,2011-05-15 16:00,2011-06-08 08:00
79,213147,162696,162692,775,775,PR_FS,0,,2011-02-02 16:00,2011-06-08 08:00
80,213148,162724,162666,775,775,PR_FS,0,,2011-02-26 16:00,2011-02-27 08:00
81,213149,162666,162661,775,775,PR_FS,0,,2010-12-09 16:00,2011-02-16 08:00
82,213150,162665,162659,775,775,PR_FS,0,,2010-10-03 16:00,2011-03-01 08:00
83,213151,162666,162662,775,775,PR_FS,0,,2011-01-12 16:00,2011-02-16 08:00
84,213152,162666,162663,775,775,PR_FS,0,,2011-02-15 16:00,2011-02-16 08:00
85,213153,162665,162660,775,775,PR_FS,0,,2010-11-06 16:00,2011-03-01 08:00
86,213154,162713,162677,775,775,PR_FS,0,,2011-04-10 16:00,2011-05-04 08:00
87,213155,162715,162676,775,775,PR_FS,0,,2011-04-10 16:00,2011-04-11 08:00
88,213156,162714,162678,775,775,PR_FS,0,,2011-04-10 16:00,2011-05-04 08:00
89,213157,162705,162686,775,775,PR_FS,0,,2011-06-12 16:00,2011-06-19 08:00
90,213158,162712,162702,775,775,PR_FS,0,,2011-05-12 16:00,2011-07-17 16:00
91,213159,162665,162730,775,775,PR_FS,0,,2010-08-31 08:00,2011-03-01 08:00
92,213160,162707,162664,775,775,PR_FS,0,,2011-02-08 16:00,2011-06-13 08:00
93,213161,162732,162729,775,775,PR_FS,0,,2011-02-08 16:00,2011-03-17 08:00
94,213162,162708,162732,775,775,PR_FF,0,,2011-04-13 08:00,2011-06-12 16:00
95,213163,162707,162708,775,775,PR_FS,0,,2011-05-07 16:00,2011-06-13 08:00
96,213164,162672,162700,775,775,PR_FS,0,,2011-02-02 16:00,2011-07-06 08:00
97,213165,162680,162688,775,775,PR_FS,0,,2011-02-02 16:00,2011-07-06 08:00
98,213166,162681,162691,775,775,PR_FS,0,,2011-05-15 16:00,2011-07-06 08:00
