,task_id,actv_code_type_id,actv_code_id,proj_id
0,162531,7365,15087,774
1,162532,7365,15087,774
2,162533,7365,15086,774
3,162534,7365,15087,774
4,162537,7365,15086,774
5,162542,7365,15087,774
6,162543,7365,15086,774
7,162544,7365,15100,774
8,162545,7365,15101,774
9,162546,7365,15100,774
10,162547,7365,15101,774
11,162548,7365,15100,774
12,162549,7365,15101,774
13,162550,7365,15100,774
14,162551,7365,15101,774
15,162552,7365,15100,774
16,162553,7365,15101,774
17,162554,7365,15101,774
18,162555,7365,15100,774
19,162556,7365,15092,774
20,162557,7365,15092,774
21,162558,7365,15092,774
22,162559,7365,15092,774
23,162560,7365,15092,774
24,162561,7365,15092,774
25,162562,7365,15092,774
26,162563,7367,15096,774
27,162565,7367,15096,774
28,162569,7365,15100,774
29,162570,7365,15091,774
30,162573,7365,15090,774
31,162574,7365,15090,774
32,162575,7365,15090,774
33,162576,7365,15090,774
34,162577,7365,15090,774
35,162577,7367,15096,774
36,162578,7365,15091,774
37,162578,7367,15094,774
38,162579,7365,15091,774
39,162580,7365,15091,774
40,162581,7365,15091,774
41,162583,7367,15094,774
42,162586,7365,15088,774
43,162586,7367,15094,774
44,162590,7367,15096,774
45,162591,7367,15094,774
46,162593,7365,15091,774
47,162593,7367,15096,774
48,162594,7367,15096,774
49,162595,7365,15090,774
50,162595,7367,15094,774
51,162596,7367,15096,774
52,162608,7367,15096,774
