,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,212923,162532,162531,774,774,PR_FS,0,,2010-01-26 16:00,2010-01-27 08:00
1,212924,162533,162542,774,774,PR_FS,0,,2010-02-09 16:00,2010-02-10 08:00
2,212925,162538,162530,774,774,PR_FS,0,,2010-01-23 16:00,2010-01-24 08:00
3,212926,162531,162538,774,774,PR_FS,0,,2010-01-24 16:00,2010-01-25 08:00
4,212927,162568,162532,774,774,PR_FS,0,,2010-02-03 16:00,2010-02-04 08:00
5,212928,162542,162568,774,774,PR_FS,0,,2010-02-04 16:00,2010-02-06 08:00
6,212929,162537,162539,774,774,PR_FS,0,,2010-04-14 16:00,2010-04-15 08:00
7,212930,162534,162540,774,774,PR_FS,0,,2010-05-15 16:00,2010-05-16 08:00
8,212931,162536,162535,774,774,PR_FS,0,,2010-03-06 16:00,2010-03-07 08:00
9,212932,162539,162536,774,774,PR_FS,0,,2010-03-10 16:00,2010-03-11 08:00
10,212933,162541,162537,774,774,PR_FS,0,,2010-04-29 16:00,2010-05-01 08:00
11,212934,162543,162534,774,774,PR_FS,0,,2010-05-17 16:00,2010-05-18 08:00
12,212935,162540,162541,774,774,PR_FS,0,,2010-05-02 16:00,2010-05-03 08:00
13,212936,162545,162544,774,774,PR_FS,0,,2010-06-20 16:00,2010-06-21 08:00
14,212937,162546,162545,774,774,PR_FS,0,,2010-06-29 16:00,2010-06-30 08:00
15,212938,162547,162546,774,774,PR_FS,0,,2010-07-24 16:00,2010-07-25 08:00
16,212939,162548,162547,774,774,PR_FS,0,,2010-08-02 16:00,2010-08-03 08:00
17,212940,162550,162549,774,774,PR_FS,0,,2010-09-05 16:00,2010-09-06 08:00
18,212941,162551,162550,774,774,PR_FS,0,,2010-09-29 16:00,2010-09-30 08:00
19,212942,162552,162551,774,774,PR_FS,0,,2010-10-09 16:00,2010-10-10 08:00
20,212943,162553,162552,774,774,PR_FS,0,,2010-11-02 16:00,2010-11-03 08:00
21,212944,162555,162554,774,774,PR_FS,0,,2010-12-11 16:00,2011-01-17 08:00
22,212945,162549,162548,774,774,PR_FS,0,,2010-08-26 16:00,2010-08-28 08:00
23,212946,162569,162553,774,774,PR_FS,0,,2010-11-11 16:00,2010-11-13 08:00
24,212947,162554,162569,774,774,PR_FS,0,,2010-12-06 16:00,2011-01-12 08:00
25,212948,162544,162543,774,774,PR_FS,0,,2010-05-26 16:00,2010-05-27 08:00
26,212949,162566,162564,774,774,PR_FS,0,,2011-01-23 16:00,2011-02-01 08:00
27,212950,162565,162563,774,774,PR_FS,0,,2010-10-13 16:00,2011-02-14 08:00
28,212951,162608,162563,774,774,PR_FS,0,,2010-10-13 16:00,2011-02-06 08:00
29,212952,162557,162616,774,774,PR_FS,0,,2010-08-07 16:00,2011-01-03 08:00
30,212953,162560,162615,774,774,PR_FS,0,,2010-11-16 16:00,2010-12-21 08:00
31,212954,162558,162619,774,774,PR_FS,0,,2010-09-09 16:00,2011-01-03 08:00
32,212955,162559,162618,774,774,PR_FS,0,,2010-10-13 16:00,2010-12-21 08:00
33,212956,162561,162620,774,774,PR_FS,0,,2010-12-20 16:00,2010-12-21 08:00
34,212957,162562,162621,774,774,PR_FS,0,,2010-12-29 16:00,2011-02-05 08:00
35,212958,162595,162565,774,774,PR_FS,0,,2010-10-25 16:00,2011-03-08 08:00
36,212959,162573,162565,774,774,PR_FS,0,,2010-10-25 16:00,2011-02-26 08:00
37,212960,162577,162565,774,774,PR_FS,0,,2010-10-25 16:00,2011-03-08 08:00
38,212961,162573,162608,774,774,PR_FS,0,,2010-11-02 16:00,2011-02-26 08:00
39,212962,162577,162608,774,774,PR_FS,0,,2010-11-02 16:00,2011-03-08 08:00
