,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,1665,,,,620,58601,PHS1 BREP  S,,,2500.00,2500.00,0.00,2500.00,CL_Uniform,N,1,,,
1,1666,,,,620,58602,PHS1 BRNG  S,,,3500.00,3500.00,0.00,3500.00,CL_Uniform,N,1,,,
2,1667,,,,620,58603,PHS1 CEST  S,,,4000.00,4000.00,0.00,4000.00,CL_Uniform,N,1,,,
3,1668,,,,620,58604,PHS1 DESN  A,,,1056.00,1056.00,0.00,1056.00,CL_Uniform,N,1,,,
4,1669,,,,620,58605,PHS1 DRWG  A,,,800.00,800.00,0.00,800.00,CL_Uniform,N,1,,,
5,1670,,,,620,58605,PHS1 DRWG  E,,,1200.00,1200.00,0.00,1200.00,CL_Uniform,N,1,,,
6,1671,,,,620,58605,PHS1 DRWG  D,,,1000.00,1000.00,0.00,1000.00,CL_Uniform,N,1,,,
7,1672,,,,620,58606,PHS1 ENER  E,,,450.00,450.00,0.00,450.00,CL_Uniform,N,1,,,
8,1673,,,,620,58608,PHS1 INVT  S,,,1250.00,1250.00,0.00,1250.00,CL_Uniform,N,1,,,
9,1674,,,,620,58608,PHS1 INVT  E,,,580.00,580.00,0.00,580.00,CL_Uniform,N,1,,,
10,1675,,,,620,58613,PHS2 CAD   D,,,5000.00,5000.00,0.00,5000.00,CL_Uniform,N,1,,,
11,1676,,,,620,58613,PHS2 CAD   C,,,5000.00,5000.00,0.00,5000.00,CL_Uniform,N,1,,,
12,1677,,,,620,58614,PHS2 CALC  A,,,2000.00,2000.00,0.00,2000.00,CL_Uniform,N,1,,,
13,1678,,,,620,58614,PHS2 CALC  E,,,5900.00,5900.00,0.00,5900.00,CL_Uniform,N,1,,,
14,1679,,,,620,58615,PHS2 CEST  S,,,5500.00,5500.00,0.00,5500.00,CL_Uniform,N,1,,,
15,1680,,,,620,58616,PHS2 DRWG  A,,,2500.00,2500.00,0.00,2500.00,CL_Uniform,N,1,,,
16,1681,,,,620,58616,PHS2 DRWG  E,,,6000.00,6000.00,0.00,6000.00,CL_Uniform,N,1,,,
17,1682,,,,620,58617,PHS2 ENER  E,,,500.00,500.00,0.00,500.00,CL_Uniform,N,1,,,
18,1683,,,,620,58617,PHS2 ENER  C,,,1000.00,1000.00,0.00,1000.00,CL_Uniform,N,1,,,
19,1684,,,,620,58620,PHS2 OMSI  E,,,800.00,800.00,0.00,800.00,CL_Uniform,N,1,,,
20,1685,,,,620,58623,PHS2 SPEC  E,,,2000.00,2000.00,0.00,2000.00,CL_Uniform,N,1,,,
21,1686,,,,620,58625,PHS2 VLUE  S,,,22000.00,22000.00,0.00,22000.00,CL_Uniform,N,1,,,
22,1687,,,,620,58626,PHS3 CAD   C,,,12000.00,12000.00,0.00,12000.00,CL_Uniform,N,1,,,
23,1688,,,,620,58626,PHS3 CAD   D,,,20000.00,20000.00,0.00,20000.00,CL_Uniform,N,1,,,
24,1689,,,,620,58627,PHS3 CEST  S,,,7000.00,7000.00,0.00,7000.00,CL_Uniform,N,1,,,
25,1690,,,,620,58628,PHS3 DESN  E,,,2000.00,2000.00,0.00,2000.00,CL_Uniform,N,1,,,
26,1691,,,,620,58629,PHS3 DRWG  A,,,7000.00,7000.00,0.00,7000.00,CL_Uniform,N,1,,,
27,1692,,,,620,58629,PHS3 DRWG  E,,,16000.00,16000.00,0.00,16000.00,CL_Uniform,N,1,,,
28,1693,,,,620,58630,PHS3 FINS  S,,,12000.00,12000.00,0.00,12000.00,CL_Uniform,N,1,,,
29,1694,,,,620,58635,PHS4 CAD   D,,,19900.00,19900.00,0.00,19900.00,CL_Uniform,N,1,,,
30,1695,,,,620,58635,PHS4 CAD   C,,,25000.00,25000.00,0.00,25000.00,CL_Uniform,N,1,,,
31,1696,,,,620,58636,PHS4 CEST  S,,,8000.00,8000.00,0.00,8000.00,CL_Uniform,N,1,,,
32,1697,,,,620,58637,PHS4 DESN  E,,,1000.00,1000.00,0.00,1000.00,CL_Uniform,N,1,,,
33,1698,,,,620,58638,PHS4 DRWG  E,,,5000.00,5000.00,0.00,5000.00,CL_Uniform,N,1,,,
34,1699,,,,620,58638,PHS4 DRWG  A,,,3000.00,3000.00,0.00,3000.00,CL_Uniform,N,1,,,
35,1700,,,,620,58639,PHS4 FINS  S,,,15200.00,15200.00,0.00,15200.00,CL_Uniform,N,1,,,
36,1701,,,,620,58640,PHS4 MDLS  S,,,5000.00,5000.00,0.00,5000.00,CL_Uniform,N,1,,,
37,1702,,,,620,58643,PHS4 REND  S,,,1500.00,1500.00,0.00,1500.00,CL_Uniform,N,1,,,
38,1703,,,,620,58645,PHS4 SPEC  E,,,7600.00,7600.00,0.00,7600.00,CL_Uniform,N,1,,,
39,1704,,,,620,58647,PHS5 CEST  S,,,0.00,10000.00,10000.00,10000.00,CL_Uniform,N,1,,,
40,1705,,,,620,58648,PHS5 DRWG  A,,,0.00,500.00,500.00,500.00,CL_Uniform,N,1,,,
41,1706,,,,620,58648,PHS5 DRWG  E,,,0.00,844.00,844.00,844.00,CL_Uniform,N,1,,,
42,1707,,,,620,58651,PHS5 SPEC  E,,,0.00,200.00,200.00,200.00,CL_Uniform,N,1,,,
