,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,58599,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_Complete,ENGENL0001,Notice to proceed for Design Contract,,,,0,0,0,0,0,0,0,0,,2007-01-01 08:00,2007-01-01 08:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-01 08:00,,,,,PT_Normal,,,,,+XK4FqY5S4u2F7i2+rtsPg,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
1,58600,620,6923,597,1,0,N,N,Y,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,ENGENL0002,Design Phase completed,,0,0,0,0,0,0,0,0,0,0,,,,2007-08-29 17:00,2007-08-29 17:00,,2007-08-29 17:00,2007-08-29 17:00,2007-08-29 17:00,2007-08-29 17:00,2007-08-29 17:00,2007-08-29 17:00,,2007-08-29 17:00,2007-08-29 17:00,,PT_Normal,,,11,9,ThOrG6edT+C/I9lva45jXA,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
2,58601,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1BREP,Boring Report,,,,0,0,0,0,40,0,0,0,,2007-01-15 08:00,2007-01-24 00:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-15 08:00,2007-01-19 17:00,,,,,PT_Normal,,,,,tl5ZZVhLSY+d9TA5cbrWwA,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
3,58602,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1BRNG,Borings in field,,,,0,0,0,0,80,0,0,0,,2007-01-01 08:00,2007-01-12 17:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-12 17:00,,,,,PT_Normal,,,,,JVGFDbglS+if45Tou+d/mA,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
4,58603,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1CEST,Preliminary Cost Estimate,,,,0,0,0,0,80,0,0,0,,2007-01-01 08:00,2007-01-12 17:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-12 17:00,,,,,PT_Normal,,,,,z//DAFcaQGa1rUZ/Fy+99w,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
5,58604,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1DESN,Schematic Architect. Design Analy.,,,,0,0,0,0,120,0,0,0,,2007-01-01 08:00,2007-01-19 17:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-19 17:00,,,,,PT_Normal,,,,,wY1vcQq7Tvew/qiG1xbv7w,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
6,58605,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1DRWG,Site Plans Drafting,,,,0,0,0,0,40,0,0,0,,2007-01-01 08:00,2007-01-05 17:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-05 17:00,,,,,PT_Normal,,,,,HZVGI5aoRhGwF0NS23Yzvw,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
7,58606,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1ENER,Energy Analysis & Utility Data,,,,0,0,0,0,80,0,0,0,,2007-01-01 08:00,2007-01-19 00:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-12 17:00,,,,,PT_Normal,,,,,O0zHJPm6R8aEEYsAF3qe6w,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
8,58607,620,6923,597,1,100,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1FINS,Finish schematic Phase,,,,0,0,0,0,0,0,0,0,,2007-01-24 00:00,2007-01-24 00:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-19 17:00,2007-01-19 17:00,,,,,PT_Normal,,,,,nixpxdfrS/WNRkWgrTmSxg,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
9,58608,620,6923,597,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_Complete,ENPHS1INVT,Site Investigation - Engineering,,,,0,0,0,0,40,0,0,0,,2007-01-01 08:00,2007-01-05 17:00,2007-07-02 08:00,2007-07-02 08:00,,2007-07-01 00:00,2007-07-01 00:00,,,2007-01-01 08:00,2007-01-05 17:00,,,,,PT_Normal,,,,,yzoPul8xROqgLpABLRr0Ug,,,,Y,0,0,,,2007-11-09 17:15,2007-11-09 17:15,tanya@TCRANMERXP,tanya@TCRANMERXP
