,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,35367,58612,58599,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
1,35368,58607,58601,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
2,35369,58601,58602,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
3,35370,58607,58603,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
4,35371,58607,58604,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
5,35372,58607,58605,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
6,35373,58607,58606,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
7,35374,58610,58607,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
8,35375,58607,58608,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
9,35376,58624,58609,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
10,35377,58611,58610,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
11,35378,58609,58611,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
12,35379,58602,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
13,35380,58603,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
14,35381,58604,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
15,35382,58605,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
16,35383,58606,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
17,35384,58608,58612,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
18,35385,58618,58613,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
19,35386,58618,58614,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
20,35387,58618,58615,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
21,35388,58618,58616,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
22,35389,58618,58617,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
23,35390,58621,58618,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
24,35391,58634,58619,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
25,35392,58618,58620,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
26,35393,58622,58621,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
27,35394,58619,58622,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
28,35395,58618,58623,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
29,35396,58613,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
30,35397,58614,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
31,35398,58615,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
32,35399,58616,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
33,35400,58617,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
34,35401,58620,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
35,35402,58623,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
36,35403,58625,58624,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
37,35404,58618,58625,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
38,35405,58654,58626,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
39,35406,58654,58627,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
40,35407,58654,58628,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
41,35408,58654,58629,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
42,35409,58654,58630,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
43,35410,58646,58631,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
44,35411,58633,58632,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
45,35412,58631,58633,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
46,35413,58626,58634,620,620,PR_FS,0,,2007-07-01 00:00,2007-07-02 08:00
