,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,90494,793,11878,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1000,Start project,,0,0,0,0,0,0,0,0,0,0,,,,2010-07-01 08:00,2010-07-01 08:00,,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,,2010-07-01 08:00,2010-07-01 08:00,,PT_Normal,,,,,XpJJExDQokuN0wPtrcq36g,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-07-01 08:00,2010-07-01 08:00,0
1,90495,793,11878,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1010,Finish project,,0,0,0,0,0,0,0,0,0,0,,,,2010-10-07 16:00,2010-10-07 16:00,,2010-10-07 16:00,2010-10-07 16:00,2010-10-07 16:00,2010-10-07 16:00,2010-10-07 16:00,2010-10-07 16:00,,2010-10-07 16:00,2010-10-07 16:00,,PT_Normal,,,,,wDr5xkawYkWsENvs5KEHng,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-10-07 16:00,2010-10-07 16:00,0
2,90496,793,11878,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Mobilization,,608,608,64,0,0,0,64,0,0,0,,,,2010-09-29 08:00,2010-10-07 16:00,,2010-07-01 08:00,2010-07-10 16:00,2010-07-01 08:00,2010-07-10 16:00,2010-07-01 08:00,2010-07-10 16:00,,2010-09-29 08:00,2010-10-07 16:00,,PT_Normal,,,,,jare7oAx2EyTNGryoKJ5tQ,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-07-01 08:00,2010-07-10 16:00,64
3,90497,793,11878,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1320,Receive issue for construction drawings,,7.98333333333333,8,0,0,0,0,0,0,0,0,,,,2010-07-01 15:59,2010-07-01 15:59,,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,2010-07-01 08:00,,2010-07-01 15:59,2010-07-01 15:59,,PT_Normal,,,,,gIUFbvdJmUu3QOAOpxfKbw,,,,N,0,0,,,2010-08-28 10:04,2010-08-28 13:34,admin,admin,2010-07-01 08:00,2010-07-01 08:00,0
4,90498,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2060,Formworks for R.C raft,,0,0,16,0,80,80,16,0,0,0,,,,2010-07-21 08:00,2010-07-22 16:00,,2010-07-21 08:00,2010-07-22 16:00,2010-07-21 08:00,2010-07-22 16:00,2010-07-21 08:00,2010-07-22 16:00,,2010-07-21 08:00,2010-07-22 16:00,,PT_Normal,,,,,ENDoiNrxM0GUxOTA+VROEA,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-07-21 08:00,2010-07-22 16:00,16
5,90499,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2070,Rebar for R.C raft,2117,0,0,24,0,120,120,24,0,0,0,,,,2010-07-24 08:00,2010-07-26 16:00,,2010-07-24 08:00,2010-07-26 16:00,2010-07-24 08:00,2010-07-26 16:00,2010-07-24 08:00,2010-07-26 16:00,,2010-07-24 08:00,2010-07-26 16:00,,PT_Normal,,,,,VXVraN27506Pdhebiox5GQ,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-07-24 08:00,2010-07-26 16:00,24
6,90500,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2080,Pouring For R.C raft,,0,0,8,0,40,40,8,0,0,0,,,,2010-07-27 08:00,2010-07-27 16:00,,2010-07-27 08:00,2010-07-27 16:00,2010-07-27 08:00,2010-07-27 16:00,2010-07-27 08:00,2010-07-27 16:00,,2010-07-27 08:00,2010-07-27 16:00,,PT_Normal,,,,,crEzemkkhESBJHcdsLEhXQ,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-07-27 08:00,2010-07-27 16:00,8
7,90501,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2090,Formwork For Tank walls,,0,0,64,0,240,240,64,0,0,0,,,,2010-07-28 08:00,2010-08-05 16:00,,2010-07-28 08:00,2010-08-05 16:00,2010-07-28 08:00,2010-08-05 16:00,2010-07-28 08:00,2010-08-05 16:00,,2010-07-28 08:00,2010-08-05 16:00,,PT_Normal,,,,,dW02tXC6ukilVUzw72581g,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-07-28 08:00,2010-08-05 16:00,64
8,90502,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2100,Rebar For Tank walls,2117,0,0,48,0,120,120,48,0,0,0,,,,2010-08-07 08:00,2010-08-12 16:00,,2010-08-07 08:00,2010-08-12 16:00,2010-08-07 08:00,2010-08-12 16:00,2010-08-07 08:00,2010-08-12 16:00,,2010-08-07 08:00,2010-08-12 16:00,,PT_Normal,,,,,y2mQPOL6EUC5JCPK4ORe1g,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-08-07 08:00,2010-08-12 16:00,48
9,90503,793,11885,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A2110,Pouring For Tank walls,,0,0,8,0,40,40,8,0,0,0,,,,2010-08-14 08:00,2010-08-14 16:00,,2010-08-14 08:00,2010-08-14 16:00,2010-08-14 08:00,2010-08-14 16:00,2010-08-14 08:00,2010-08-14 16:00,,2010-08-14 08:00,2010-08-14 16:00,,PT_Normal,,,,,vlwWIdHsR0Wt5+AUQ5Ft4Q,,,,Y,0,0,,,2010-08-28 10:04,2010-08-28 13:36,admin,admin,2010-08-14 08:00,2010-08-14 16:00,8
