,task_id,actv_code_type_id,actv_code_id,proj_id
0,90498,7319,13248,793
1,90498,7320,13250,793
2,90498,7321,13255,793
3,90499,7319,13248,793
4,90499,7320,13250,793
5,90499,7321,13255,793
6,90500,7319,13248,793
7,90500,7320,13250,793
8,90500,7321,13255,793
9,90501,7319,13248,793
10,90501,7320,13250,793
11,90501,7321,13256,793
12,90502,7319,13248,793
13,90502,7320,13250,793
14,90502,7321,13256,793
15,90503,7319,13248,793
16,90503,7320,13250,793
17,90503,7321,13256,793
18,90504,7319,13248,793
19,90504,7320,13250,793
20,90504,7321,13257,793
21,90505,7319,13248,793
22,90505,7320,13250,793
23,90505,7321,13257,793
24,90506,7319,13248,793
25,90506,7320,13250,793
26,90506,7321,13257,793
27,90507,7319,13248,793
28,90507,7320,13252,793
29,90508,7319,13248,793
30,90508,7320,13252,793
31,90542,7319,13246,793
32,90542,7320,13250,793
33,90542,7321,13255,793
34,90543,7319,13246,793
35,90543,7320,13250,793
36,90543,7321,13255,793
37,90544,7319,13246,793
38,90544,7320,13250,793
39,90544,7321,13255,793
40,90545,7319,13246,793
41,90545,7320,13250,793
42,90545,7321,13256,793
43,90546,7319,13246,793
44,90546,7320,13250,793
45,90546,7321,13256,793
46,90547,7319,13246,793
47,90547,7320,13250,793
48,90547,7321,13256,793
49,90548,7319,13246,793
50,90548,7320,13250,793
51,90548,7321,13257,793
52,90549,7319,13246,793
53,90549,7320,13250,793
54,90549,7321,13257,793
55,90550,7319,13246,793
56,90550,7320,13253,793
57,90551,7319,13246,793
58,90551,7320,13250,793
59,90551,7321,13257,793
60,90552,7319,13246,793
61,90552,7320,13252,793
62,90553,7319,13246,793
63,90553,7320,13252,793
64,90554,7319,13246,793
65,90554,7320,13252,793
66,90555,7319,13246,793
67,90555,7320,13250,793
68,90555,7321,13255,793
69,90556,7319,13246,793
70,90556,7320,13250,793
71,90556,7321,13255,793
72,90557,7319,13246,793
73,90557,7320,13253,793
74,90558,7319,13246,793
75,90558,7320,13250,793
76,90558,7321,13255,793
77,90559,7319,13246,793
78,90559,7320,13250,793
79,90559,7321,13256,793
80,90560,7319,13246,793
81,90560,7320,13250,793
82,90560,7321,13256,793
83,90561,7319,13246,793
84,90561,7320,13250,793
85,90561,7321,13256,793
86,90562,7319,13246,793
87,90562,7320,13250,793
88,90562,7321,13257,793
89,90563,7319,13246,793
90,90563,7320,13250,793
91,90563,7321,13257,793
92,90564,7319,13246,793
93,90564,7320,13253,793
94,90565,7319,13246,793
95,90565,7320,13250,793
96,90565,7321,13257,793
97,90566,7319,13246,793
98,90566,7320,13252,793
99,90567,7319,13246,793
100,90567,7320,13252,793
101,90568,7319,13246,793
102,90568,7320,13252,793
103,90569,7319,13246,793
104,90569,7320,13253,793
105,90570,7319,13246,793
106,90570,7320,13253,793
107,90571,7319,13246,793
108,90571,7320,13253,793
109,90572,7319,13246,793
110,90572,7320,13253,793
111,90573,7319,13246,793
112,90573,7320,13253,793
113,90574,7319,13246,793
114,90574,7320,13253,793
115,90575,7319,13246,793
116,90575,7320,13253,793
117,90576,7319,13246,793
118,90576,7320,13253,793
119,90577,7319,13246,793
120,90577,7320,13253,793
121,90578,7319,13246,793
122,90578,7320,13250,793
123,90578,7321,13255,793
124,90579,7319,13246,793
125,90579,7320,13250,793
126,90579,7321,13255,793
127,90581,7319,13246,793
128,90581,7320,13250,793
129,90581,7321,13257,793
130,90582,7319,13246,793
131,90582,7320,13250,793
132,90582,7321,13257,793
133,90583,7319,13246,793
134,90583,7320,13250,793
135,90583,7321,13255,793
136,90584,7319,13246,793
137,90584,7320,13250,793
138,90584,7321,13255,793
139,90585,7319,13246,793
140,90585,7320,13250,793
141,90585,7321,13257,793
142,90586,7319,13246,793
143,90586,7320,13250,793
144,90586,7321,13257,793
