,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,80582,90496,90494,793,793,PR_FS,0,,2010-07-01 08:00,2010-09-29 08:00
1,80583,90530,90494,793,793,PR_FS,8,,2010-07-01 16:00,2010-07-01 08:00
2,80584,90531,90494,793,793,PR_FS,8,,2010-07-01 16:00,2010-07-04 08:00
3,80585,90532,90494,793,793,PR_FS,72,,2010-07-11 16:00,2010-09-25 08:00
4,80586,90533,90494,793,793,PR_FS,144,,2010-07-21 16:00,2010-07-03 08:00
5,80587,90534,90494,793,793,PR_FS,192,,2010-07-28 16:00,2010-07-06 08:00
6,80588,90535,90494,793,793,PR_FS,240,,2010-08-04 16:00,2010-07-06 08:00
7,80589,90536,90530,793,793,PR_FS,24,,2010-07-05 16:00,2010-07-03 08:00
8,80590,90537,90531,793,793,PR_FS,24,,2010-07-05 16:00,2010-07-05 08:00
9,80591,90538,90532,793,793,PR_FS,24,,2010-07-14 16:00,2010-10-05 08:00
10,80592,90539,90533,793,793,PR_FS,24,,2010-07-25 16:00,2010-07-24 08:00
11,80593,90540,90534,793,793,PR_FS,24,,2010-08-01 16:00,2010-08-03 08:00
12,80594,90541,90535,793,793,PR_FS,24,,2010-08-08 16:00,2010-08-10 08:00
13,80595,90497,90494,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-01 15:59
14,80596,90530,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-01 16:00
15,80597,90531,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-04 16:00
16,80598,90532,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-10-04 16:00
17,80599,90533,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-22 16:00
18,80600,90534,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-08-02 16:00
19,80601,90535,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-08-09 16:00
20,80602,90518,90494,793,793,PR_FS,72,,2010-07-11 16:00,2010-07-01 08:00
21,80603,90518,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-11 16:00
22,80604,90524,90518,793,793,PR_FS,24,,2010-07-14 16:00,2010-07-12 08:00
23,80605,90519,90494,793,793,PR_FS,72,,2010-07-11 16:00,2010-07-05 08:00
24,80606,90519,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-14 16:00
25,80607,90525,90519,793,793,PR_FS,24,,2010-07-14 16:00,2010-07-15 08:00
26,80608,90526,90520,793,793,PR_FS,24,,2010-07-25 16:00,2010-10-05 08:00
27,80609,90520,90494,793,793,PR_FS,144,,2010-07-21 16:00,2010-09-14 08:00
28,80610,90520,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-10-04 16:00
29,80611,90521,90494,793,793,PR_FS,192,,2010-07-28 16:00,2010-09-07 08:00
30,80612,90521,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-10-05 16:00
31,80613,90527,90521,793,793,PR_FS,16,,2010-07-31 16:00,2010-10-06 08:00
32,80614,90522,90494,793,793,PR_FS,240,,2010-08-04 16:00,2010-07-12 08:00
33,80615,90522,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-08-15 16:00
34,80616,90528,90522,793,793,PR_FS,24,,2010-08-08 16:00,2010-08-16 08:00
35,80617,90523,90494,793,793,PR_FS,312,,2010-08-15 16:00,2010-07-08 08:00
36,80618,90523,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-08-22 16:00
37,80619,90529,90523,793,793,PR_FS,24,,2010-08-18 16:00,2010-08-23 08:00
38,80620,90516,90494,793,793,PR_FS,56,,2010-07-08 16:00,2010-07-01 08:00
39,80621,90516,90497,793,793,PR_FS,0,,2010-07-01 08:00,2010-07-08 16:00
40,80622,90517,90516,793,793,PR_FS,24,,2010-07-12 16:00,2010-07-10 08:00
41,80623,90498,90517,793,793,PR_FS,56,,2010-07-20 16:00,2010-07-13 08:00
42,80624,90499,90498,793,793,PR_FS,0,,2010-07-22 16:00,2010-07-24 08:00
43,80625,90500,90499,793,793,PR_FS,0,,2010-07-26 16:00,2010-07-27 08:00
44,80626,90501,90500,793,793,PR_FS,0,,2010-07-27 16:00,2010-07-28 08:00
45,80627,90502,90501,793,793,PR_FS,0,,2010-08-05 16:00,2010-08-07 08:00
46,80628,90503,90502,793,793,PR_FS,0,,2010-08-12 16:00,2010-08-14 08:00
47,80629,90504,90503,793,793,PR_FS,0,,2010-08-14 16:00,2010-08-15 08:00
48,80630,90505,90504,793,793,PR_FS,0,,2010-08-25 16:00,2010-08-26 08:00
49,80631,90506,90505,793,793,PR_FS,0,,2010-09-01 16:00,2010-09-02 08:00
50,80632,90507,90506,793,793,PR_FS,0,,2010-09-02 16:00,2010-09-04 08:00
51,80633,90508,90507,793,793,PR_FS,0,,2010-09-21 16:00,2010-09-22 08:00
52,80634,90509,90499,793,793,PR_FS,-16,,2010-07-25 08:00,2010-07-27 16:00
53,80635,90500,90509,793,793,PR_FS,8,,2010-07-26 08:01,2010-07-26 08:00
54,80636,90506,90510,793,793,PR_FS,8,,2010-09-01 08:01,2010-09-01 08:00
55,80637,90511,90502,793,793,PR_FS,-16,,2010-08-11 08:00,2010-08-14 16:00
56,80638,90503,90511,793,793,PR_FS,8,,2010-08-12 08:01,2010-08-12 08:00
57,80639,90510,90505,793,793,PR_FS,-16,,2010-08-31 08:00,2010-09-02 16:00
58,80640,90515,90514,793,793,PR_FS,0,,2010-09-14 16:00,2010-10-06 08:00
59,80641,90495,90515,793,793,PR_FS,0,,2010-10-07 16:00,2010-10-07 16:00
60,80642,90495,90513,793,793,PR_FS,0,,2010-10-07 16:00,2010-10-07 16:00
61,80643,90495,90508,793,793,PR_FS,0,,2010-10-03 16:00,2010-10-07 16:00
62,80644,90495,90514,793,793,PR_FS,0,,2010-09-14 16:00,2010-10-07 16:00
63,80645,90495,90512,793,793,PR_FS,0,,2010-09-07 16:00,2010-10-07 16:00
