,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11135,799,648,100,1,Y,N,WS_Open,Mohndsen required pl,Cleopatra elmohandeseen,,10191,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,VyakAPrxTzGqFkjRAUrJ/w,,
1,11136,799,648,1,1,N,N,WS_Open,ENG,Engineering,,11135,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,JovnkGGGQHeeu8cvkVY1Uw,,
2,11137,799,648,2,1,N,N,WS_Open,1,Construction Phase,,11135,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,3UOOuHW6Rd6vaucKSiFWnw,,
3,11138,799,648,1,1,N,N,WS_Open,-2 L,-2 Floor level,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,PFvh8r0MT7eY7a1TbwZpIw,,
4,11139,799,648,101,1,N,N,WS_Open,-1L,-1 Floor level,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,sjZqcUsdSI6D+wLuD1vaTQ,,
5,11140,799,648,0,1,N,N,WS_Open,F. L,Foundation Level,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,LptyX+TlT6SIi80h2VM/+w,,
6,11141,799,648,201,1,N,N,WS_Open,0 L,Ground Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,dlYttCzqSXuNWaMq+JYiIg,,
7,11152,799,648,0,1,N,N,WS_Open,GEN,General,,11135,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,ltMy/xjLR3m/lqO9oR7eNw,,
8,11162,799,648,1318,1,N,N,WS_Open,0 L1,1st Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,SK18TutggEqploJrfrvkSA,dlYttCzqSXuNWaMq+JYiIg,
9,11163,799,648,1319,1,N,N,WS_Open,0 L2,2 nd Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,MAiju948hUCredaLQUmCMA,SK18TutggEqploJrfrvkSA,
10,11164,799,648,1322,1,N,N,WS_Open,0 L3,5 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,GuI8rtEE2ES4ClhkHJdPfw,dlYttCzqSXuNWaMq+JYiIg,
11,11165,799,648,1321,1,N,N,WS_Open,0 L11,4 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,Zu0GFMZmbEmIr6LBdH/H8Q,SK18TutggEqploJrfrvkSA,
12,11166,799,648,1320,1,N,N,WS_Open,0 L21,3 rd Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,C/p7t6M5xUeNcQ2CMRS3nw,MAiju948hUCredaLQUmCMA,
13,11168,799,648,1323,1,N,N,WS_Open,0 L12,6 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,FHqA77aPmUejpyLDIWWGVw,SK18TutggEqploJrfrvkSA,
14,11169,799,648,1324,1,N,N,WS_Open,0 L22,7 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,WOP6qw2sA0i68TdpFrPWeA,MAiju948hUCredaLQUmCMA,
15,11170,799,648,1326,1,N,N,WS_Open,0 L211,9 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,vBy8OGy9/0+HrLeno1fKQQ,C/p7t6M5xUeNcQ2CMRS3nw,
16,11171,799,648,1325,1,N,N,WS_Open,0 L111,8 th Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,NL42N+yczUypUYy74XSPpA,Zu0GFMZmbEmIr6LBdH/H8Q,
17,11173,799,648,1426,1,N,N,WS_Open,0 L2111,Roof Floor,,11137,4,0.88,0,0,,,,,,EC_Cmp_pct,EE_Rem_hr,/jjhjRhKE0Sd/I8oMz7EEw,vBy8OGy9/0+HrLeno1fKQQ,
