,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,77912,87791,87873,799,799,PR_FS,0,,2010-06-20 08:00,2010-06-20 08:00
1,77913,87792,87791,799,799,PR_FS,0,,2010-06-23 16:00,2010-06-24 08:00
2,77915,87772,87771,799,799,PR_SS,16,,2010-06-28 16:00,2010-06-21 08:00
3,77916,87773,87772,799,799,PR_FS,16,,2010-07-04 16:00,2010-07-04 08:00
4,77917,87773,87771,799,799,PR_FS,0,,2010-07-03 16:00,2010-07-06 08:00
5,77918,87776,87774,799,799,PR_FS,0,,2010-07-21 16:00,2010-07-22 08:00
6,77919,87777,87776,799,799,PR_FS,8,,2010-07-24 16:00,2010-07-24 08:00
7,77920,87778,87777,799,799,PR_FS,0,,2010-07-31 16:00,2010-08-01 08:00
8,77921,87779,87778,799,799,PR_FS,0,,2010-08-07 16:00,2010-08-08 08:00
9,77925,87786,87784,799,799,PR_FS,0,,2010-08-18 16:00,2010-08-19 08:00
10,77931,87796,87795,799,799,PR_SS,0,,2010-09-20 08:00,2010-09-01 08:00
11,77935,87800,87799,799,799,PR_FS,0,,2010-10-03 16:00,2010-10-04 08:00
12,77936,87800,87801,799,799,PR_FS,0,,2010-10-03 16:00,2010-10-04 08:00
13,77946,87770,87873,799,799,PR_FS,0,,2010-06-20 08:00,2010-06-20 08:00
14,77947,87791,87770,799,799,PR_FS,0,,2010-06-20 08:00,2010-06-20 08:00
15,77948,87779,87780,799,799,PR_FS,0,,2010-08-04 16:00,2010-08-08 08:00
16,77949,87780,87778,799,799,PR_SS,16,,2010-08-02 16:00,2010-07-27 08:00
17,77950,87801,87799,799,799,PR_SS,24,,2010-09-30 16:00,2010-09-22 08:00
18,77953,87874,87792,799,799,PR_FS,0,,2010-06-28 16:00,2011-03-22 16:00
19,77957,87775,87773,799,799,PR_FS,0,,2010-07-05 16:00,2010-07-07 08:00
20,77958,87774,87775,799,799,PR_FS,0,,2010-07-13 16:00,2010-07-14 08:00
21,77960,87784,87785,799,799,PR_FS,-16,,2010-08-14 08:00,2010-08-15 16:00
22,78044,87794,87792,799,799,PR_FS,0,,2010-06-28 16:00,2010-06-29 08:00
23,78045,87775,87794,799,799,PR_FS,0,,2010-07-06 16:00,2010-07-07 08:00
24,78046,87797,87796,799,799,PR_FS,16,,2010-09-26 16:00,2010-09-25 08:00
25,78047,87799,87797,799,799,PR_FS,0,,2010-09-27 16:00,2010-09-28 08:00
26,78112,87793,87786,799,799,PR_FS,16,,2010-08-22 16:00,2010-08-21 08:00
27,78114,87771,87791,799,799,PR_FS,16,,2010-06-26 16:00,2010-06-26 08:00
28,78116,87785,87779,799,799,PR_FS,16,,2010-08-10 16:00,2010-08-09 08:00
29,78117,87930,87929,799,799,PR_SS,16,,2010-08-31 16:00,2010-08-18 08:00
30,78118,87933,87932,799,799,PR_FS,0,,2010-09-16 16:00,2010-09-18 08:00
31,78119,87933,87934,799,799,PR_FS,0,,2010-09-16 16:00,2010-09-18 08:00
32,78120,87934,87932,799,799,PR_SS,16,,2010-09-14 16:00,2010-09-04 08:00
33,78121,87931,87930,799,799,PR_FS,16,,2010-09-06 16:00,2010-09-05 08:00
34,78122,87932,87931,799,799,PR_FS,0,,2010-09-07 16:00,2010-09-13 08:00
35,78123,87929,87793,799,799,PR_FS,8,,2010-08-29 16:00,2010-08-29 08:00
36,78124,87795,87933,799,799,PR_FS,8,,2010-09-19 16:00,2010-09-19 08:00
37,78125,87936,87935,799,799,PR_SS,0,,2010-10-06 08:00,2010-09-22 08:00
38,78126,87939,87938,799,799,PR_FS,0,,2010-10-19 16:00,2010-10-20 08:00
39,78127,87939,87940,799,799,PR_FS,0,,2010-10-19 16:00,2010-10-20 08:00
40,78128,87940,87938,799,799,PR_SS,24,,2010-10-17 16:00,2010-10-09 08:00
41,78129,87937,87936,799,799,PR_FS,16,,2010-10-12 16:00,2010-10-11 08:00
42,78130,87938,87937,799,799,PR_FS,0,,2010-10-13 16:00,2010-10-14 08:00
43,78131,87942,87941,799,799,PR_SS,0,,2010-10-23 08:00,2010-10-09 08:00
44,78132,87945,87944,799,799,PR_FS,0,,2010-11-04 16:00,2010-11-06 08:00
45,78133,87945,87946,799,799,PR_FS,0,,2010-11-04 16:00,2010-11-06 08:00
46,78134,87946,87944,799,799,PR_SS,24,,2010-11-02 16:00,2010-10-25 08:00
47,78135,87943,87942,799,799,PR_FS,16,,2010-10-28 16:00,2010-10-27 08:00
48,78136,87944,87943,799,799,PR_FS,0,,2010-10-30 16:00,2010-10-31 08:00
49,78137,87948,87947,799,799,PR_SS,0,,2010-12-18 08:00,2010-12-04 08:00
50,78138,87951,87950,799,799,PR_FS,0,,2010-12-30 16:00,2011-01-01 08:00
51,78139,87951,87952,799,799,PR_FS,0,,2010-12-30 16:00,2011-01-01 08:00
52,78140,87952,87950,799,799,PR_SS,24,,2010-12-28 16:00,2010-12-20 08:00
53,78141,87949,87948,799,799,PR_FS,16,,2010-12-23 16:00,2010-12-22 08:00
54,78142,87950,87949,799,799,PR_FS,0,,2010-12-25 16:00,2010-12-26 08:00
55,78143,87954,87953,799,799,PR_SS,0,,2010-12-01 08:00,2010-11-10 08:00
56,78144,87957,87956,799,799,PR_FS,0,,2010-12-14 16:00,2010-12-15 08:00
57,78145,87957,87958,799,799,PR_FS,0,,2010-12-14 16:00,2010-12-15 08:00
58,78146,87958,87956,799,799,PR_SS,24,,2010-12-12 16:00,2010-12-04 08:00
59,78147,87955,87954,799,799,PR_FS,16,,2010-12-07 16:00,2010-12-06 08:00
60,78148,87956,87955,799,799,PR_FS,0,,2010-12-08 16:00,2010-12-09 08:00
61,78149,87960,87959,799,799,PR_SS,0,,2010-11-08 08:00,2010-10-25 08:00
62,78150,87963,87962,799,799,PR_FS,0,,2010-11-28 16:00,2010-11-29 08:00
