,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2748,3922,1,1.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
1,2749,3923,1,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
2,2751,3926,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
3,2752,3927,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
4,2753,3925,1,0.00,2011-01-01 00:00,,0.00,0.00,0.00,0.00
5,2754,3928,1,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
6,2755,3929,1000,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
7,2756,3930,1,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
8,2807,4331,1,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
9,2808,4332,1,0.00,2012-01-01 00:00,,0.00,0.00,0.00,0.00
