,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,136378,4276,21267,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1230,Commencement date,,0,0,0,0,0,0,0,0,0,0,,,,2013-01-01 09:36,2013-01-01 09:36,,2013-01-01 09:36,2013-01-01 09:36,2013-01-01 09:36,2013-01-01 09:36,2013-01-01 09:36,2013-01-01 09:36,,2013-01-01 09:36,2013-01-01 09:36,,PT_Normal,,,,,D3NFQ+pOSLihs17jm95ZRw,,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
1,136379,4276,21267,794,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1240,Project handing over,,0,0,0,0,0,0,0,0,0,0,,,,2014-03-29 09:36,2014-03-29 09:36,,2014-03-29 09:36,2014-03-29 09:36,2014-03-29 09:36,2014-03-29 09:36,2014-03-29 09:36,2014-03-29 09:36,,2014-03-29 09:36,2014-03-29 09:36,,PT_Normal,,,,,zQ1xm/laSleCKBF4ZDrieg,,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:58,admin,admin
2,136380,4276,21267,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1250,Site handing over,,0,0,0,0,0,0,0,0,0,0,,,,2013-01-01 08:00,2013-01-01 08:00,,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,,2013-01-01 08:00,2013-01-01 08:00,,PT_Normal,,,,,YgSybddjQoKr8GygVShDMw,,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
3,136381,4276,21267,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1260,Recieve advanced payments,,0,0,0,0,0,0,0,0,0,0,,,,2013-01-01 08:48,2013-01-01 08:48,,2013-01-01 08:48,2013-01-01 08:48,2013-01-01 08:48,2013-01-01 08:48,2013-01-01 08:48,2013-01-01 08:48,,2013-01-01 08:48,2013-01-01 08:48,,PT_Normal,,,,,NFb/FHvxT3Wu783IiOBJEg,,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
4,136382,4276,21267,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1270,Contract signature,,0,0,0,0,0,0,0,0,0,0,,,,2013-01-01 08:00,2013-01-01 08:00,,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,2013-01-01 08:00,,2013-01-01 08:00,2013-01-01 08:00,,PT_Normal,,,,,z6bhEtQARAaNUQEJtCLb1A,,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
5,136383,4276,21268,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1200,Mobilization,,0,0,240,0,0,0,240,0,0,0,,,,2013-01-01 09:36,2013-01-31 09:36,,2013-01-01 09:36,2013-01-31 09:36,2013-01-01 09:36,2013-01-31 09:36,2013-01-01 09:36,2013-01-31 09:36,,2013-01-01 09:36,2013-01-31 09:36,,PT_Normal,,,,,osPN9U8fS3KcG8z6dCgSoA,9g1sE2VB1U6pIuVC6r00HQ,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
6,136384,4276,21268,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1210,Demobilization,,0,0,56,0,0,0,56,0,0,0,,,,2014-03-22 09:36,2014-03-29 09:36,,2014-03-22 09:36,2014-03-29 09:36,2014-03-22 09:36,2014-03-29 09:36,2014-03-22 09:36,2014-03-29 09:36,,2014-03-22 09:36,2014-03-29 09:36,,PT_Normal,,,,,4jLIYaqHRhS09hAn3FPaKg,6UtKfu3ZSky5fTxS8brGMA,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:58,admin,admin
7,136411,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-10,P.c footing,,0,0,80,0,0,0,80,0,0,0,,,,2013-02-14 09:36,2013-02-24 09:36,,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,,2013-02-14 09:36,2013-02-24 09:36,,PT_Normal,,,,,SL+hO0E/Qm6Fd5F/q/3bYQ,rWhBAZkh+UeQbamarZIS4w,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
8,136412,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-20,R.c concrete foundations,3926,0,0,112,0,400,400,112,0,0,0,,,,2013-02-24 09:36,2013-03-10 09:36,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,,2013-02-24 09:36,2013-03-10 09:36,,PT_Normal,,,,,SudEEe2pTkWxgHjKKrfA6A,fVuZKCCEqUqoIXD0vyQdjg,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
9,136413,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-60,Backfilling under slab on grade,,0,0,56,0,0,0,56,0,0,0,,,,2013-04-07 09:36,2013-04-14 09:36,,2013-04-07 09:36,2013-04-14 09:36,2013-04-07 09:36,2013-04-14 09:36,2013-04-07 09:36,2013-04-14 09:36,,2013-04-07 09:36,2013-04-14 09:36,,PT_Normal,,,,,bIpo8TBoRTmgMKDrbFwAfg,P+laH7BehEKLWy0RRQUK/A,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
10,136414,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-125,Roof parapet,,1904,0,80,0,0,0,80,0,0,0,,,,2014-02-18 09:36,2014-02-28 09:36,,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,,2014-02-18 09:36,2014-02-28 09:36,,PT_Normal,,,,,aJB0LdJ9S72qQz9eud6H5g,,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
11,136415,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-30,Ground floor columns,,0,0,112,0,200,200,112,0,0,0,,,,2013-03-10 09:36,2013-03-24 09:36,,2013-03-10 09:36,2013-03-24 09:36,2013-03-10 09:36,2013-03-24 09:36,2013-03-10 09:36,2013-03-24 09:36,,2013-03-10 09:36,2013-03-24 09:36,,PT_Normal,,,,,O27Ux1mTTWaY1l9woJcosw,5yj8BGn/C0W6NJuhsTVhXg,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
12,136416,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-70,Ground floor slab&beams&staircase,,0,0,200,0,1600,1600,200,0,0,0,,,,2013-04-14 09:36,2013-05-09 09:36,,2013-04-14 09:36,2013-05-09 09:36,2013-04-14 09:36,2013-05-09 09:36,2013-04-14 09:36,2013-05-09 09:36,,2013-04-14 09:36,2013-05-09 09:36,,PT_Normal,,,,,YXp99zgdQJ+881xKBVOsrw,K8QiAQZJ8E2G/KYlcddHdA,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
13,136417,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-80,First floor columns,3926,8,8,112,0,200,200,112,0,0,0,,,,2013-05-10 09:36,2013-05-24 09:36,,2013-05-09 09:36,2013-05-23 09:36,2013-05-09 09:36,2013-05-23 09:36,2013-05-09 09:36,2013-05-23 09:36,,2013-05-10 09:36,2013-05-24 09:36,,PT_Normal,,,,,xirgDdJmQEuTSvohLksokg,eGnUQOIpGkKxFd9hCQ2QWw,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
14,136418,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-90,First floor slab&beams&staircase,3926,0,0,200,0,1600,1600,200,0,0,0,,,,2013-05-24 09:36,2013-06-18 09:36,,2013-05-24 09:36,2013-06-18 09:36,2013-05-24 09:36,2013-06-18 09:36,2013-05-24 09:36,2013-06-18 09:36,,2013-05-24 09:36,2013-06-18 09:36,,PT_Normal,,,,,C3TRaUTpTrya+qiPXkn9yg,qchE/fPDA0mMKwCLVYROIg,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
15,136419,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-100,Roof columns,3926,0,0,56,0,132,132,56,0,0,0,,,,2013-06-18 09:36,2013-06-25 09:36,,2013-06-18 09:36,2013-06-25 09:36,2013-06-18 09:36,2013-06-25 09:36,2013-06-18 09:36,2013-06-25 09:36,,2013-06-18 09:36,2013-06-25 09:36,,PT_Normal,,,,,VS3gzRjvTvyY0NN33KszRg,+QYvubRQAkGs6mSahC7qWg,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
16,136420,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-120,Roof slab,3926,0,0,80,0,400,400,80,0,0,0,,,,2013-06-25 09:36,2013-07-05 09:36,,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,,2013-06-25 09:36,2013-07-05 09:36,,PT_Normal,,,,,OgyJkJMwSxCZo42JCPWjag,3WqknFkuD0eWsVgJp9+EuA,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
17,136421,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-110,Slab on grade(R.C&P.C),,1624,80,40,0,0,0,40,0,0,0,,,,2014-01-07 09:36,2014-01-12 09:36,,2013-06-18 09:36,2013-06-23 09:36,2013-06-18 09:36,2013-06-23 09:36,2013-06-18 09:36,2013-06-23 09:36,,2014-01-07 09:36,2014-01-12 09:36,,PT_Normal,,,,,AtY/AJxLT4u7/Q6yuaqAWA,dEOM/i4yIkSiT98sBjOx3g,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
18,136422,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-40,Masonry under slab on grade,3927,0,0,80,0,400,400,80,0,0,0,,,,2013-03-24 09:36,2013-04-03 09:36,,2013-03-24 09:36,2013-04-03 09:36,2013-03-24 09:36,2013-04-03 09:36,2013-03-24 09:36,2013-04-03 09:36,,2013-03-24 09:36,2013-04-03 09:36,,PT_Normal,,,,,bUHrB25ZQcSK8ELca2gIyA,kdLCU35NK06AA/H0CJ4kcQ,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
19,136423,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-140,Masonry works,3927,1544,0,160,0,1700,1700,160,0,0,0,,,,2014-01-12 09:36,2014-02-01 09:36,,2013-07-03 09:36,2013-07-23 09:36,2013-07-03 09:36,2013-07-23 09:36,2013-07-03 09:36,2013-07-23 09:36,,2014-01-12 09:36,2014-02-01 09:36,,PT_Normal,,,,,4T1Pl75SRj6Gulxr2ndXOA,CJq6zTuHLkWrIYXM74TVbA,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
20,136424,4276,21331,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-50,Footings&masonry insulation,,0,0,32,0,0,0,32,0,0,0,,,,2013-04-03 09:36,2013-04-07 09:36,,2013-04-03 09:36,2013-04-07 09:36,2013-04-03 09:36,2013-04-07 09:36,2013-04-03 09:36,2013-04-07 09:36,,2013-04-03 09:36,2013-04-07 09:36,,PT_Normal,,,,,L+1Tx9DaRhujTwZt+rcEDA,EV8tQZqf6ESVKFIk0OiwsA,,,Y,0,0,,,2012-05-17 16:10,2012-06-21 09:54,admin,admin
21,136425,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-160,Thermal insulation,,1904,0,56,0,0,0,56,0,0,0,,,,2014-03-12 09:36,2014-03-19 09:36,,2013-07-17 09:36,2013-07-24 09:36,2013-07-17 09:36,2013-07-24 09:36,2013-07-17 09:36,2013-07-24 09:36,,2014-03-12 09:36,2014-03-19 09:36,,PT_Normal,,,,,oEcxiSNfRGiivppOh7c0yg,i4Llo7ZmyE2/VD2qHcehjQ,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
22,136426,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-150,Water proofing insulation,,1904,0,56,0,0,0,56,0,0,0,,,,2014-03-05 09:36,2014-03-12 09:36,,2013-07-10 09:36,2013-07-17 09:36,2013-07-10 09:36,2013-07-17 09:36,2013-07-10 09:36,2013-07-17 09:36,,2014-03-05 09:36,2014-03-12 09:36,,PT_Normal,,,,,BPblkb6UQUKJSte5PM9xcg,RXtnIQVT2km1J+qBz2SrGw,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
23,136427,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-130,Slopped concrete,,1904,0,40,0,0,0,40,0,0,0,,,,2014-02-28 09:36,2014-03-05 09:36,,2013-07-05 09:36,2013-07-10 09:36,2013-07-05 09:36,2013-07-10 09:36,2013-07-05 09:36,2013-07-10 09:36,,2014-02-28 09:36,2014-03-05 09:36,,PT_Normal,,,,,/DGFa8ThS9e1BRoddDFQNQ,v7RYkWjI6EyC3oEf/ySU9A,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
24,136428,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-170,Terrazzo tiles,,1904,1904,80,0,0,0,80,0,0,0,,,,2014-03-19 09:36,2014-03-29 09:36,,2013-07-24 09:36,2013-08-03 09:36,2013-07-24 09:36,2013-08-03 09:36,2013-07-24 09:36,2013-08-03 09:36,,2014-03-19 09:36,2014-03-29 09:36,,PT_Normal,,,,,1QKrwqUMQTiajKqZpAe48Q,hqnubqZTckaJEFiWb5ejgg,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
25,136429,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-180,External plaster works,,1544,0,168,0,400,400,168,0,0,0,,,,2014-02-01 09:36,2014-02-22 09:36,,2013-07-23 09:36,2013-08-13 09:36,2013-07-23 09:36,2013-08-13 09:36,2013-07-23 09:36,2013-08-13 09:36,,2014-02-01 09:36,2014-02-22 09:36,,PT_Normal,,,,,Hx7NDdSkT8+MeugFYrmodg,vJvp6gwuTEGwkZOdmZmDww,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
26,136430,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-200,Flooring works(garnite& marbles),,1544,0,80,0,0,0,80,0,0,0,,,,2014-02-22 09:36,2014-03-04 09:36,,2013-08-13 09:36,2013-08-23 09:36,2013-08-13 09:36,2013-08-23 09:36,2013-08-13 09:36,2013-08-23 09:36,,2014-02-22 09:36,2014-03-04 09:36,,PT_Normal,,,,,o4sXM0g6RA+9FioMBCkkjA,lYHio5sIrU65FimKnSL+MA,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
27,136431,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-210,Stone cladding,,1568,24,56,0,0,0,56,0,0,0,,,,2014-02-25 09:36,2014-03-04 09:36,,2013-08-13 09:36,2013-08-20 09:36,2013-08-13 09:36,2013-08-20 09:36,2013-08-13 09:36,2013-08-20 09:36,,2014-02-25 09:36,2014-03-04 09:36,,PT_Normal,,,,,G0MfRwxET2uaplX4vAwJXg,,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
28,136432,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-220,External painting,4332,1544,0,120,0,400,400,120,0,0,0,,,,2014-03-04 09:36,2014-03-19 09:36,,2013-08-23 09:36,2013-09-07 09:36,2013-08-23 09:36,2013-09-07 09:36,2013-08-23 09:36,2013-09-07 09:36,,2014-03-04 09:36,2014-03-19 09:36,,PT_Normal,,,,,rsdHd8BLTh29lqHVKJ6Rtw,Bzy4KMKJRkKejLAEfUGmcA,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
29,136433,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-230,Doors & windows erection,,1544,1544,80,0,0,0,80,0,0,0,,,,2014-03-19 09:36,2014-03-29 09:36,,2013-09-07 09:36,2013-09-17 09:36,2013-09-07 09:36,2013-09-17 09:36,2013-09-07 09:36,2013-09-17 09:36,,2014-03-19 09:36,2014-03-29 09:36,,PT_Normal,,,,,SPvqEH6sRTSe2ilKQjbshQ,gWuwP0LZfkGTxvwjcqmJig,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:58,admin,admin
30,136434,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-240,Wood cladding,,1544,1544,80,0,0,0,80,0,0,0,,,,2014-03-19 09:36,2014-03-29 09:36,,2013-09-07 09:36,2013-09-17 09:36,2013-09-07 09:36,2013-09-17 09:36,2013-09-07 09:36,2013-09-17 09:36,,2014-03-19 09:36,2014-03-29 09:36,,PT_Normal,,,,,XA6QPj+ZSreaZw2MHmPUCg,,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:58,admin,admin
31,136435,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-250,Hand rails erection,,1584,1584,40,0,0,0,40,0,0,0,,,,2014-03-24 09:36,2014-03-29 09:36,,2013-09-07 09:36,2013-09-12 09:36,2013-09-07 09:36,2013-09-12 09:36,2013-09-07 09:36,2013-09-12 09:36,,2014-03-24 09:36,2014-03-29 09:36,,PT_Normal,,,,,tLc0G/M4RSqtzJPZuBDhlQ,,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:58,admin,admin
32,136436,4276,21332,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,V-1-190,Mechanical & electrical works,,1792,1792,200,0,0,0,200,0,0,0,,,,2014-03-04 09:36,2014-03-29 09:36,,2013-07-23 09:36,2013-08-17 09:36,2013-07-23 09:36,2013-08-17 09:36,2013-07-23 09:36,2013-08-17 09:36,,2014-03-04 09:36,2014-03-29 09:36,,PT_Normal,,,,,PISqpKXMTrmlCMpmVSJhwQ,Zztkg30/z0+sneGM0sNXYQ,,,N,0,0,,,2012-05-17 16:10,2012-06-21 09:57,admin,admin
