,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,195834,136422,136415,4276,4276,PR_FS,0,,2013-03-24 09:36,2013-03-24 09:36
1,195835,136418,136417,4276,4276,PR_FS,0,,2013-05-23 09:36,2013-05-24 09:36
2,195836,136413,136424,4276,4276,PR_FS,0,,2013-04-07 09:36,2013-04-07 09:36
3,195837,136426,136427,4276,4276,PR_FS,0,,2013-07-10 09:36,2014-03-05 09:36
4,195838,136434,136432,4276,4276,PR_FS,0,,2013-09-07 09:36,2014-03-19 09:36
5,195843,136383,136378,4276,4276,PR_FS,0,,2013-01-01 09:36,2013-01-01 09:36
6,195856,136412,136411,4276,4276,PR_FS,0,,2013-02-24 09:36,2013-02-24 09:36
7,195857,136414,136420,4276,4276,PR_SS,0,,2013-06-25 09:36,2014-02-08 09:36
8,195858,136424,136422,4276,4276,PR_FS,0,,2013-04-03 09:36,2013-04-03 09:36
9,195869,136418,136416,4276,4276,PR_FS,120,,2013-05-24 09:36,2013-05-09 09:36
10,195870,136432,136431,4276,4276,PR_FS,0,,2013-08-20 09:36,2014-03-04 09:36
11,195879,136427,136414,4276,4276,PR_FS,0,,2013-07-05 09:36,2014-02-28 09:36
12,195880,136435,136432,4276,4276,PR_FS,0,,2013-09-07 09:36,2014-03-24 09:36
13,195888,136378,136381,4276,4276,PR_FS,0.8,,2013-01-01 09:36,2013-01-01 08:48
14,195895,136415,136412,4276,4276,PR_FS,0,,2013-03-10 09:36,2013-03-10 09:36
15,195896,136429,136423,4276,4276,PR_FS,0,,2013-07-23 09:36,2014-02-01 09:36
16,195904,136430,136429,4276,4276,PR_FS,0,,2013-08-13 09:36,2014-02-22 09:36
17,195905,136436,136489,4276,4276,PR_SS,0,,2013-07-23 09:36,2014-02-12 09:36
18,195906,136432,136430,4276,4276,PR_FS,0,,2013-08-23 09:36,2014-03-04 09:36
19,195917,136416,136413,4276,4276,PR_FS,0,,2013-04-14 09:36,2013-04-14 09:36
20,195918,136423,136418,4276,4276,PR_FS,120,,2013-07-03 09:36,2013-12-28 09:36
21,195919,136428,136425,4276,4276,PR_FS,0,,2013-07-24 09:36,2014-03-19 09:36
22,195920,136433,136432,4276,4276,PR_FS,0,,2013-09-07 09:36,2014-03-19 09:36
23,195925,136382,136380,4276,4276,PR_FS,0,,2013-01-01 08:00,2013-01-01 08:00
24,195926,136381,136382,4276,4276,PR_FS,0.8,,2013-01-01 08:48,2013-01-01 08:00
25,195931,136417,136416,4276,4276,PR_FS,0,,2013-05-09 09:36,2013-05-10 09:36
26,195932,136419,136418,4276,4276,PR_FS,0,,2013-06-18 09:36,2013-06-18 09:36
27,195933,136421,136418,4276,4276,PR_FS,0,,2013-06-18 09:36,2014-01-07 09:36
28,195934,136420,136419,4276,4276,PR_FS,0,,2013-06-25 09:36,2013-06-25 09:36
29,195935,136423,136421,4276,4276,PR_FS,0,,2013-06-23 09:36,2014-01-12 09:36
30,195936,136425,136426,4276,4276,PR_FS,0,,2013-07-17 09:36,2014-03-12 09:36
31,195941,136489,136423,4276,4276,PR_FS,0,,2013-07-23 09:36,2014-03-04 09:36
32,195942,136431,136429,4276,4276,PR_FS,0,,2013-08-13 09:36,2014-02-25 09:36
33,195943,136384,136379,4276,4276,PR_FF,0,,2014-03-22 09:36,2014-03-29 09:36
34,196008,136544,136383,4276,4276,PR_FS,0,,2013-01-31 09:36,2013-01-31 09:36
35,196009,136411,136544,4276,4276,PR_FS,0,,2013-02-14 09:36,2013-02-14 09:36
36,196010,136556,136549,4276,4276,PR_FS,0,,2013-09-24 09:36,2013-09-24 09:36
37,196011,136552,136551,4276,4276,PR_FS,0,,2013-11-14 09:36,2013-11-19 09:36
38,196012,136547,136558,4276,4276,PR_FS,0,,2013-10-08 09:36,2013-10-08 09:36
39,196013,136560,136561,4276,4276,PR_FS,0,,2013-12-31 09:36,2014-03-05 09:36
40,196014,136568,136566,4276,4276,PR_FS,0,,2014-03-09 09:36,2014-03-09 09:36
41,196015,136546,136545,4276,4276,PR_FS,0,,2013-08-31 09:36,2013-08-31 09:36
42,196016,136548,136554,4276,4276,PR_SS,0,,2013-12-16 09:36,2014-02-08 09:36
43,196017,136558,136556,4276,4276,PR_FS,0,,2013-10-04 09:36,2013-10-04 09:36
44,196018,136552,136550,4276,4276,PR_FS,120,,2013-11-19 09:36,2013-11-04 09:36
45,196019,136566,136565,4276,4276,PR_FS,0,,2014-02-14 09:36,2014-02-22 09:36
46,196020,136561,136548,4276,4276,PR_FS,0,,2013-12-26 09:36,2014-02-28 09:36
47,196021,136569,136566,4276,4276,PR_FS,0,,2014-03-09 09:36,2014-03-19 09:36
48,196022,136549,136546,4276,4276,PR_FS,0,,2013-09-14 09:36,2013-09-14 09:36
49,196023,136563,136557,4276,4276,PR_FS,0,,2014-01-13 09:36,2014-01-13 09:36
50,196024,136564,136563,4276,4276,PR_FS,0,,2014-02-07 09:36,2014-02-07 09:36
51,196025,136570,136571,4276,4276,PR_SS,0,,2014-01-13 09:36,2014-02-12 09:36
52,196026,136566,136564,4276,4276,PR_FS,0,,2014-02-22 09:36,2014-02-22 09:36
53,196027,136550,136547,4276,4276,PR_FS,0,,2013-10-15 09:36,2013-10-15 09:36
54,196028,136557,136552,4276,4276,PR_FS,120,,2013-12-24 09:36,2013-12-09 09:36
55,196029,136562,136559,4276,4276,PR_FS,0,,2014-01-14 09:36,2014-03-19 09:36
56,196030,136567,136566,4276,4276,PR_FS,0,,2014-03-09 09:36,2014-03-19 09:36
57,196031,136551,136550,4276,4276,PR_FS,0,,2013-11-04 09:36,2013-11-09 09:36
58,196032,136553,136552,4276,4276,PR_FS,0,,2013-12-09 09:36,2014-02-11 09:36
59,196033,136555,136552,4276,4276,PR_FS,0,,2013-12-09 09:36,2013-12-19 09:36
60,196034,136554,136553,4276,4276,PR_FS,0,,2013-12-16 09:36,2014-02-18 09:36
61,196035,136557,136555,4276,4276,PR_FS,0,,2013-12-14 09:36,2013-12-24 09:36
62,196036,136559,136560,4276,4276,PR_FS,0,,2014-01-07 09:36,2014-03-12 09:36
63,196037,136571,136557,4276,4276,PR_FS,0,,2014-01-13 09:36,2014-03-04 09:36
64,196038,136565,136563,4276,4276,PR_FS,0,,2014-02-07 09:36,2014-02-15 09:36
65,196039,136545,136572,4276,4276,PR_FS,0,,2013-08-21 09:36,2013-08-21 09:36
66,196040,136584,136577,4276,4276,PR_FS,0,,2013-06-26 09:36,2013-06-29 09:36
67,196041,136580,136579,4276,4276,PR_FS,0,,2013-08-23 09:36,2013-08-24 09:36
68,196042,136575,136586,4276,4276,PR_FS,0,,2013-07-10 09:36,2013-07-13 09:36
69,196043,136588,136589,4276,4276,PR_FS,0,,2013-10-05 09:36,2014-03-05 09:36
70,196044,136596,136594,4276,4276,PR_FS,0,,2013-12-03 09:36,2014-03-19 09:36
71,196045,136574,136573,4276,4276,PR_FS,0,,2013-05-29 09:36,2013-06-01 09:36
72,196046,136576,136582,4276,4276,PR_SS,0,,2013-09-20 09:36,2014-02-08 09:36
73,196047,136586,136584,4276,4276,PR_FS,0,,2013-07-06 09:36,2013-07-09 09:36
74,196048,136580,136578,4276,4276,PR_FS,120,,2013-08-24 09:36,2013-08-09 09:36
75,196049,136594,136593,4276,4276,PR_FS,0,,2013-11-15 09:36,2014-03-04 09:36
76,196050,136589,136576,4276,4276,PR_FS,0,,2013-09-30 09:36,2014-02-28 09:36
77,196051,136597,136594,4276,4276,PR_FS,0,,2013-12-03 09:36,2014-03-24 09:36
78,196052,136577,136574,4276,4276,PR_FS,0,,2013-06-12 09:36,2013-06-15 09:36
79,196053,136591,136585,4276,4276,PR_FS,0,,2013-10-18 09:36,2014-02-01 09:36
80,196054,136592,136591,4276,4276,PR_FS,0,,2013-11-08 09:36,2014-02-22 09:36
81,196055,136598,136599,4276,4276,PR_SS,0,,2013-10-18 09:36,2014-02-12 09:36
82,196056,136594,136592,4276,4276,PR_FS,0,,2013-11-18 09:36,2014-03-04 09:36
83,196057,136578,136575,4276,4276,PR_FS,0,,2013-07-17 09:36,2013-07-20 09:36
84,196058,136585,136580,4276,4276,PR_FS,120,,2013-09-28 09:36,2013-12-28 09:36
85,196059,136590,136587,4276,4276,PR_FS,0,,2013-10-19 09:36,2014-03-19 09:36
