,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,95238,136411,4276,Y,,,3922,,,,40,,40,0.5,0,0.5,0,0,0,0,1.00,40.00,0.00,0.00,40.00,,,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,N,,,,N,uhY47rv8T2uPQrZQqFpEHQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
1,95239,136411,4276,Y,,,3923,,,,30,,30,0.375,0,0.375,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,2013-02-14 09:36,2013-02-24 09:36,N,,,,N,FZ7BmMgNTNexyKPgbQI0bQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
2,95240,136412,4276,Y,,,3926,,,,200,,200,1.78571429,0,1.78571429,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,N,,,,N,GURBYt2uRc61+YQIsEBF5Q,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-05-17 16:10,,
3,95241,136412,4276,Y,,,3925,,,,200,,200,1.78571429,0,1.78571429,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,N,,,,N,enkbOw/bRhWpROXUG+f7wQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,admin,2012-05-17 16:10,,
4,95242,136412,4276,Y,,,3930,,,,2000,,2000,17.85714286,0,17.85714286,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,N,,,,N,bVqSIkIPSlui97RPNsclAg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
5,95243,136412,4276,Y,,,3922,,,,96,,96,0.85714286,0,0.85714286,0,0,0,0,1.00,96.00,0.00,0.00,96.00,,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,N,,,,N,EJY187A+R26FWDlLIm/6bQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
6,95244,136412,4276,Y,,,3928,,,,14,,14,0.125,0,0.125,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,2013-02-24 09:36,2013-03-10 09:36,N,,,,N,xfdgB87aTmKBoBtniiD9WA,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
7,95245,136413,4276,Y,,,3922,,,,32,,32,0.57142857,0,0.57142857,0,0,0,0,1.00,32.00,0.00,0.00,32.00,,,2013-04-07 09:36,2013-04-14 09:36,2013-04-07 09:36,2013-04-14 09:36,2013-04-07 09:36,2013-04-14 09:36,N,,,,N,18lsq9JeRIOSUKhJpHgPlg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
8,95246,136414,4276,Y,,,3922,,,,56,,56,0.7,0,0.7,0,0,0,0,1.00,56.00,0.00,0.00,56.00,,,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,2014-02-18 09:36,2014-02-28 09:36,N,,,,N,Ojp4Bu05Q+yjSZR3F4S41w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
9,95247,136414,4276,Y,,,3930,,,,3240,,3240,40.5,0,40.5,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,2013-06-25 09:36,2013-07-05 09:36,2013-06-25 09:36,2013-07-05 09:36,2014-02-18 09:36,2014-02-28 09:36,N,,,,N,tecQAD/qS0CWlVMF61xMXg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-05-17 16:10,,
