,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,3439,,,,1288,87778,(New Expense Item),,,0.00,45000.00,45000.00,45000.00,CL_Uniform,N,1,,,
1,3440,,,,1288,87776,(New Expense Item),,,0.00,640000.00,582400.00,582400.00,CL_Uniform,N,0.91,,,
2,3441,,,,1288,87777,(New Expense Item),,,0.00,390000.00,64350.00,64350.00,CL_Uniform,N,0.165,,,
3,3442,,,,1288,87781,(New Expense Item),,,0.00,517000.00,491150.00,491150.00,CL_Uniform,N,0.95,,,
4,3443,,,,1288,87782,(New Expense Item),,,0.00,4804800.00,4804800.00,4804800.00,CL_Uniform,N,1,,,
5,3447,,,,1288,87786,(New Expense Item),,,0.00,78030.00,78030.00,78030.00,CL_Uniform,N,1,,,
6,3448,,,,1288,87785,(New Expense Item),,,0.00,23750.00,1200150.00,1200150.00,CL_Start,N,50.532632,,,
7,3449,,,,1288,87794,(New Expense Item),,,0.00,105690.00,105690.00,105690.00,CL_Uniform,N,1,,,
8,3450,,,,1288,87810,(New Expense Item),,,0.00,629320.00,629320.00,629320.00,CL_Uniform,N,1,,,
9,3451,,,,1288,87783,(New Expense Item),,,0.00,108000.00,108000.00,108000.00,CL_Uniform,N,1,,,
10,3452,,,,1288,87813,(New Expense Item),,,0.00,10835.00,10835.00,10835.00,CL_Uniform,N,1,,,
11,3453,,,,1288,87784,(New Expense Item),,,0.00,49000.00,1130550.00,1130550.00,CL_Uniform,N,23.072449,,,
12,3454,,,,1288,87800,(New Expense Item),,,0.00,405938.00,372798.00,372798.00,CL_Uniform,N,0.918362,,,
13,3455,,,,1288,87788,(New Expense Item),,,0.00,971620.00,971620.00,971620.00,CL_Uniform,N,1,,,
14,3456,,,,1288,87789,(New Expense Item),,,0.00,545400.00,545400.00,545400.00,CL_Uniform,N,1,,,
15,3457,,,,1288,87790,(New Expense Item),,,0.00,306510.00,306510.00,306510.00,CL_Uniform,N,1,,,
16,3458,,,,1288,87791,(New Expense Item),,,0.00,79800.00,79800.00,79800.00,CL_Uniform,N,1,,,
17,3461,,,,1288,87815,(New Expense Item)1,,,0.00,2615607.00,57188.00,57188.00,CL_Uniform,N,0.021864,,,
18,3462,,,,1288,87795,(New Expense Item),,,0.00,44000.00,44000.00,44000.00,CL_Uniform,N,1,,,
19,3463,,,,1288,87796,(New Expense Item),,,0.00,69920.00,69920.00,69920.00,CL_Uniform,N,1,,,
20,3464,,,,1288,87797,(New Expense Item),,,0.00,217320.00,151735.00,151735.00,CL_Uniform,N,0.69821,,,
21,3465,,,,1288,87814,(New Expense Item),,,0.00,231920.00,222720.00,222720.00,CL_Uniform,N,0.960331,,,
22,3466,,,,1288,87801,(New Expense Item),,,0.00,679280.00,693152.00,693152.00,CL_Uniform,N,1.020422,,,
23,3467,,,,1288,87803,(New Expense Item),,,0.00,300000.00,300000.00,300000.00,CL_Start,N,1,,,
24,3468,,,,1288,87804,(New Expense Item),,,0.00,200000.00,200000.00,200000.00,CL_Start,N,1,,,
25,3469,,,,1288,87805,(New Expense Item),,,0.00,30581.00,30581.00,30581.00,CL_Uniform,N,1,,,
26,3470,,,,1288,87806,(New Expense Item),,,0.00,1000000.00,1000000.00,1000000.00,CL_Start,N,1,,,
27,3471,,,,1288,87807,(New Expense Item),,,0.00,900000.00,800000.00,800000.00,CL_Uniform,N,0.888889,,,
28,3472,,,,1288,87808,(New Expense Item),,,0.00,66499.00,66499.00,66499.00,CL_Uniform,N,1,,,
29,3473,,,,1288,87809,(New Expense Item),,,0.00,1120176.00,533299.00,533299.00,CL_Start,N,0.476085,,,
30,3474,,,,1288,87802,(New Expense Item),,,0.00,2618016.00,2272711.00,2272711.00,CL_Uniform,N,0.868104,,,
31,3477,,,,1288,87786,(New Expense Item)1,,,0.00,54400.00,54400.00,54400.00,CL_Uniform,N,1,,,
32,3478,,,,1288,87815,(New Expense Item),,,0.00,4549130.00,1534500.00,1534500.00,CL_Uniform,N,0.337317,,,
33,3479,,,,1288,87805,(New Expense Item)1,,,0.00,4300.00,4302.00,4302.00,CL_Uniform,N,1.000465,,,
34,3480,,,,1288,87807,(New Expense Item)1,,,0.00,3300.00,3139.00,3139.00,CL_Uniform,N,0.951212,,,
