,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11908,1288,565,200,1,Y,N,WS_Open,EL EZZ,EL EZZ,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8v5yJ7GQe0SwDOTPTxhnZg,,
1,11909,1288,565,0,1,N,N,WS_Open,Milestones,Project Milestones,,11908,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,IZhLLuyzwU+f6yTUlyLb1g,G93d0Ozo/U2n3p25aVQPAw,
2,11910,1288,565,1,1,N,N,WS_Open,Mobilization,Mobilization,,11908,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,84Lk609e2EmCl+dZivs/Aw,y1yb8bHoDUKsVR7DBajimA,
3,11911,1288,565,2,1,N,N,WS_Open,Engineering,Engineering,,11908,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rnl+WSKVF0yDt5TpFj10Ow,kGNaZGFbMEWtrE8364Cn+A,
4,11912,1288,565,3,1,N,N,WS_Open,Construction,Construction,,11908,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KhjhXI4CBkOSMSJssGr+Ww,yshWe/uUo0imKYTA6qFIFQ,
5,11913,1288,565,0,1,N,N,WS_Open,Shop drawings,Shop drawings,,11911,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,32LneP6C/UablrFNJeQGGA,B8Honta+EUaUefJxw1e/Ew,
6,11914,1288,565,0,1,N,N,WS_Open,Civil,Civil works,,11960,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/sh465waQU6ErJ8myZ3kgA,i/htwK52l0qF0qEDv9ATvQ,
7,11915,1288,565,1,1,N,N,WS_Open,Arch,Arch works,,11960,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,MGjQJ8T+30SpbajLBhz32g,Jk9olmB1X0atFuKAAVMvCQ,
8,11916,1288,565,2,1,N,N,WS_Open,MEP,MEP Works,,11960,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,80J2HUuCNUyL4d1Cm8diyQ,eJHX6WjGJEGxhQlDd3wFXQ,
9,11917,1288,565,204,1,N,N,WS_Open,WT&PR,"Utilities building, ELEC. Room & Security",,11912,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,XT39ORlWJk22+00u+BuAdw,anDwDw9pwkyPKGMO17PprQ,
