,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,87770,1288,11921,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A160,Shop Drawings submittal,,391,0,56,0,0,0,56,0,0,0,,,,2012-03-20 16:00,2012-03-27 16:00,,2012-02-01 08:00,2012-02-07 17:00,2012-02-01 08:00,2012-02-07 17:00,2012-02-01 08:00,2012-02-07 17:00,,2012-03-20 16:00,2012-03-27 16:00,,PT_Normal,,,,,U2mM0lztI0KA/Zf3ayYzpQ,8FDKh0SH9USGJEz7Q1fOeg,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
1,87771,1288,11921,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A260,Shop Drawings Approval,,391,0,56,0,0,0,56,0,0,0,,,,2012-03-27 16:00,2012-04-03 16:00,,2012-02-08 08:00,2012-02-14 17:00,2012-02-08 08:00,2012-02-14 17:00,2012-02-08 08:00,2012-02-14 17:00,,2012-03-27 16:00,2012-04-03 16:00,,PT_Normal,,,,,xV+K2ZIK306vjmM0wgam1w,p3Zt3p92yU66qiPjzR/+uQ,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
2,87772,1288,11929,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A180,Shop Drawings submittal,,287,0,56,0,0,0,56,0,0,0,,,,2012-02-24 16:00,2012-03-02 16:00,,2012-01-20 08:00,2012-01-26 17:00,2012-01-20 08:00,2012-01-26 17:00,2012-01-20 08:00,2012-01-26 17:00,,2012-02-24 16:00,2012-03-02 16:00,,PT_Normal,,,,,fYWGToEuH067O8a+RrxEqQ,k9niuQkR+0i3693thUNybg,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
3,87773,1288,11929,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A270,Shop Drawings Approval,,287,0,56,0,0,0,56,0,0,0,,,,2012-02-29 16:00,2012-03-07 16:00,,2012-01-25 08:00,2012-01-31 17:00,2012-01-25 08:00,2012-01-31 17:00,2012-01-25 08:00,2012-01-31 17:00,,2012-02-29 16:00,2012-03-07 16:00,,PT_Normal,,,,,HTU2od+YgkCY/m5qFFXenw,RwvIotA2/EyFIBKJT+o3dQ,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
4,87774,1288,11920,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A120,Shop Drawings submittal,,159,0,56,0,0,0,56,0,0,0,,,,2012-01-27 16:00,2012-02-03 16:00,,2012-01-08 08:00,2012-01-14 17:00,2012-01-08 08:00,2012-01-14 17:00,2012-01-08 08:00,2012-01-14 17:00,,2012-01-27 16:00,2012-02-03 16:00,,PT_Normal,,,,,iIsNrHzpukCH+cCh0lFEMQ,uow1mgoQnku7cUVQZdO/Rg,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
5,87775,1288,11920,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A170,Shop Drawings Approval,,159,0,56,0,0,0,56,0,0,0,,,,2012-02-01 16:00,2012-02-08 16:00,,2012-01-13 08:00,2012-01-19 17:00,2012-01-13 08:00,2012-01-19 17:00,2012-01-13 08:00,2012-01-19 17:00,,2012-02-01 16:00,2012-02-08 16:00,,PT_Normal,,,,,EqayXCG/UkC8Ss9urtFM1w,pL3FJFubdkOiZN5XPIU40g,,,N,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
6,87776,1288,11925,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Excavation Works,,0,0,80,0,0,0,80,0,0,0,,,,2012-01-11 08:00,2012-01-20 17:00,,2012-01-11 08:00,2012-01-20 17:00,2012-01-11 08:00,2012-01-20 17:00,2012-01-11 08:00,2012-01-20 17:00,,2012-01-11 08:00,2012-01-20 17:00,,PT_Normal,,,,,X4ta35OusE+LClJB+Q/C2g,LRTTyI1ztUeDUqd25mmz6Q,,,Y,0,0,,,2011-12-05 11:18,2011-12-06 11:16,admin,admin
7,87777,1288,11925,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Backfill Works,,0,0,80,0,0,0,80,0,0,0,,,,2012-03-24 16:00,2012-04-03 16:00,,2012-03-24 16:00,2012-04-03 16:00,2012-03-24 16:00,2012-04-03 16:00,2012-03-24 16:00,2012-04-03 16:00,,2012-03-24 16:00,2012-04-03 16:00,,PT_Normal,,,,,QQVrS5Ghe0+WAm0K6Dc+KQ,igQCME3J2U6HPZn2Da17mQ,,,Y,0,0,,,2011-12-05 11:18,2012-01-19 16:26,admin,admin
8,87778,1288,11910,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Site Preparation Works,,0,0,200,0,0,0,200,0,0,0,,,,2012-01-01 08:00,2012-01-25 17:00,,2012-01-01 08:00,2012-01-25 17:00,2012-01-01 08:00,2012-01-25 17:00,2012-01-01 08:00,2012-01-25 17:00,,2012-01-01 08:00,2012-01-25 17:00,,PT_Normal,,,,,1nZ0qzkiJ0C7hXQITUYEYA,SbkjKOYRmUOWCYlgGNnp5Q,,,Y,0,0,,,2011-12-05 11:18,2011-12-05 14:48,admin,admin
9,87779,1288,11909,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1060,Project Start,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,,PT_Normal,,,,,pUjM0tOi8EeC04sQdjwMeQ,XrEfUROHe0SR5P60zmuSQQ,,,Y,0,0,,,2011-12-05 11:18,2011-12-05 14:46,admin,admin
