,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,26661,7478,565,612,1,Y,N,WS_Open,GAMA-25,FARM FRITES FACTORY,,10472,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,gCBGSZLBPU+MA8GbsogAJg,,
1,26663,7478,565,6,1,N,N,WS_Open,2,CONSTRUCTION,,26661,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,PsW/9cETd0K/kbM3cOpGYw,,
2,26664,7478,565,1,1,N,N,WS_Open,3,MOBILIZATION,,26661,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RMtYQAYy/kiYSX1N8g1TYA,,
3,26665,7478,565,0,1,N,N,WS_Open,4,MILESTONES,,26661,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,sT14FVXbjEKHOVhEIvwPvw,,
4,26666,7478,565,202,1,N,N,WS_Open,1,STORAGE BUILDING,,26663,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,M07vCK6gQ0eaSXqRarL3Ng,,
5,26667,7478,565,102,1,N,N,WS_Open,2,REFRIGERATOR BUILDING,,26663,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,KXNAfKptz06UuzPVgp4CEw,,
6,26670,7478,565,0,1,N,N,WS_Open,1,Civil works,,26667,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tIN+y2p65U6uABIugftxew,FQCQpPX4H0+RJbis/8/1GQ,
7,26671,7478,565,1,1,N,N,WS_Open,2,MEP WORKS,,26667,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,tzfBoxKavE2k+R5nTw0hXw,bV4czbVxkEOxlRkkmE/1dw,
8,26672,7478,565,2,1,N,N,WS_Open,1,PROCUREMENT,,26661,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,oh9sCeI4u02yfQqQGE2ASg,,
9,26673,7478,565,4,1,N,N,WS_Open,5,ENGINEERING,,26661,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,I8IFt1QcO0KpQzoh+kAbYg,,
10,26674,7478,565,3,1,N,N,WS_Open,1,Purchase order,,26672,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hXCiCjtizEG+mVhEvf20xw,,
11,26675,7478,565,3,1,N,N,WS_Open,2,Delivery dates,,26672,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,J/FpPMRS8EuFZGPYmj+qPQ,,
12,26727,7478,565,5,1,N,N,WS_Open,1,Submittal,,26673,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,7j0LezNJNUqg9ibsDTjXQw,,
13,26728,7478,565,5,1,N,N,WS_Open,2,Approval,,26673,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Zshd5KAR4UCUogD9/aQ8kQ,,
14,26767,7478,565,202,1,N,N,WS_Open,2,MEP WORKS,,26666,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Lefu0jSWsE2RVhNIG7ZzOw,tzfBoxKavE2k+R5nTw0hXw,
15,26768,7478,565,0,1,N,N,WS_Open,1,Civil works,,26666,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,m+O5G+MWTkydEG1v/YBBcA,,
