,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,158718,7478,26664,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1120,Mobilization,,0,0,112,0,0,0,112,0,0,0,,,,2012-10-01 08:00,2012-10-14 17:00,,2012-10-01 08:00,2012-10-14 17:00,2012-10-01 08:00,2012-10-14 17:00,2012-10-01 08:00,2012-10-14 17:00,,2012-10-01 08:00,2012-10-14 17:00,,PT_Normal,,,,,GPhAdYb3b06l20kVFs6cpA,,,,Y,0,0,,,2012-09-19 16:56,2012-09-19 17:06,admin,admin
1,158719,7478,26664,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1130,Demobilization,,8,8,56,0,0,0,56,0,0,0,,,,2013-03-25 08:00,2013-03-31 17:00,,2013-03-24 08:00,2013-03-30 17:00,2013-03-24 08:00,2013-03-30 17:00,2013-03-24 08:00,2013-03-30 17:00,,2013-03-25 08:00,2013-03-31 17:00,,PT_Normal,,,,,XTHYvj+vd0KuxlzLQ1pDUw,,,,N,0,0,,,2012-09-19 16:56,2012-09-30 13:18,admin,admin
2,158720,7478,26665,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1140,Letter of acceptance,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,,PT_Normal,,,,,6n41C5wQ2kGwouxH7Klctw,,,,Y,0,0,,,2012-09-19 16:59,2012-09-19 17:09,admin,admin
3,158721,7478,26665,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1150,Site handing over,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,,PT_Normal,,,,,4q3LDoatHU6Lumt1WWZOLg,,,,Y,0,0,,,2012-09-19 17:06,2012-09-19 17:09,admin,admin
4,158722,7478,26665,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1160,Contract agreement,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,,PT_Normal,,,,,57WW6kJw7kma9xA0rWlwJA,,,,Y,0,0,,,2012-09-19 17:06,2012-09-19 17:09,admin,admin
5,158723,7478,26665,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1170,Advanced payment,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,,PT_Normal,,,,,koU0wyp0jkG0s+iM3nqn8w,,,,Y,0,0,,,2012-09-19 17:07,2012-09-19 17:09,admin,admin
6,158724,7478,26665,794,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1180,Commencement date,,0,0,0,0,0,0,0,0,0,0,,,,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,2012-10-01 08:00,,2012-10-01 08:00,2012-10-01 08:00,,PT_Normal,,,,,BcmhSKq+Lk6pGy3GRA0xGw,,,,Y,0,0,,,2012-09-19 17:08,2012-09-19 17:09,admin,admin
7,158726,7478,26670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1200,Demolishing works,,32,0,80,0,0,0,80,0,0,0,,,,2012-10-10 08:00,2012-10-19 17:00,,2012-10-06 08:00,2012-10-15 17:00,2012-10-06 08:00,2012-10-15 17:00,2012-10-06 08:00,2012-10-15 17:00,,2012-10-10 08:00,2012-10-19 17:00,,PT_Normal,,,,,74cMf7Dr9kOgegwSNFg/qw,ZUSbwxD2wUqbg4Ogw2Ggyg,,,N,0,0,,,2012-09-19 17:48,2012-09-30 13:18,admin,admin
8,158727,7478,26670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1210,Excavation,,32,0,56,0,0,0,56,0,0,0,,,,2012-10-20 08:00,2012-10-26 17:00,,2012-10-16 08:00,2012-10-22 17:00,2012-10-16 08:00,2012-10-22 17:00,2012-10-16 08:00,2012-10-22 17:00,,2012-10-20 08:00,2012-10-26 17:00,,PT_Normal,,,,,m+geVBi7vEqDUIRgAlsQZA,yxwd9jE5S02FU3lFym5bqA,,,N,0,0,,,2012-09-19 17:48,2012-09-30 13:18,admin,admin
9,158728,7478,26670,794,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1220,P.C footings,,32,0,80,0,0,0,80,0,0,0,,,,2012-10-27 08:00,2012-11-05 17:00,,2012-10-23 08:00,2012-11-01 17:00,2012-10-23 08:00,2012-11-01 17:00,2012-10-23 08:00,2012-11-01 17:00,,2012-10-27 08:00,2012-11-05 17:00,,PT_Normal,,,,,j+OoLbSUTEe6z7tvsOdyow,WGe0TMrrukuj1tIApelnzw,,,N,0,0,,,2012-09-19 17:48,2012-09-30 13:18,admin,admin
