,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,250254,158721,158720,7478,7478,PR_FS,0,,2012-10-01 08:00,2012-10-01 08:00
1,250255,158722,158721,7478,7478,PR_FS,0,,2012-10-01 08:00,2012-10-01 08:00
2,250256,158723,158722,7478,7478,PR_FS,0,,2012-10-01 08:00,2012-10-01 08:00
3,250257,158724,158723,7478,7478,PR_FS,0,,2012-10-01 08:00,2012-10-01 08:00
4,250258,158718,158724,7478,7478,PR_FS,0,,2012-10-01 08:00,2012-10-01 08:00
5,250262,158727,158726,7478,7478,PR_FS,0,,2012-10-15 17:00,2012-10-20 08:00
6,250263,158728,158727,7478,7478,PR_FS,0,,2012-10-22 17:00,2012-10-27 08:00
7,250264,158729,158728,7478,7478,PR_SS,40,,2012-10-27 17:00,2012-10-17 08:00
8,250265,158730,158729,7478,7478,PR_SS,80,,2012-11-06 17:00,2012-10-12 08:00
9,250266,158731,158730,7478,7478,PR_SS,80,,2012-11-16 17:00,2012-10-27 08:00
10,250267,158733,158731,7478,7478,PR_SS,32,,2012-11-20 17:00,2012-11-06 08:00
11,250268,158732,158733,7478,7478,PR_FS,0,,2012-12-08 17:00,2012-12-13 08:00
12,250269,158735,158734,7478,7478,PR_SS,80,,2013-01-08 17:00,2012-12-03 08:00
13,250270,158734,158732,7478,7478,PR_FS,0,,2012-12-28 17:00,2013-01-02 08:00
14,250273,158738,158737,7478,7478,PR_FS,0,,2013-02-22 17:00,2013-03-18 08:00
15,250274,158744,158739,7478,7478,PR_FS,0,,2013-02-11 17:00,2013-02-16 08:00
16,250275,158740,158744,7478,7478,PR_FS,0,,2013-02-25 17:00,2013-03-08 08:00
17,250276,158726,158718,7478,7478,PR_SS,40,,2012-10-05 17:00,2012-09-21 08:00
18,250277,158739,158734,7478,7478,PR_FS,0,,2013-01-28 17:00,2013-02-02 08:00
19,250278,158737,158735,7478,7478,PR_FS,0,,2013-01-28 17:00,2013-02-15 08:00
20,250492,158743,158744,7478,7478,PR_FS,0,,2013-02-25 17:00,2013-03-02 08:00
21,250493,158741,158735,7478,7478,PR_FS,0,,2013-01-28 17:00,2013-02-15 08:00
22,250496,158855,158854,7478,7478,PR_FS,0,,2012-10-12 17:00,2012-10-13 08:00
23,250497,158856,158855,7478,7478,PR_FS,0,,2012-10-26 17:00,2012-10-27 08:00
24,250498,158857,158856,7478,7478,PR_SS,40,,2012-10-31 17:00,2012-10-07 08:00
25,250499,158858,158857,7478,7478,PR_SS,80,,2012-11-10 17:00,2012-10-07 08:00
26,250500,158859,158858,7478,7478,PR_SS,80,,2012-11-20 17:00,2012-10-17 08:00
27,250501,158861,158859,7478,7478,PR_SS,32,,2012-11-24 17:00,2012-11-07 08:00
28,250502,158860,158861,7478,7478,PR_FS,0,,2012-12-14 17:00,2012-12-15 08:00
29,250503,158863,158862,7478,7478,PR_SS,80,,2013-01-13 17:00,2013-01-20 08:00
30,250504,158862,158860,7478,7478,PR_FS,0,,2013-01-03 17:00,2013-01-04 08:00
31,250507,158866,158865,7478,7478,PR_FS,-72,,2013-03-21 08:00,2013-03-30 17:00
32,250510,158867,158862,7478,7478,PR_FS,0,,2013-01-28 17:00,2013-03-02 08:00
33,250514,158854,158718,7478,7478,PR_SS,56,,2012-10-07 17:00,2012-09-17 08:00
34,250515,158863,158870,7478,7478,PR_SS,80,,2013-02-22 17:00,2013-01-30 08:00
35,250516,158870,158862,7478,7478,PR_FS,0,,2013-01-28 17:00,2013-02-13 08:00
36,250517,158865,158862,7478,7478,PR_SS,160,,2013-01-23 17:00,2013-01-25 08:00
37,250518,158865,158863,7478,7478,PR_SS,120,,2013-03-09 17:00,2013-01-30 08:00
