,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,103280,158854,7478,Y,,,2902,,,,306,,306,7.65,0,7.65,0,0,0,,1.00,306.00,0.00,0.00,306.00,,,2012-10-08 08:00,2012-10-12 17:00,2012-10-08 08:00,2012-10-12 17:00,2012-10-08 08:00,2012-10-12 17:00,Y,,,,N,QcLOYdGI/kmVz7l2aIDwkw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:58,,
1,103282,158855,7478,Y,,,2902,,,,5460,,5460,48.75,0,48.75,0,0,0,,1.00,5460.00,0.00,0.00,5460.00,,,2012-10-13 08:00,2012-10-26 17:00,2012-10-13 08:00,2012-10-26 17:00,2012-10-13 08:00,2012-10-26 17:00,Y,,,,N,nMAGnhIuP06gdQDofV9+xg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
2,103283,158856,7478,Y,,,2902,,,,22980,,22980,143.625,0,143.625,0,0,0,,1.00,22980.00,0.00,0.00,22980.00,,,2012-10-27 08:00,2012-11-15 17:00,2012-10-27 08:00,2012-11-15 17:00,2012-10-27 08:00,2012-11-15 17:00,Y,,,,N,t9MLO+EYmUeP05oLV3g/2Q,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
3,103284,158857,7478,Y,,,2902,,,,90135,,90135,450.675,0,450.675,0,0,0,,1.00,90135.00,0.00,0.00,90135.00,,,2012-11-01 08:00,2012-11-25 17:00,2012-11-01 08:00,2012-11-25 17:00,2012-11-01 08:00,2012-11-25 17:00,Y,,,,N,CMk/G3FfPkm6UcFEydrx/A,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
4,103285,158858,7478,Y,,,2902,,,,8897,,8897,44.485,0,44.485,0,0,0,,1.00,8897.00,0.00,0.00,8897.00,,,2012-11-11 08:00,2012-12-05 17:00,2012-11-11 08:00,2012-12-05 17:00,2012-11-11 08:00,2012-12-05 17:00,Y,,,,N,HlFyG8TYYk2vuq0ZQYPiaw,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
5,103286,158859,7478,Y,,,2902,,,,6120,,6120,54.64285714,0,54.64285714,0,0,0,,1.00,6120.00,0.00,0.00,6120.00,,,2012-11-21 08:00,2012-12-04 17:00,2012-11-21 08:00,2012-12-04 17:00,2012-11-21 08:00,2012-12-04 17:00,Y,,,,N,fnC8jQuowEmoFhMzekPClQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
6,103287,158861,7478,Y,,,2902,,,,0,,0,0,0,0,0,0,0,,1.00,0.00,0.00,0.00,0.00,,,2012-11-25 08:00,2012-12-14 17:00,2012-11-25 08:00,2012-12-14 17:00,2012-11-25 08:00,2012-12-14 17:00,Y,,,,N,ZRNh/4hrUE2wqb9W4h2dOQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
7,103288,158860,7478,Y,,,2902,,,,38760,,38760,242.25,0,242.25,0,0,0,,1.00,38760.00,0.00,0.00,38760.00,,,2012-12-15 08:00,2013-01-03 17:00,2012-12-15 08:00,2013-01-03 17:00,2012-12-15 08:00,2013-01-03 17:00,Y,,,,N,/1ziR7DyRUudexQ5Bxoc8w,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
8,103289,158862,7478,Y,,,2902,,,,355770,,355770,1778.85,0,1778.85,0,0,0,,1.00,355770.00,0.00,0.00,355770.00,,,2013-01-04 08:00,2013-01-28 17:00,2013-01-04 08:00,2013-01-28 17:00,2013-01-04 08:00,2013-01-28 17:00,Y,,,,N,kiNjqrEtukqK6kMUkY29Vg,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
9,103290,158867,7478,Y,,,2902,,,,1344,,1344,8.4,0,8.4,0,0,0,,1.00,1344.00,0.00,0.00,1344.00,,,2013-01-29 08:00,2013-02-17 17:00,2013-01-29 08:00,2013-02-17 17:00,2013-03-02 08:00,2013-03-21 17:00,Y,,,,N,eIPWmdc4a0qlS1+u7dDZEQ,COST_PER_QTY,0.00,0,,RT_Mat,ST_Rsrc,admin,2012-09-30 10:59,,
