,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,11858,1238,565,200,1,Y,N,WS_Open, 1, 1,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,ua+ZpoiwmEm99+OtCmN9Wg,,
1,11859,1238,565,0,1,N,N,WS_Open,Milestones,Project Milestones,,11858,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,f4M8d7sIKUmllCyqmG6mPw,qlJrU3DUDkCzoUR73exbqg,
2,11860,1238,565,1,1,N,N,WS_Open,Mobilization,Mobilization,,11858,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Lv3KuMZ1aEaHc+0MxfhOnQ,j68uSy3MnU2/9P6o0XA4hA,
3,11861,1238,565,2,1,N,N,WS_Open,Engineering,Engineering,,11858,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,n45E/0WNiEScAtPkg+17lA,TaSrEaxh90GB5KGnN28oEw,
4,11862,1238,565,3,1,N,N,WS_Open,Construction,Construction,,11858,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,k3rqkyysnkmqZXQZ6i57Ug,nzusqoDBQEO7hfej3+BraQ,
5,11863,1238,565,0,1,N,N,WS_Open,Shop drawings,Shop drawings,,11861,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Zbw5p3jsVkeLLSL//NRWtQ,GPPOG7dTgUqLCkYZJ9Nb3g,
6,11864,1238,565,102,1,N,N,WS_Open,Civil,Civil works,,11862,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,BvWYL3ik50yB7BeiOgWyhw,dx/J3D7ePEqXx0dh5zB2ow,
7,11865,1238,565,103,1,N,N,WS_Open,Arch,Arch works,,11862,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WEmqvTyIyU6Y0Wjh8r2Uxw,aicgnw1pJ0qkZF3CsRV4Ew,
8,11866,1238,565,104,1,N,N,WS_Open,MEP,MEP Works,,11862,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,6sbH/vCzAUObZrqPL/Bhyw,0jm1wbMXikeVhKRIVaSr2A,
9,11867,1238,565,204,1,N,N,WS_Open,WT&PR,Water Tank & Pump Room,,11862,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,/JMUE3nzOUu4Y8gkHttjhA,,
