,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,87720,1238,11871,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A160,Shop Drawings submittal,,8,0,160,0,0,0,160,0,0,0,,,,2012-03-05 08:00,2012-03-27 17:00,,2012-03-04 08:00,2012-03-26 16:00,2012-03-04 08:00,2012-03-26 16:00,2012-03-04 08:00,2012-03-26 16:00,,2012-03-05 08:00,2012-03-27 17:00,,PT_Normal,,,,,Vs1D2wKaAkaHBm68MF0Dcw,DvG0usgU00+DCfkRiwcT3g,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
1,87721,1238,11871,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A260,Shop Drawings Approval,,8,0,160,0,0,0,160,0,0,0,,,,2012-03-28 08:00,2012-04-19 17:00,,2012-03-27 08:00,2012-04-18 17:00,2012-03-27 08:00,2012-04-18 17:00,2012-03-27 08:00,2012-04-18 17:00,,2012-03-28 08:00,2012-04-19 17:00,,PT_Normal,,,,,unpDnY7wuEiV4VCzEWT/DQ,WAXEjkOpGEmSFUpBXj327Q,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
2,87722,1238,11879,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A180,Shop Drawings submittal,,8,0,120,0,0,0,120,0,0,0,,,,2012-02-11 08:00,2012-02-27 16:00,,2012-02-09 08:00,2012-02-26 16:00,2012-02-09 08:00,2012-02-26 16:00,2012-02-09 08:00,2012-02-26 16:00,,2012-02-11 08:00,2012-02-27 16:00,,PT_Normal,,,,,lojVNbIkSk+odA3l7XB4Nw,CHFBbHqOf0ucDtq7AYrl9Q,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
3,87723,1238,11879,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A270,Shop Drawings Approval,,8,0,120,0,0,0,120,0,0,0,,,,2012-02-16 08:00,2012-03-04 16:00,,2012-02-15 08:00,2012-03-03 17:00,2012-02-15 08:00,2012-03-03 17:00,2012-02-15 08:00,2012-03-03 17:00,,2012-02-16 08:00,2012-03-04 16:00,,PT_Normal,,,,,Kf974ybod0KxE6AhrA8qkA,0o/GUAzozE2FblZCjvf/+w,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
4,87724,1238,11870,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,A120,Shop Drawings submittal,,8,0,240,0,0,0,240,0,0,0,,,,2012-01-01 08:00,2012-02-04 17:00,,2011-12-31 08:00,2012-02-02 17:00,2011-12-31 08:00,2012-02-02 17:00,2011-12-31 08:00,2012-02-02 17:00,,2012-01-01 08:00,2012-02-04 17:00,,PT_Normal,,,,,5FbueXyxdUauUcyRYbtYxA,7bx90LFvZUiKh2OBpeZwWg,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
5,87725,1238,11870,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A170,Shop Drawings Approval,,8,0,240,0,0,0,240,0,0,0,,,,2012-01-07 08:00,2012-02-09 17:00,,2012-01-05 08:00,2012-02-08 17:00,2012-01-05 08:00,2012-02-08 17:00,2012-01-05 08:00,2012-02-08 17:00,,2012-01-07 08:00,2012-02-09 17:00,,PT_Normal,,,,,khfwxA/Ru0WPpZ9K1cCRNw,9s2B0yRIpkCs7EBtqutzeQ,,,N,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
6,87726,1238,11875,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Excavation Works & Pile Wall,,0,0,240,0,0,0,240,0,0,0,,,,2011-12-31 08:00,2012-02-02 17:00,,2011-12-31 08:00,2012-02-02 17:00,2011-12-31 08:00,2012-02-02 17:00,2011-12-31 08:00,2012-02-02 17:00,,2011-12-31 08:00,2012-02-02 17:00,,PT_Normal,,,,,haaqCA6AvkGVhoEgmXOysw,xslXGkFEJEeCVtccoqV9AA,,,Y,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
7,87727,1238,11875,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Backfill Works,,0,0,200,0,0,0,200,0,0,0,,,,2012-03-27 08:00,2012-04-24 17:00,,2012-03-27 08:00,2012-04-24 17:00,2012-03-27 08:00,2012-04-24 17:00,2012-03-27 08:00,2012-04-24 17:00,,2012-03-27 08:00,2012-04-24 17:00,,PT_Normal,,,,,9VEatHRBM0ykyLwpbk1lTA,XpiPK3fto0GWoV6XfIMm1g,,,Y,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
8,87728,1238,11860,1471,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Site Preparation Works,,0,0,200,0,0,0,200,0,0,0,,,,2011-12-01 08:00,2011-12-29 17:00,,2011-12-01 08:00,2011-12-29 17:00,2011-12-01 08:00,2011-12-29 17:00,2011-12-01 08:00,2011-12-29 17:00,,2011-12-01 08:00,2011-12-29 17:00,,PT_Normal,,,,,g0St0mxPDkikYrKIgXqIXg,BlNY9g1iJUim1GFiq6Us1A,,,Y,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
9,87729,1238,11859,1471,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1060,Project Start,,0,0,0,0,0,0,0,0,0,0,,,,2011-12-01 08:00,2011-12-01 08:00,,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,2011-12-01 08:00,,2011-12-01 08:00,2011-12-01 08:00,,PT_Normal,,,,,+uslImJ/9UuV2Xm1k7uglw,QYWcUIpoeUiDk3Uy9UrJPg,,,Y,0,0,,,2011-12-05 11:16,2011-12-05 11:16,admin,admin
