,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,84538,87723,87722,1238,1238,PR_SS,40,,2012-02-14 17:00,2012-01-24 08:00
1,84539,87728,87729,1238,1238,PR_FS,0,,2011-12-01 08:00,2011-12-01 08:00
2,84540,87724,87728,1238,1238,PR_FS,0,,2011-12-29 17:00,2012-01-01 08:00
3,84541,87725,87724,1238,1238,PR_SS,40,,2012-01-04 17:00,2011-11-27 08:00
4,84542,87721,87720,1238,1238,PR_FS,0,,2012-03-26 16:00,2012-03-28 08:00
5,84543,87732,87731,1238,1238,PR_SS,80,,2012-02-14 17:00,2012-01-11 08:00
6,84544,87727,87733,1238,1238,PR_SS,40,,2012-03-26 16:00,2012-02-21 08:00
7,84545,87735,87734,1238,1238,PR_SS,40,,2012-06-21 17:00,2012-06-06 08:00
8,84546,87731,87725,1238,1238,PR_SS,40,,2012-01-10 17:00,2011-12-25 08:00
9,84547,87726,87728,1238,1238,PR_FS,0,,2011-12-29 17:00,2011-12-31 08:00
10,84548,87733,87744,1238,1238,PR_SS,80,,2012-03-20 17:00,2012-02-04 08:00
11,84549,87743,87741,1238,1238,PR_SS,40,,2012-07-09 16:00,2012-07-11 08:00
12,84550,87742,87743,1238,1238,PR_SS,40,,2012-07-15 16:00,2012-07-17 08:00
13,84551,87739,87738,1238,1238,PR_FS,0,,2012-07-03 17:00,2012-07-05 08:00
14,84552,87741,87738,1238,1238,PR_FS,0,,2012-07-03 17:00,2012-08-15 08:00
15,84553,87740,87738,1238,1238,PR_FS,0,,2012-07-03 17:00,2012-08-09 08:00
16,84554,87736,87740,1238,1238,PR_FS,0,,2012-07-21 17:00,2012-08-27 08:00
17,84555,87749,87748,1238,1238,PR_FS,0,,2012-05-12 17:00,2012-05-14 08:00
18,84556,87754,87753,1238,1238,PR_FS,0,,2012-08-19 16:00,2012-08-21 08:00
19,84557,87730,87758,1238,1238,PR_FS,0,,2012-09-29 17:00,2012-09-30 16:00
20,84558,87755,87754,1238,1238,PR_FS,0,,2012-09-17 16:00,2012-09-19 08:00
21,84559,87756,87739,1238,1238,PR_FS,-80,,2012-08-14 08:00,2012-08-26 16:00
22,84560,87757,87756,1238,1238,PR_SS,80,,2012-08-25 17:00,2012-07-23 08:00
23,84561,87758,87757,1238,1238,PR_FS,0,,2012-09-17 16:00,2012-09-19 08:00
24,84562,87730,87755,1238,1238,PR_FS,0,,2012-09-29 17:00,2012-09-30 16:00
25,84563,87745,87760,1238,1238,PR_SS,80,,2012-07-26 17:00,2012-06-12 08:00
26,84564,87746,87745,1238,1238,PR_SS,80,,2012-08-07 17:00,2012-06-24 08:00
27,84565,87747,87745,1238,1238,PR_SS,40,,2012-08-01 17:00,2012-07-17 08:00
28,84566,87759,87760,1238,1238,PR_FS,0,,2012-08-19 16:00,2012-08-21 08:00
29,84567,87752,87746,1238,1238,PR_FS,-40,,2012-09-06 08:00,2012-09-12 17:00
30,84568,87744,87723,1238,1238,PR_FS,0,,2012-03-03 17:00,2012-03-10 08:00
31,84569,87720,87723,1238,1238,PR_FS,0,,2012-03-03 17:00,2012-03-05 08:00
32,84570,87738,87721,1238,1238,PR_FS,0,,2012-04-18 17:00,2012-05-13 08:00
33,84571,87748,87721,1238,1238,PR_FS,0,,2012-04-18 17:00,2012-04-21 08:00
34,84572,87745,87749,1238,1238,PR_FS,0,,2012-06-04 16:00,2012-07-29 08:00
35,84573,87762,87761,1238,1238,PR_FS,0,,2012-06-27 17:00,2012-06-30 08:00
36,84574,87759,87762,1238,1238,PR_FS,0,,2012-07-21 17:00,2012-08-21 08:00
37,84575,87753,87762,1238,1238,PR_FS,0,,2012-07-21 17:00,2012-07-23 08:00
38,84576,87756,87762,1238,1238,PR_FS,0,,2012-07-21 17:00,2012-08-15 08:00
39,84577,87761,87749,1238,1238,PR_FS,0,,2012-06-04 16:00,2012-06-06 08:00
40,84578,87731,87726,1238,1238,PR_FS,0,,2012-02-02 17:00,2012-02-04 08:00
41,84579,87744,87732,1238,1238,PR_SS,160,,2012-03-08 17:00,2011-12-31 08:00
42,84580,87722,87725,1238,1238,PR_FS,0,,2012-02-08 17:00,2012-02-11 08:00
43,84581,87734,87737,1238,1238,PR_FS,240,,2012-06-16 17:00,2012-05-14 08:00
