,task_id,actv_code_type_id,actv_code_id,proj_id
0,148827,9599,13001,5725
1,148827,9600,13026,5725
2,148827,9602,13032,5725
3,148827,10486,13155,5725
4,148827,10487,13159,5725
5,148827,10488,13195,5725
6,148827,10489,13167,5725
7,148828,9599,13001,5725
8,148828,9600,13027,5725
9,148828,9602,13032,5725
10,148828,10486,13155,5725
11,148828,10487,13159,5725
12,148828,10488,13195,5725
13,148828,10489,13167,5725
14,148829,9599,13001,5725
15,148829,9600,13028,5725
16,148829,9602,13032,5725
17,148829,10486,13155,5725
18,148829,10487,13159,5725
19,148829,10488,13195,5725
20,148829,10489,13167,5725
21,148830,9599,13001,5725
22,148830,9600,13030,5725
23,148830,10486,13155,5725
24,148830,10487,13158,5725
25,148830,10488,13195,5725
26,148830,10489,13167,5725
27,148831,9599,13001,5725
28,148831,9600,13019,5725
29,148831,9602,13032,5725
30,148831,10486,13155,5725
31,148831,10487,13159,5725
32,148831,10488,13195,5725
33,148831,10489,13167,5725
34,148832,9599,13001,5725
35,148832,9600,13020,5725
36,148832,9602,13032,5725
37,148832,10486,13155,5725
38,148832,10487,13159,5725
39,148832,10488,13195,5725
40,148832,10489,13167,5725
41,148833,9599,13001,5725
42,148833,9600,13022,5725
43,148833,9602,13032,5725
44,148833,10486,13155,5725
45,148833,10487,13159,5725
46,148833,10488,13195,5725
47,148833,10489,13167,5725
48,148834,9599,13001,5725
49,148834,9600,13023,5725
50,148834,9602,13032,5725
51,148834,10486,13155,5725
52,148834,10487,13159,5725
53,148834,10488,13195,5725
54,148834,10489,13167,5725
55,148835,9599,13001,5725
56,148835,9600,13025,5725
57,148835,9602,13032,5725
58,148835,10486,13155,5725
59,148835,10487,13159,5725
60,148835,10488,13195,5725
61,148835,10489,13167,5725
62,148836,9602,13032,5725
63,148836,10486,13155,5725
64,148836,10487,13159,5725
65,148836,10488,13198,5725
66,148836,10489,13167,5725
67,148837,9602,13032,5725
68,148837,10486,13155,5725
69,148837,10487,13159,5725
70,148837,10488,13196,5725
71,148837,10489,13167,5725
72,148838,9599,12992,5725
73,148838,9600,13026,5725
74,148838,9602,13032,5725
75,148838,10486,13155,5725
76,148838,10487,13159,5725
77,148838,10488,13215,5725
78,148838,10489,13167,5725
79,148839,9599,12992,5725
80,148839,9600,13027,5725
81,148839,9602,13032,5725
82,148839,10486,13155,5725
83,148839,10487,13159,5725
84,148839,10488,13215,5725
85,148839,10489,13167,5725
86,148840,9599,12992,5725
87,148840,9600,13028,5725
88,148840,9602,13032,5725
89,148840,10486,13155,5725
90,148840,10487,13159,5725
91,148840,10488,13215,5725
92,148840,10489,13167,5725
93,148841,9599,12992,5725
94,148841,9600,13030,5725
95,148841,9602,13032,5725
96,148841,10486,13155,5725
97,148841,10487,13158,5725
98,148841,10488,13215,5725
99,148841,10489,13167,5725
100,148842,9599,12992,5725
101,148842,9600,13020,5725
102,148842,9602,13032,5725
103,148842,10486,13155,5725
104,148842,10487,13159,5725
105,148842,10488,13215,5725
106,148842,10489,13167,5725
107,148843,9599,13029,5725
108,148843,9600,13020,5725
109,148843,9602,13032,5725
110,148843,10486,13155,5725
111,148843,10487,13159,5725
112,148843,10488,13251,5725
113,148843,10489,13167,5725
114,148844,9602,13032,5725
115,148844,10486,13155,5725
116,148844,10487,13159,5725
117,148844,10488,13202,5725
118,148844,10489,13167,5725
119,148845,9599,13029,5725
120,148845,9600,13028,5725
121,148845,9602,13032,5725
122,148845,10486,13155,5725
123,148845,10487,13159,5725
124,148845,10488,13251,5725
125,148845,10489,13167,5725
126,148846,9599,13029,5725
127,148846,9600,13030,5725
