,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,224107,148860,148861,5725,5725,PR_FS,0,,2012-12-06 16:00,2013-02-16 08:00
1,224108,149511,148872,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-07-29 08:00
2,224109,148869,148875,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-05 08:00
3,224110,149147,148878,5725,5725,PR_FF,0,,2012-06-30 00:00,2013-02-24 16:00
4,224111,148894,148887,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-01-17 08:00
5,224112,149147,148904,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
6,224113,148905,148907,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-03 08:00
7,224114,148918,148914,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
8,224115,148917,148916,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
9,224116,149147,148917,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
10,224117,148916,148920,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
11,224118,148924,148926,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-24 16:00
12,224119,149475,148933,5725,5725,PR_SS,240,,2012-06-30 08:00,2013-01-25 08:00
13,224120,148943,148939,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-12-02 08:00
14,224121,149147,148942,5725,5725,PR_FS,0,,2012-10-05 16:00,2013-02-24 16:00
15,224122,148958,148957,5725,5725,PR_FS,0,,2012-07-05 00:00,2014-11-02 16:00
16,224123,148967,148966,5725,5725,PR_FS,0,,2012-06-30 00:00,2013-02-11 08:00
17,224124,148980,148973,5725,5725,PR_FS,0,,2012-08-16 16:00,2014-05-30 08:00
18,224125,148988,148982,5725,5725,PR_FS,0,,2012-07-01 16:00,2012-08-05 08:00
19,224126,148984,148983,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-02 08:00
20,224127,148988,148987,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-05 08:00
21,224128,149270,148988,5725,5725,PR_SS,240,,2012-07-02 08:00,2013-01-11 08:00
22,224129,149523,148993,5725,5725,PR_SS,240,,2012-10-20 16:00,2012-08-07 08:00
23,224130,149002,149001,5725,5725,PR_FS,0,,2012-10-23 16:00,2013-01-26 08:00
24,224131,149237,149001,5725,5725,PR_SS,240,,2012-06-30 08:00,2012-04-23 08:00
25,224132,149007,149006,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-05 08:00
26,224133,149237,149013,5725,5725,PR_SS,160,,2012-07-06 08:00,2012-06-10 08:00
27,224134,149151,149014,5725,5725,PR_FS,0,,2012-09-25 16:00,2013-02-24 16:00
28,224135,149226,149018,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-07-29 08:00
29,224136,149020,149023,5725,5725,PR_FS,0,,2012-07-05 16:00,2012-08-05 08:00
30,224137,149020,149028,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-05 08:00
31,224138,149147,149035,5725,5725,PR_FF,0,,2013-01-25 16:00,2013-02-24 16:00
32,224139,149045,149042,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-07-29 08:00
33,224140,149043,149042,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-05 08:00
34,224141,149056,149052,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-07-29 08:00
35,224142,149386,149058,5725,5725,PR_SS,360,,2012-07-06 08:00,2013-02-24 08:00
36,224143,149147,149059,5725,5725,PR_FF,0,,2012-08-19 16:00,2013-02-24 16:00
37,224144,149381,149063,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-07-29 08:00
38,224145,149058,149066,5725,5725,PR_FS,0,,2012-06-30 00:00,2012-08-04 16:00
39,224146,149068,149067,5725,5725,PR_FS,0,,2012-10-29 16:00,2013-01-11 08:00
40,224147,149075,149070,5725,5725,PR_FS,0,,2012-07-04 16:00,2012-09-30 08:00
41,224148,149147,149082,5725,5725,PR_FF,0,,2012-11-25 16:00,2013-02-24 16:00
