,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,150597,5776,24162,6945,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,4229PPC140,Fabrication upto R.F.S for pump,,296,0,1120,0,0,0,1120,0,0,0,,,,2012-08-12 08:00,2013-01-10 16:00,,2012-07-06 08:00,2012-12-04 16:00,2012-07-06 08:00,2012-12-04 16:00,2012-07-06 08:00,2012-12-04 16:00,,2012-08-12 08:00,2013-01-10 16:00,,PT_Normal,,,,,TqhJV97AqU2NUfrog44jYQ,a1p6ym4oS+6+JNBX4DLt6Q,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
1,150598,5776,24162,6946,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,4229PPC150,Delivery upto site for pump,,312,312,360,0,0,0,360,0,0,0,,,,2013-01-11 08:00,2013-02-24 16:00,,2012-12-05 08:00,2013-01-16 16:00,2012-12-05 08:00,2013-01-16 16:00,2012-12-05 08:00,2013-01-16 16:00,,2013-01-11 08:00,2013-02-24 16:00,,PT_Normal,,,,,MeYxbhlVIEerINzMJFaWcg,u9JIoe/yQfmyL1WOCEcyRg,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
2,150599,5776,24162,6944,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,4229PPC130,Receive revised commercial offers for pump,,,,0,0,0,0,40,0,0,0,,2012-06-13 00:00,2012-06-19 00:00,2012-08-05 08:00,2012-08-05 08:00,,2012-06-30 00:00,2012-06-30 00:00,,,2012-07-01 08:00,2012-07-05 16:00,,,,,PT_Normal,,,,,rwxorTv69kSjxwtiz2aRRw,T9aUbtojSXilwnqU2Wi+6w,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
3,150600,5776,24162,6944,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Active,4229PPC160,Client approval on bid committee reccomendation,,200,0,16,0,0,0,16,0,0,0,,2012-06-25 00:00,,2012-08-05 08:00,2012-08-06 16:00,,2012-07-01 08:00,2012-07-02 16:00,2012-07-01 08:00,2012-07-02 16:00,2012-07-01 08:00,2012-07-02 16:00,,2012-08-05 08:00,2012-08-06 16:00,,PT_Normal,,,,,+GwIbYJ8HUit3VgVRn0iYA,dsqur9zFTQ2kGKH9ey3RIw,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
4,150601,5776,24162,6944,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,4229PPC170,L.C issued by Gupco,,1128,1128,40,0,0,0,40,0,0,0,,,,2013-02-18 08:00,2013-02-24 16:00,,2012-07-22 08:00,2012-07-26 16:00,2012-07-22 08:00,2012-07-26 16:00,2012-07-22 08:00,2012-07-26 16:00,,2013-02-18 08:00,2013-02-24 16:00,,PT_Normal,,,,,nMd2137s8E2udKeWNoFwMw,OMAcK7vgQqWlnsKzB4SywA,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
5,150602,5776,24162,6944,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,4229PPC100,Issue RFQ for pump,,,,0,0,0,0,16,0,0,0,,2012-03-14 00:00,2012-03-20 00:00,2012-08-05 08:00,2012-08-05 08:00,,2012-06-30 00:00,2012-06-30 00:00,,,2012-04-29 08:00,2012-04-30 16:00,,,,,PT_Normal,,,,,EZ84SYKVl0mfYXQfUKjZZw,+2aOWobYTG6hCGLLfOCD3Q,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
6,150603,5776,24162,6945,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,4229PPC110,Bidding for pump,,,,0,0,0,0,320,0,0,0,,2012-03-21 00:00,2012-04-28 00:00,2012-08-05 08:00,2012-08-05 08:00,,2012-06-30 00:00,2012-06-30 00:00,,,2012-04-28 08:00,2012-06-06 16:00,,,,,PT_Normal,,,,,SiwoBEgQN0KTLcb6kgUevw,tYAyHVveTym5PZWh1QwHuQ,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
7,150604,5776,24162,6944,1,100,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_Complete,4229PPC180,commercial evaluation & bid committee for pump,,,,0,0,0,0,0,0,0,0,,2012-06-20 00:00,2012-06-21 00:00,2012-08-05 08:00,2012-08-05 08:00,,2012-06-30 00:00,2012-06-30 00:00,,,2012-07-08 08:00,2012-07-08 08:00,,,,,PT_Normal,,,,,gGi4QC5SU0qR0Cjsu4knDg,7F1NBuHCRsuN+gRucuQXhg,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
8,150605,5776,24162,6944,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,4229PPC190,F.O.C for pump,,200,0,24,0,0,0,24,0,0,0,,,,2012-08-07 08:00,2012-08-09 16:00,,2012-07-03 08:00,2012-07-05 16:00,2012-07-03 08:00,2012-07-05 16:00,2012-07-03 08:00,2012-07-05 16:00,,2012-08-07 08:00,2012-08-09 16:00,,PT_Normal,,,,,d1lD4fRi80SjwXXxJdLBhw,s40e5+jDQyOWv96vSoQDuQ,,,N,0,0,,,2012-07-16 15:21,2012-07-16 15:21,admin,admin
9,150606,5776,24162,6944,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,4229PPC200,P.O for pump,,1128,0,40,0,0,0,40,0,0,0,,,,2013-02-11 08:00,2013-02-17 16:00,,2012-07-15 08:00,2012-07-19 16:00,2012-07-15 08:00,2012-07-19 16:00,2012-07-15 08:00,2012-07-19 16:00,,2013-02-11 08:00,2013-02-17 16:00,,PT_Normal,,,,,yxausG+IiEa9dnjJuoSXAw,A5Q7aUOxRr+lBFCKOJdk6Q,,,N,0,0,,,2012-07-16 15:22,2012-07-16 15:22,admin,admin
10,150607,5776,24162,6944,1,100,N,N,N,CP_Drtn,TT_LOE,DT_FixedDUR2,RV_OK,TK_Complete,4229PPC120,T.E.R for  pump,,,,0,0,0,0,240,0,0,0,,2012-04-29 00:00,2012-06-12 00:00,,,,,,,,2012-04-29 08:00,2012-06-07 16:00,,,,,PT_Normal,,,,,ShL9Q/HWXkKtaFP/pGcGsw,qop3jGJXRzSmAG4KFxnkEQ,,,N,0,0,,,2012-07-16 15:22,2012-07-16 15:22,admin,admin
