,task_id,actv_code_type_id,actv_code_id,proj_id
0,150597,9599,13001,5776
1,150597,9600,13026,5776
2,150598,9599,13001,5776
3,150598,9600,13027,5776
4,150599,9599,13001,5776
5,150599,9600,13028,5776
6,150600,9599,13001,5776
7,150600,9600,13030,5776
8,150601,9599,13001,5776
9,150601,9600,13030,5776
10,150602,9599,13001,5776
11,150602,9600,13019,5776
12,150603,9599,13001,5776
13,150603,9600,13020,5776
14,150604,9599,13001,5776
15,150604,9600,13022,5776
16,150605,9599,13001,5776
17,150605,9600,13023,5776
18,150606,9599,13001,5776
19,150606,9600,13025,5776
20,150610,9599,12992,5776
21,150610,9600,13026,5776
22,150611,9599,12992,5776
23,150611,9600,13027,5776
24,150612,9599,12992,5776
25,150612,9600,13028,5776
26,150613,9599,12992,5776
27,150613,9600,13030,5776
28,150614,9599,12992,5776
29,150615,9599,12992,5776
30,150615,9600,13019,5776
31,150616,9599,12992,5776
32,150616,9600,13020,5776
33,150617,9599,12992,5776
34,150617,9600,13022,5776
35,150618,9599,12992,5776
36,150618,9600,13023,5776
37,150619,9599,12992,5776
38,150619,9600,13025,5776
39,150621,9599,13029,5776
40,150621,9600,13028,5776
41,150622,9599,13029,5776
42,150622,9600,13030,5776
43,150623,9599,13029,5776
44,150623,9600,13030,5776
45,150624,9599,13029,5776
46,150624,9600,13027,5776
47,150625,9599,13029,5776
48,150625,9600,13026,5776
49,150626,9599,13029,5776
50,150626,9600,13019,5776
51,150628,9599,13029,5776
52,150628,9600,13020,5776
53,150629,9599,13029,5776
54,150629,9600,13022,5776
55,150630,9599,13029,5776
56,150630,9600,13023,5776
57,150631,9599,13029,5776
58,150631,9600,13025,5776
59,150634,9599,12997,5776
60,150634,9600,13020,5776
61,150635,9599,12997,5776
62,150635,9600,13022,5776
63,150636,9599,12997,5776
64,150636,9600,13023,5776
65,150637,9599,12997,5776
66,150637,9600,13025,5776
67,150638,9599,12997,5776
68,150638,9600,13026,5776
69,150639,9599,12997,5776
70,150639,9600,13027,5776
71,150642,9599,12997,5776
72,150642,9600,13028,5776
73,150643,9599,12997,5776
74,150643,9600,13030,5776
75,150644,9599,12997,5776
76,150644,9600,13019,5776
77,150647,9599,12996,5776
78,150647,9600,13027,5776
79,150648,9599,12996,5776
80,150648,9600,13028,5776
81,150649,9599,12996,5776
82,150649,9600,13030,5776
83,150650,9599,12996,5776
84,150650,9600,13026,5776
85,150651,9599,12996,5776
86,150652,9599,12996,5776
87,150652,9600,13019,5776
88,150653,9599,12996,5776
89,150653,9600,13020,5776
90,150654,9599,12996,5776
91,150654,9600,13022,5776
92,150655,9599,12996,5776
93,150655,9600,13023,5776
94,150656,9599,12996,5776
95,150656,9600,13025,5776
96,150659,9599,12998,5776
97,150659,9600,13022,5776
98,150660,9599,12998,5776
99,150660,9600,13023,5776
100,150661,9599,12998,5776
101,150661,9600,13025,5776
102,150663,9599,12998,5776
103,150663,9600,13026,5776
104,150664,9599,12998,5776
105,150664,9600,13027,5776
106,150665,9599,12998,5776
107,150665,9600,13028,5776
108,150666,9599,12998,5776
109,150666,9600,13030,5776
110,150667,9599,12998,5776
111,150668,9599,12998,5776
112,150668,9600,13019,5776
113,150669,9599,12998,5776
114,150669,9600,13020,5776
115,150671,9599,12999,5776
116,150671,9600,13027,5776
117,150672,9599,12999,5776
118,150672,9600,13028,5776
119,150673,9599,12999,5776
120,150673,9600,13030,5776
121,150674,9599,12999,5776
122,150675,9599,12999,5776
123,150675,9600,13019,5776
124,150676,9599,12999,5776
125,150676,9600,13020,5776
126,150677,9599,12999,5776
127,150677,9600,13022,5776
128,150678,9599,12999,5776
129,150678,9600,13023,5776
130,150679,9599,12999,5776
131,150679,9600,13025,5776
132,150681,9599,12999,5776
133,150681,9600,13026,5776
134,150683,9599,13011,5776
135,150683,9600,13019,5776
136,150684,9599,13011,5776
137,150684,9600,13026,5776
138,150685,9599,13011,5776
139,150685,9600,13027,5776
140,150686,9599,13011,5776
141,150686,9600,13030,5776
142,150687,9599,13011,5776
143,150688,9599,13011,5776
144,150688,9600,13022,5776
145,150689,9599,13011,5776
146,150689,9600,13023,5776
147,150690,9599,13011,5776
148,150690,9600,13025,5776
149,150691,9599,13011,5776
150,150691,9600,13020,5776
151,150692,9599,13011,5776
152,150692,9600,13028,5776
153,150697,9599,12994,5776
154,150698,9599,12994,5776
155,150698,9600,13022,5776
156,150699,9599,12994,5776
157,150699,9600,13023,5776
158,150700,9599,12994,5776
159,150700,9600,13025,5776
160,150701,9599,12994,5776
161,150701,9600,13020,5776
162,150702,9599,12994,5776
163,150702,9600,13028,5776
164,150703,9599,12994,5776
165,150703,9600,13019,5776
166,150704,9599,12994,5776
167,150704,9600,13026,5776
168,150705,9599,12994,5776
169,150705,9600,13027,5776
170,150706,9599,12994,5776
171,150706,9600,13030,5776
172,150709,9599,13004,5776
173,150709,9600,13030,5776
174,150710,9599,13004,5776
175,150711,9599,13004,5776
176,150711,9600,13022,5776
177,150712,9599,13004,5776
178,150712,9600,13023,5776
179,150713,9599,13004,5776
180,150713,9600,13020,5776
181,150714,9599,13004,5776
182,150714,9600,13028,5776
183,150715,9599,13004,5776
184,150715,9600,13019,5776
185,150716,9599,13004,5776
186,150716,9600,13026,5776
187,150717,9599,13004,5776
188,150717,9600,13027,5776
189,150718,9599,13004,5776
190,150718,9600,13025,5776
191,150719,9599,13013,5776
192,150719,9600,13020,5776
193,150720,9599,13013,5776
194,150720,9600,13028,5776
195,150721,9599,13013,5776
196,150721,9600,13019,5776
197,150722,9599,13013,5776
198,150722,9600,13026,5776
199,150723,9599,13013,5776
200,150723,9600,13027,5776
201,150724,9599,13013,5776
202,150724,9600,13030,5776
203,150725,9599,13013,5776
204,150725,9600,13022,5776
205,150726,9599,13013,5776
206,150726,9600,13023,5776
207,150727,9599,13013,5776
208,150727,9600,13025,5776
209,150730,9599,13006,5776
210,150730,9600,13020,5776
211,150731,9599,13006,5776
212,150731,9600,13028,5776
213,150732,9599,13006,5776
214,150732,9600,13019,5776
215,150733,9599,13006,5776
216,150733,9600,13026,5776
217,150734,9599,13006,5776
218,150734,9600,13027,5776
219,150735,9599,13006,5776
220,150735,9600,13030,5776
221,150736,9599,13006,5776
222,150737,9599,13006,5776
223,150737,9600,13022,5776
224,150738,9599,13006,5776
225,150738,9600,13023,5776
226,150739,9599,13006,5776
227,150739,9600,13025,5776
228,150742,9599,13014,5776
229,150742,9600,13020,5776
230,150743,9599,13014,5776
231,150743,9600,13028,5776
232,150744,9599,13014,5776
233,150744,9600,13019,5776
234,150745,9599,13014,5776
235,150745,9600,13026,5776
236,150746,9599,13014,5776
237,150746,9600,13027,5776
238,150747,9599,13014,5776
239,150747,9600,13030,5776
240,150748,9599,13014,5776
241,150749,9599,13014,5776
242,150749,9600,13022,5776
243,150750,9599,13014,5776
244,150750,9600,13023,5776
245,150751,9599,13014,5776
246,150751,9600,13025,5776
247,150754,9599,13012,5776
248,150754,9600,13028,5776
249,150755,9599,13012,5776
250,150755,9600,13019,5776
251,150756,9599,13012,5776
252,150756,9600,13026,5776
253,150757,9599,13012,5776
254,150757,9600,13027,5776
255,150758,9599,13012,5776
256,150758,9600,13030,5776
257,150759,9599,13012,5776
258,150759,9600,13020,5776
259,150760,9599,13012,5776
260,150761,9599,13012,5776
261,150761,9600,13022,5776
262,150762,9599,13012,5776
263,150762,9600,13023,5776
264,150763,9599,13012,5776
265,150763,9600,13025,5776
266,150766,9599,12995,5776
