,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,3674,,,,2363,100889,(New Expense Item),,,0.00,45000.00,45000.00,45000.00,CL_Uniform,N,1,,,
1,3675,,,,2363,100914,(New Expense Item),,,0.00,517000.00,491150.00,491150.00,CL_Uniform,N,0.95,,,
2,3676,,,,2363,100915,(New Expense Item),,,0.00,4804800.00,4804800.00,4804800.00,CL_Uniform,N,1,,,
3,3677,,,,2363,100916,(New Expense Item),,,0.00,23750.00,1200150.00,1200150.00,CL_Start,N,50.532632,,,
4,3678,,,,2363,100917,(New Expense Item),,,0.00,78030.00,78030.00,78030.00,CL_Uniform,N,1,,,
5,3679,,,,2363,100917,(New Expense Item)1,,,0.00,54400.00,54400.00,54400.00,CL_Uniform,N,1,,,
6,3680,,,,2363,100918,(New Expense Item),,,0.00,105690.00,105690.00,105690.00,CL_Uniform,N,1,,,
7,3681,,,,2363,100919,(New Expense Item),,,0.00,629320.00,629320.00,629320.00,CL_Uniform,N,1,,,
8,3682,,,,2363,100920,(New Expense Item),,,0.00,108000.00,108000.00,108000.00,CL_Uniform,N,1,,,
9,3683,,,,2363,100921,(New Expense Item),,,0.00,49000.00,1130550.00,1130550.00,CL_Uniform,N,23.072449,,,
10,3684,,,,2363,100922,(New Expense Item),,,0.00,640000.00,582400.00,582400.00,CL_Uniform,N,0.91,,,
11,3685,,,,2363,100923,(New Expense Item),,,0.00,390000.00,64350.00,64350.00,CL_Uniform,N,0.165,,,
12,3686,,,,2363,100925,(New Expense Item),,,0.00,971620.00,971620.00,971620.00,CL_Uniform,N,1,,,
13,3687,,,,2363,100926,(New Expense Item),,,0.00,545400.00,545400.00,545400.00,CL_Uniform,N,1,,,
14,3688,,,,2363,100927,(New Expense Item),,,0.00,306510.00,306510.00,306510.00,CL_Uniform,N,1,,,
15,3689,,,,2363,100928,(New Expense Item),,,0.00,79800.00,79800.00,79800.00,CL_Uniform,N,1,,,
16,3690,,,,2363,100929,(New Expense Item),,,0.00,44000.00,44000.00,44000.00,CL_Uniform,N,1,,,
17,3691,,,,2363,100930,(New Expense Item),,,0.00,69920.00,69920.00,69920.00,CL_Uniform,N,1,,,
18,3692,,,,2363,100931,(New Expense Item),,,0.00,217320.00,151735.00,151735.00,CL_Uniform,N,0.69821,,,
19,3693,,,,2363,100932,(New Expense Item),,,0.00,405938.00,372798.00,372798.00,CL_Uniform,N,0.918362,,,
20,3694,,,,2363,100933,(New Expense Item)1,,,0.00,2615607.00,57188.00,57188.00,CL_Uniform,N,0.021864,,,
21,3695,,,,2363,100933,(New Expense Item),,,0.00,4549130.00,1534500.00,1534500.00,CL_Uniform,N,0.337317,,,
22,3696,,,,2363,100934,(New Expense Item),,,0.00,679280.00,693152.00,693152.00,CL_Uniform,N,1.020422,,,
23,3697,,,,2363,100935,(New Expense Item),,,0.00,1000000.00,1000000.00,1000000.00,CL_Start,N,1,,,
24,3698,,,,2363,100936,(New Expense Item),,,0.00,900000.00,800000.00,800000.00,CL_Uniform,N,0.888889,,,
25,3699,,,,2363,100936,(New Expense Item)1,,,0.00,3300.00,3139.00,3139.00,CL_Uniform,N,0.951212,,,
26,3700,,,,2363,100937,(New Expense Item),,,0.00,66499.00,66499.00,66499.00,CL_Uniform,N,1,,,
27,3701,,,,2363,100938,(New Expense Item),,,0.00,2618016.00,2272711.00,2272711.00,CL_Uniform,N,0.868104,,,
28,3702,,,,2363,100939,(New Expense Item),,,0.00,1120176.00,533299.00,533299.00,CL_Start,N,0.476085,,,
29,3703,,,,2363,100940,(New Expense Item),,,0.00,300000.00,300000.00,300000.00,CL_Start,N,1,,,
30,3704,,,,2363,100941,(New Expense Item),,,0.00,200000.00,200000.00,200000.00,CL_Start,N,1,,,
31,3705,,,,2363,100942,(New Expense Item),,,0.00,30581.00,30581.00,30581.00,CL_Uniform,N,1,,,
32,3706,,,,2363,100942,(New Expense Item)1,,,0.00,4300.00,4302.00,4302.00,CL_Uniform,N,1.000465,,,
