,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,14090,2363,565,200,1,Y,N,WS_Open,gama-14,House of fresh,,10170,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,y9EvC70xEUe9RSI3XQPdUQ,,
1,14091,2363,565,0,1,N,N,WS_Open,Milestones,Project Milestones,,14090,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,VcXNjilGEE29r2iNevaAZg,G93d0Ozo/U2n3p25aVQPAw,
2,14092,2363,565,1,1,N,N,WS_Open,Mobilization,Mobilization,,14090,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Ak6Er33de0Whwnf/BUeZ+A,y1yb8bHoDUKsVR7DBajimA,
3,14093,2363,565,2,1,N,N,WS_Open,Engineering,Engineering,,14090,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,b83DwkgJt0CJSzRURDk7/Q,kGNaZGFbMEWtrE8364Cn+A,
4,14094,2363,565,3,1,N,N,WS_Open,Construction,Construction,,14090,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,m1K+chyajEyjS01Y2NA9ug,yshWe/uUo0imKYTA6qFIFQ,
5,14095,2363,565,0,1,N,N,WS_Open,Shop drawings,Shop drawings,,14093,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yqI/xzS6ckuoq2Bq1v38UQ,B8Honta+EUaUefJxw1e/Ew,
6,14096,2363,565,204,1,N,N,WS_Open,WT&PR,Utilities buildings,,14094,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,DJf1AfeNpUS4L68S57TqLA,anDwDw9pwkyPKGMO17PprQ,
7,14097,2363,565,306,1,N,N,WS_Open,1,Warehouse building,,14094,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,uXj+cARWyESgBeocgBE9lA,,
8,14098,2363,565,0,1,N,N,WS_Open,Plain,Concrete Works,,14095,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,LCMs4TD3X0yzWxgpdiMiYA,C9hBRffcGkW+CyJqQnjFsQ,
9,14099,2363,565,201,1,N,N,WS_Open,Metal,Structure Steel,,14095,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,iWvm5A7v6U+aKMFAMhYxBQ,4kL0II0Gs0SDjzuhsoxiig,
10,14100,2363,565,301,1,N,N,WS_Open,Finishes,Finishes,,14095,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,SA3zzTZo/Eqwz9WiOaph5A,FVYh1lzkxEyYoFlWl8/tQw,
11,14101,2363,565,501,1,N,N,WS_Open,MEP,MEP,,14095,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,87pl4hEFRkCdlwhiv+5d1A,7DZmURHyPkmNENm2dAIeJQ,
12,14102,2363,565,205,1,N,N,WS_Open,1,Arch works,,14096,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,m2MIIXv3UEG8R0EroHkHEg,,
13,14103,2363,565,0,1,N,N,WS_Open,Civil works,Civil works,,14096,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,c+d/i83wCkKhfw9zCkUaRQ,,
14,14104,2363,565,101,1,N,N,WS_Open,Masonry,Masonry,,14095,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,OLRqtl6D1ky+J6vAJ0bzaw,dKRPrscYz0OrDkaXOVYP1w,
15,14105,2363,565,0,1,N,N,WS_Open,Civil,Civil works,,14097,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hmQoTfl3JUKAXCA4ycrqLw,i/htwK52l0qF0qEDv9ATvQ,
16,14106,2363,565,2,1,N,N,WS_Open,Arch,Arch works,,14097,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,vhtuWvFx7E2UIc61vxjr7A,Jk9olmB1X0atFuKAAVMvCQ,
17,14109,2363,565,405,1,N,N,WS_Open,Site,Site Works,,14094,6,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Dq/kM5/F+0Sz1Q+RqwgIpw,COVoKXr/+UODGnYMGI8eLw,
