,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10521,829,565,42080,1,Y,N,WS_Open,BSUT,JUMEIRAH ISLANDS - HEIGHTS,,10420,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,IiwgUarDhE6QKSWWzLZUTA,,
1,10522,829,565,42090,1,N,N,WS_Open,1,JUMEIRAH ISLANDS - HEIGHTS,,10521,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yRH5zU47402JWDNZtk5y9Q,,
2,10523,829,565,42100,1,N,N,WS_Open,0,General,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,I9PP9xw2xk+MLigqOzWU/g,,
3,10524,829,565,42170,1,N,N,WS_Open,3,Shop drawings,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,mjS7OCjTrU+JC7KWsFHmsA,,
4,10525,829,565,42130,1,N,N,WS_Open,1,Mobilization,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,qF0gfaTXc0KDQJRhs3qPLw,,
5,10526,829,565,42140,1,N,N,WS_Open,2,Subcontracting,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,rC1iE3cOoUO3iDAnPcJGgA,,
6,10527,829,565,71030,1,N,N,WS_Open,8,Close out,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,AHIyrmy0c0G9h9+4KABCcw,,
7,10528,829,565,42540,1,N,N,WS_Open,4,Material,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,e3wdiLEPj0Ccozu6l4WMbg,,
8,10529,829,565,42740,1,N,N,WS_Open,6,Procurement,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RI/omut0tkGkXj3VsepheA,,
9,10530,829,565,42780,1,N,N,WS_Open,7,Construction,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,PFqs6jJVskGk7hefS1dQpg,,
10,10531,829,565,42640,1,N,N,WS_Open,5,Method statements,,10522,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FnfLcYcDhUuEcZ/6IT73gQ,,
11,10532,829,565,42110,1,N,N,WS_Open,1, Control Milestones,,10523,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,hdpY8QLhc0ihIJFVUmN2WQ,,
12,10533,829,565,42120,1,N,N,WS_Open,2, Authority approvals for tie-ins,,10523,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,WkMppYvbVkKGED6BNV/xpA,,
13,10534,829,565,42240,1,N,N,WS_Open,3,Mechanical,,10524,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,FndPsuX2PEmHbBnFjf5Smw,,
14,10535,829,565,42350,1,N,N,WS_Open,4,Electrical,,10524,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,thN9shk94kmd89mPqvSwYA,,
15,10536,829,565,42180,1,N,N,WS_Open,1,Structural,,10524,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,D6K3qS969Uuq5zedcjP+1A,,
16,10537,829,565,42610,1,N,N,WS_Open,3,Electrical,,10528,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,yDh6PMULCUiV3Qd/Rqpuwg,,
17,10538,829,565,56910,1,N,N,WS_Open,2,Cluster - East,,10530,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,40DWL2vwYkOIcueg+DZ8vA,,
18,10539,829,565,42680,1,N,N,WS_Open,2,Mechanical,,10531,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,F8UaB/woNkCJVKHRwRATtg,,
19,10540,829,565,42650,1,N,N,WS_Open,1,Civil,,10531,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,N/+I7jB5H0ion8Rkn9dJSA,,
20,10541,829,565,42710,1,N,N,WS_Open,3,Electrical,,10531,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,lLTgxX83qkWNJBUlm7Zw/w,,
21,10542,829,565,42580,1,N,N,WS_Open,2,Mechanical,,10528,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8ePLY/mudEqDw0IJBxNPgA,,
