,rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
0,2155,1824,4,23.00,1999-01-01 00:00,,,,,
1,2157,1821,4,21.60,1999-01-01 00:00,,,,,
2,2163,1766,1,0.00,2002-01-01 00:00,,,,,
3,2187,1857,1,0.00,2004-01-01 00:00,,0.00,0.00,0.00,0.00
4,2188,1858,1,0.00,2004-01-01 00:00,,0.00,0.00,0.00,0.00
5,2216,1923,1,0.00,2005-01-01 00:00,,,,,
6,2222,1881,1,0.00,2005-01-01 00:00,,,,,
7,2245,1913,1,0.00,2004-01-01 00:00,,,,,
8,2246,1899,1,0.00,2004-01-01 00:00,,,,,
9,2247,1883,1,0.00,2004-01-01 00:00,,,,,
10,2248,1891,1,0.00,2004-01-01 00:00,,,,,
11,2342,2008,1,0.00,2005-01-01 00:00,,0.00,0.00,0.00,0.00
12,2607,2317,287.5,,2007-01-01 08:00,,,,,
13,2608,2305,312.5,,2007-01-01 08:00,,,,,
14,2609,2302,325,,2007-01-01 08:00,,,,,
15,2610,2300,150,,2007-01-01 08:00,,,,,
16,2611,2297,1.25,,2007-01-01 08:00,,,,,
17,2612,2295,10,,2007-01-01 08:00,,,,,
18,2613,2294,162.5,,2007-01-01 08:00,,,,,
19,2614,2289,337.5,,2007-01-01 08:00,,,,,
20,2615,2287,37.5,,2007-01-01 08:00,,,,,
21,2616,2286,1.25,,2007-01-01 08:00,,,,,
22,2617,2281,1.25,,2007-01-01 08:00,,,,,
23,2618,2278,1.25,,2007-01-01 08:00,,,,,
24,2619,2276,12.5,,2007-01-01 08:00,,,,,
