,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,81899,829,10532,913,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDUR2,RV_OK,TK_Complete,0000000010,Project Partial Start,,,,0,0,0,0,0,0,0,0,,2007-12-07 08:00,2007-12-07 08:00,,,,,,,,2007-12-07 08:00,2007-12-07 08:00,,,,,PT_Normal,,,,,6CLjHoTA7k6ANV8gkHd3dA,,,,N,0,0,,,,,,
1,81900,829,10532,913,0,100,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_Complete,0000000015,Mobilization,,,,0,0,0,0,0,0,0,0,,2008-02-05 08:00,2008-02-05 08:00,,,,,,,,2008-02-05 08:00,2008-02-05 08:00,,,,,PT_Normal,,,,,jHVoCesTbkK9ucJWpjys7w,,,,N,0,0,,,,,,
2,81901,829,10532,913,0,100,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_Complete,0000000020,Substructure works (upto slab @ GLL level),,,,0,0,0,0,0,0,0,0,,2008-06-09 08:00,2008-06-09 08:00,,,,,,,,2008-06-09 08:00,2008-06-09 08:00,,,,,PT_Normal,,,,,4kKxEpgY4UKTUaT6WkdKCg,,,,N,0,0,,,,,,
3,81902,829,10532,913,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000030,Super structure works (upto roof parapet),,1352,1352,0,0,0,0,0,0,0,0,,,,2009-04-07 08:00,2009-04-06 17:00,,2008-10-20 08:00,2008-10-19 17:00,2008-10-20 08:00,2008-10-20 08:00,2008-10-20 08:00,2008-10-20 08:00,,,,,PT_Normal,,,,,thedx3tMxE6qM77RO7rLVg,,,,N,0,0,,,,,,
4,81903,829,10532,913,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000035,Mock-up flat,,744,744,0,0,0,0,0,0,0,0,,,,2009-04-01 08:00,2009-03-31 17:00,,2008-12-29 08:00,2008-12-28 17:00,2008-12-29 08:00,2008-12-29 08:00,2008-12-29 08:00,2008-12-29 08:00,,,,,PT_Normal,,,,,lT128Q/YpEmwkjGjYWw8Mw,,,,N,0,0,,,,,,
5,81904,829,10532,913,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000040,Finishing works (without painting final coat),,368,368,0,0,0,0,0,0,0,0,,,,2009-04-07 08:00,2009-04-06 17:00,,2009-02-20 08:00,2009-02-19 17:00,2009-02-20 08:00,2009-02-20 08:00,2009-02-20 08:00,2009-02-20 08:00,,,,,PT_Normal,,,,,rz/mjKU9d0OBKsvnq4vhZg,,,,N,0,0,,,,,,
6,81905,829,10532,912,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000045,Fresh air test,,680,680,0,0,0,0,0,0,0,0,,,,2009-04-07 08:00,2009-04-06 17:00,,2008-12-29 08:00,2008-12-28 17:00,2008-12-29 08:00,2008-12-29 08:00,2008-12-29 08:00,2008-12-29 08:00,,,,,PT_Normal,,,,,9cDV4DuWOUyLkCyMFGgU0g,,,,N,0,0,,,,,,
7,81906,829,10532,912,0,100,N,N,N,CP_Drtn,TT_Mile,DT_FixedDUR2,RV_OK,TK_Complete,0000000047,Landscaping work (Details from Consultant),,,,0,0,0,0,0,0,0,0,,2007-12-08 08:00,2007-12-08 08:00,,,,,,,,2007-12-08 08:00,2007-12-08 08:00,,,,,PT_Normal,,,,,TyDkx+RgB0GNU80kQeY+fQ,,,,N,0,0,,,,,,
8,81907,829,10532,913,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000050,MEP works (upto final fixes),,480,480,0,0,0,0,0,0,0,0,,,,2009-04-07 08:00,2009-04-06 17:00,,2009-02-06 08:00,2009-02-05 17:00,2009-02-06 08:00,2009-02-06 08:00,2009-02-06 08:00,2009-02-06 08:00,,,,,PT_Normal,,,,,ZxOXkNDgn0O4Q43sXDzk/g,,,,N,0,0,,,,,,
9,81908,829,10532,913,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDUR2,RV_OK,TK_NotStart,0000000055,External works,,240,240,0,0,0,0,0,0,0,0,,,,2009-03-20 08:00,2009-03-19 17:00,,2009-02-18 08:00,2009-02-17 17:00,2009-02-18 08:00,2009-02-18 08:00,2009-02-18 08:00,2009-02-18 08:00,,,,,PT_Normal,,,,,h1ab9sAb7EGoZ+3nKJj09g,,,,N,0,0,,,,,,
