,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,has_rsrchours,taskrsrc_sum_id
0,54798,81912,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-11-30 08:00,2008-12-13 17:00,2008-11-30 08:00,2008-12-13 17:00,,,N,,,,N,8hcJ56qGM0uAyrTkXn2nmw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
1,54799,81913,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-26 08:00,2009-01-08 17:00,2008-12-26 08:00,2009-01-08 17:00,,,N,,,,N,mg1+2jeVgUGlHbZI/m5Bdw,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
2,54800,81914,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-23 08:00,2009-01-05 17:00,2008-12-23 08:00,2009-01-05 17:00,,,N,,,,N,BbkGKbGkHkKXEcptAvvcPQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
3,54801,81915,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-24 08:00,2009-01-06 17:00,2008-12-24 08:00,2009-01-06 17:00,,,N,,,,N,Xr7pgy3DlEGpyQEicckcSg,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
4,54802,81916,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-17 08:00,2008-12-30 17:00,2008-12-17 08:00,2008-12-30 17:00,,,N,,,,N,DLTHYO/TQ0O/C/C5brizpA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
5,54803,81917,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-26 08:00,2009-01-08 17:00,2008-12-26 08:00,2009-01-08 17:00,,,N,,,,N,/t4r1EbWt0CIPzM6UCp6YA,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
6,54804,81918,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-23 08:00,2009-01-07 17:00,2008-12-23 08:00,2009-01-07 17:00,,,N,,,,N,bKUCIGhrbEaLLw51yk759w,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
7,54805,81919,829,N,,,2283,,,,112,,112,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-23 08:00,2009-01-07 17:00,2008-12-23 08:00,2009-01-07 17:00,,,N,,,,N,JIWLtKQSf0SErBQKL+sxYQ,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
8,54806,81920,829,N,,,2283,,,,16,,16,1,0,1,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,2008-12-14 08:00,2008-12-15 17:00,2008-12-14 08:00,2008-12-15 17:00,,,N,,,,N,IG+IFXU0vUa+sWXMAyR3+g,COST_PER_QTY,0.00,0,,RT_Labor,ST_Rsrc,,,,
9,54807,81921,829,N,,,2283,,,,0,,224,0,0,1,0,224,,,0.00,0.00,0.00,0.00,0.00,2007-12-07 08:00,2008-01-03 17:00,,,2007-12-07 08:00,2008-01-03 17:00,,,N,,,,N,tzacd43P3kWTjqnUl4Es8g,COST_PER_QTY,0.00,224,,RT_Labor,ST_Rsrc,,,,
10,54808,81922,829,N,,,2283,,,,0,,72,0,0,1,0,72,,,0.00,0.00,0.00,0.00,0.00,2008-01-06 08:00,2008-01-14 17:00,,,2008-01-06 08:00,2008-01-14 17:00,,,N,,,,N,dCT3OeoYdkexU7aPHMGF5g,COST_PER_QTY,0.00,72,,RT_Labor,ST_Rsrc,,,,
