,udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
0,196,81900,829,,201326592,,
1,196,81901,829,,201326592,,
2,196,81903,829,,67108864,,
3,196,81905,829,,201326592,,
4,196,81906,829,,67108864,,
5,196,81907,829,,201326592,,
6,196,81908,829,,822083584,,
7,196,81910,829,,67108864,,
8,196,81911,829,,201326592,,
9,196,81912,829,,201326592,,
10,196,81914,829,,201326592,,
11,196,81916,829,,201326592,,
12,196,81920,829,,201326592,,
13,196,81922,829,,201326592,,
14,196,81927,829,,201326592,,
15,196,81929,829,,201326592,,
16,196,81931,829,,201326592,,
17,196,81933,829,,201326592,,
18,196,81935,829,,201326592,,
19,196,81937,829,,201326592,,
20,196,81939,829,,201326592,,
21,196,81941,829,,201326592,,
22,196,81943,829,,201326592,,
23,196,81945,829,,201326592,,
24,196,81947,829,,201326592,,
25,196,81949,829,,201326592,,
26,196,81951,829,,201326592,,
27,196,81953,829,,201326592,,
28,196,81955,829,,201326592,,
29,196,81957,829,,201326592,,
30,196,81959,829,,201326592,,
31,196,81961,829,,201326592,,
32,196,81963,829,,201326592,,
33,196,81965,829,,201326592,,
34,196,81967,829,,201326592,,
35,196,81969,829,,201326592,,
36,196,81971,829,,201326592,,
37,196,81973,829,,201326592,,
38,196,81975,829,,201326592,,
39,196,81977,829,,201326592,,
40,196,81979,829,,201326592,,
41,196,81981,829,,201326592,,
42,196,81983,829,,201326592,,
43,196,81985,829,,201326592,,
44,196,81987,829,,201326592,,
45,196,81989,829,,201326592,,
46,196,81991,829,,201326592,,
47,196,81993,829,,201326592,,
48,196,81995,829,,201326592,,
49,196,81997,829,,201326592,,
50,196,81999,829,,201326592,,
51,196,82001,829,,201326592,,
52,196,82003,829,,201326592,,
53,196,82005,829,,201326592,,
54,196,82007,829,,201326592,,
55,196,82009,829,,201326592,,
56,196,82011,829,,201326592,,
57,196,82013,829,,201326592,,
58,196,82015,829,,201326592,,
59,196,82017,829,,201326592,,
60,196,82019,829,,201326592,,
61,196,82021,829,,201326592,,
62,196,82023,829,,201326592,,
63,196,82025,829,,201326592,,
64,196,82027,829,,201326592,,
65,196,82029,829,,201326592,,
66,196,82031,829,,201326592,,
67,196,82033,829,,201326592,,
68,196,82035,829,,201326592,,
69,196,82037,829,,201326592,,
70,196,82039,829,,201326592,,
