,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,12728,,7250,Mobilization & Handing Over Works,2,10
1,12729,,7250,Engineering & Procurement Works,1,20
2,12730,,7250,Construction Works,3,30
3,12731,,7250,Testing & Commissioning Works,4,40
4,12732,,7250,dedwai1400,0,50
5,12733,,7250,Authority Interface,5,60
6,12734,,7251,General,00,10
7,12735,,7251,Towers A & B,01,20
8,12736,,7251,Parking Area,03,30
9,12737,,7251,Villas,04,40
10,12738,,7251,Podium Deck,05,50
11,12739,,7251,External Works,06,60
12,12740,,7251,Ancillary Buildings,07,70
13,12741,,7251,Testing & Commissioning,08,80
14,12742,,7252,General,00,10
15,12743,,7252,Stuctural,01,20
16,12744,,7252,Finishing,02,30
17,12745,,7252,Electrical,03,40
18,12746,,7252,HVAC,04,50
19,12747,,7252,Plumbing,05,60
20,12748,,7252,Fire Fighting,06,70
21,12749,,7252,Elevators,07,80
22,12750,,7252,Civil,08,90
23,12751,,7252,LPG,09,100
24,12752,,7253,Blinding,BLD,10
25,12753,,7253,Concrete Casting,CNC,20
26,12754,,7253,Block Works,B00,30
27,12755,,7253,Plaster works,PL0,40
28,12756,,7253,External Plaster,PLX,50
29,12757,,7253,Paint,PNT,60
30,12758,,7253,External Painting,PNX,70
31,12759,,7253,Chilled water Pipes,CHP,80
32,12760,,7253,Chilled Water Valves,CHV,90
33,12761,,7253,ACB,ACB,100
34,12762,,7253,Access Panels,ACC,110
35,12763,,7253,Air Cool condensing Unit,ACU,120
36,12764,,7253,Aggregat Road Base,AGG,130
37,12765,,7253,Aluminum Panels Cladding,ALP,140
38,12766,,7253,Aluminum Trelis,ALT,150
39,12767,,7253,Aluminum Louvers,ALV,160
40,12768,,7253,Aluminum Doors & Windows,ALW,170
41,12769,,7253,Backfilling Works,BFL,180
42,12770,,7253,Garbage Bin,BIN,190
43,12771,,7253,B.M.S,BMS,200
44,12772,,7253,Bath Tub,BTB,210
45,12773,,7253,BTU Meter,BTU,220
46,12774,,7253,Bus Bars,BUS,230
47,12775,,7253,Poly Carbonate Roofing for Sky Light,CAR,240
48,12776,,7253,Condensate Drainage Pipes,CDP,250
49,12777,,7253,Corner Guard,CGR,260
50,12778,,7253,Copping to Walls,COP,270
51,12779,,7253,Concrete Pavers,CPV,280
52,12780,,7253,Pile Head Crushing,CRH,290
53,12781,,7253,Tower Crane Erection & Diamantle,CRN,300
54,12782,,7253,Ceramic Tiles,CT0,310
55,12783,,7253,Swiming Pool Ceramic Tiles,CTS,320
56,12784,,7253,CCTV System,CTV,330
57,12785,,7253,Chilled Water Pumps,CWP,340
58,12786,,7253,Duct Works,D00,350
59,12787,,7253,Distribution Boards,DB0,360
60,12788,,7253,Drainage Pipes,DR0,370
61,12789,,7253,Drainage Matt Versicel,DRM,380
62,12790,,7253,Block Work for Dead Shutter,DSH,390
63,12791,,7253,Dewatering,DW0,400
64,12792,,7253,General Electrical Works,EL0,410
65,12793,,7253,Elevator Steel Frame,ELF,420
66,12794,,7253,Elevators,ELV,430
67,12795,,7253,Emergency System,EM0,440
68,12796,,7253,Epoxy Floor Coating,EPX,450
69,12797,,7253,Earthing System,ER0,460
70,12798,,7253,Fire Alarm System,FA0,470
71,12799,,7253,Fan,FAN,480
72,12800,,7253,Fan Coil Units,FCU,490
73,12801,,7253,Floor Drain,FD0,500
74,12802,,7253,Fire Fighting Pipes,FFP,510
75,12803,,7253,Fire Fighting Valves,FFV,520
76,12804,,7253,Fire Hose Cabinet,FHC,530
77,12805,,7253,Filter Material at Retaing Wall,FLT,540
78,12806,,7253,Flash Valve,FLV,550
79,12807,,7253,FM200 System,FM2,560
80,12808,,7253,Form Works,FRM,570
81,12809,,7253,Generator,GEN,580
82,12810,,7253,Glass & Glazing,GLZ,590
83,12811,,7253,GRP,GRP,600
84,12812,,7253,Loose Gravel,GRV,610
85,12813,,7253,Garbage Chute,GSH,620
86,12814,,7253,Gravel Drainage Layer on Geotextile,GTX,630
87,12815,,7253,Gullies,GUL,640
88,12816,,7253,HDPE Lake Liner,HDL,650
89,12817,,7253,Doors Hardware,HDW,660
90,12818,,7253,HEX Units,HEX,670
91,12819,,7253,Handrails,HR0,680
92,12820,,7253,Floor Hardener,HRD,690
93,12821,,7253,Hard Landscaping,HSC,700
94,12822,,7253,Heavy Traffic Floor Coating,HTC,710
95,12823,,7253,Inertia Block W/Vibration Isolator,INB,720
96,12824,,7253,Jet Fan,JFN,730
97,12825,,7253,Concrete Kerb,KRB,740
98,12826,,7253,Control Panels for Mech. Equipment,LCP,750
99,12827,,7253,Lighting System,LG0,760
100,12828,,7253,Lightining System,LGT,770
101,12829,,7253,Lake Liner R.C Conrete (150mm),LL0,780
102,12830,,7253,Landscaping,LNS,790
103,12831,,7253,LPG Exhaust Duct,LPD,800
104,12832,,7253,LPG Line,LPG,810
105,12833,,7253,L.V. Panels,LVP,820
106,12834,,7253,Light Weight Concrete,LWC,830
107,12835,,7253,Marble Floors & Walls,MR0,840
108,12836,,7253,Metal Works,MW0,850
109,12837,,7253,Stair Aluminum Nosing,NOS,860
110,12838,,7253,Pre-actioned Fire Fighting System for Substaion,PAS,870
111,12839,,7253,PAU,PAU,880
112,12840,,7253,Portable Fire Extinguishers,PFE,890
113,12841,,7253,Pile Head Treatment,PHT,900
114,12842,,7253,Transefer Pump Set,PM1,910
115,12843,,7253,Booster Pumps,PM2,920
116,12844,,7253,Roof Polystyrene Sheets,POL,930
117,12845,,7253,Porcelain Flooring,POR,940
118,12846,,7253,Provision For MEP Utilities,PRO,950
119,12847,,7253,Pressurization Unit & Chemical Pot Feeder,PRS,960
120,12848,,7253,Pouring Shrinkage Strips,PST,970
121,12849,,7253,Concrete Pavers,PVR,980
122,12850,,7253,Power System,PW0,990
123,12851,,7253,Concrete Repair works,REP,1000
124,12852,,7253,Raised Flooring,RFL,1010
125,12853,,7253,Steel Reinforcement Works,RFT,1020
126,12854,,7253,Road Marking & Signage,RMK,1030
127,12855,,7253,Roofing Works,ROF,1040
128,12856,,7253,Rubber Flooring,RUB,1050
129,12857,,7253,Gypsum Suspended Ceiling,SC0,1060
130,12858,,7253,Scaffolding for Facade,SCF,1070
131,12859,,7253,Screed,SCR,1080
132,12860,,7253,Steel Doors,SD0,1090
133,12861,,7253,Sun Shade at Children Play Area,SHD,1100
134,12862,,7253,Sky Light,SKY,1110
135,12863,,7253,Sand Laying Course,SND,1120
136,12864,,7253,Wall Cladding for Planters,ST0,1130
137,12865,,7253,Security System,SU0,1140
138,12866,,7253,Sanitary Ware,SW0,1150
139,12867,,7253,Thresholds,THR,1160
140,12868,,7253,Telephone System,TL0,1170
141,12869,,7253,GRP Elevated Water Tank,TNK,1180
142,12870,,7253,Transformers,TRS,1190
143,12871,,7253,Toilet Accessories,TX0,1200
144,12872,,7253,Vanity Units,VAN,1210
145,12873,,7253,Void Closure,VDC,1220
146,12874,,7253,Wood Doors & Frames,WD0,1230
147,12875,,7253,Wood Flooring,WF0,1240
148,12876,,7253,Water Heaters,WH0,1250
149,12877,,7253,Wheel Stopper,WHS,1260
150,12878,,7253,Water Proofing Works,WP0,1270
151,12879,,7253,Water Supply Pipes,WS0,1280
