,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,10171,759,565,14640,1,Y,N,WS_Open,JM00,Jumeirah Islands Heights,,10170,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,CuGG/0l3d0SKF/cPLiGwkQ,,
1,10172,759,565,14650,1,N,N,WS_Open,JHMS,Jumeirah Heights Master Schedule,,10171,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,T5uXzeGjCkWZXezePCuz2A,,
2,10173,759,565,14660,1,N,N,WS_Open,01,JH Fronds,,10172,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,kE7djKPsPkGy3I4k5e5q9g,,
3,10174,759,565,14670,1,N,N,WS_Open,1,JH Frond A,,10173,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,o/WgJm46LUiVmq1PqYpjdg,,
4,10175,759,565,14680,1,N,N,WS_Open,P0,Moblization & Handing Over,,10174,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,eL6riHAvIk62vkdyPgsAvg,,
5,10176,759,565,14770,1,N,N,WS_Open,P1,Engineering and Procurement,,10174,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,w6toE77u5kOxjcEmX9rpIg,,
6,10177,759,565,15150,1,N,N,WS_Open,P2,Construction,,10174,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,lvEO+oiQdUKveft+ihOPNg,,
7,10178,759,565,15720,1,N,N,WS_Open,P3,Post Construction,,10174,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HNG9yIpCv0mMaHzBytYh9w,,
8,10179,759,565,14730,1,N,N,WS_Open,GRL,General (Non Contractual Milestones),,10175,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,8Xp7plRe6kawNKavqUzxvw,,
9,10180,759,565,15960,1,N,N,WS_Open,TRB,Tower B,,10178,,,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,gm08yv92gEOp205SLY+aAg,,
