,actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num
0,13169,,7306,zone 1,01,0
1,13170,,7306,zone 2,02,100
2,13171,,7306,zone 3,03,200
3,13172,,7307,villa D10,10,1
4,13173,,7307,villa B11,11,100
5,13174,,7307,villa B12,12,200
6,13175,,7307,villa B13,13,300
7,13176,,7307,villa B14,14,400
8,13177,,7307,villa B55,55,500
9,13178,,7307,villa F86,86,600
10,13179,,7307,villa F87,87,700
11,13180,,7307,villa D89,89,800
12,13181,,7307,villa D90,90,900
13,13182,,7307,villa D91,91,1000
14,13183,,7307,villa D92,92,1100
15,13184,,7307,villa F93,93,1200
16,13185,,7307,villa F94,94,1300
17,13186,,7307,villa A95,95,1400
18,13187,,7307,villa A96,96,1500
19,13188,,7307,villa A97,97,1600
20,13189,,7307,villa B102,102,1700
21,13190,,7307,villa B107,107,1800
22,13191,,7307,villa TH111,111,1900
23,13192,,7307,villa TH112,112,2000
24,13193,,7308,engineering,01,100
25,13194,,7308,earth works,02,200
26,13195,,7308,concrete works,03,300
27,13196,,7308,electro mechanical works,04,303
28,13197,,7308,finishes,05,304
29,13198,,7308,fence works,06,400
30,13199,,7308,start construction,07,0
31,13200,,7308,finish construction,08,500
32,13201,,7307,vila A52,52,401
33,13202,,7308,Brick Works,09,301
34,13203,,7308,Insulation works,10,302
35,13204,,7307,villa D9,9,0
36,13205,,7309,plain concrete,01,0
37,13206,,7309,R.C For Foundation,02,100
38,13207,,7309,slab on grade,03,200
39,13208,,7309,columns,04,300
40,13209,,7309,slabs,05,400
