,task_id,actv_code_type_id,actv_code_id,proj_id
0,88846,7306,13169,784
1,88846,7307,13204,784
2,88846,7308,13194,784
3,88847,7306,13169,784
4,88847,7307,13204,784
5,88847,7308,13194,784
6,88848,7306,13169,784
7,88848,7307,13204,784
8,88848,7308,13195,784
9,88848,7309,13205,784
10,88849,7306,13169,784
11,88849,7307,13204,784
12,88849,7308,13195,784
13,88849,7309,13206,784
14,88850,7306,13169,784
15,88850,7307,13204,784
16,88850,7308,13202,784
17,88851,7306,13169,784
18,88851,7307,13204,784
19,88851,7308,13203,784
20,88852,7306,13169,784
21,88852,7307,13204,784
22,88852,7308,13194,784
23,88853,7306,13169,784
24,88853,7307,13204,784
25,88853,7308,13195,784
26,88853,7309,13207,784
27,88854,7306,13169,784
28,88854,7307,13204,784
29,88854,7308,13203,784
30,88855,7306,13169,784
31,88855,7307,13204,784
32,88855,7308,13195,784
33,88855,7309,13207,784
34,88856,7306,13169,784
35,88856,7307,13204,784
36,88856,7308,13195,784
37,88856,7309,13208,784
38,88857,7306,13169,784
39,88857,7307,13204,784
40,88857,7308,13195,784
41,88857,7309,13209,784
42,88858,7306,13169,784
43,88858,7307,13204,784
44,88858,7308,13195,784
45,88858,7309,13208,784
46,88859,7306,13169,784
47,88859,7307,13204,784
48,88859,7308,13195,784
49,88859,7309,13209,784
50,88860,7306,13169,784
51,88860,7307,13204,784
52,88860,7308,13195,784
53,88860,7309,13208,784
54,88861,7306,13169,784
55,88861,7307,13204,784
56,88861,7308,13195,784
57,88861,7309,13209,784
58,88862,7306,13169,784
59,88862,7307,13204,784
60,88862,7308,13202,784
61,88863,7306,13169,784
62,88863,7307,13204,784
63,88863,7308,13196,784
64,88864,7306,13169,784
65,88864,7307,13204,784
66,88864,7308,13196,784
67,88865,7306,13169,784
68,88865,7307,13204,784
69,88865,7308,13196,784
70,88866,7306,13169,784
71,88866,7307,13204,784
72,88866,7308,13197,784
73,88867,7306,13169,784
74,88867,7307,13204,784
75,88867,7308,13197,784
76,88868,7306,13169,784
77,88868,7307,13204,784
78,88868,7308,13196,784
79,88869,7306,13169,784
80,88869,7307,13204,784
81,88869,7308,13199,784
82,88870,7306,13169,784
83,88870,7307,13204,784
84,88870,7308,13200,784
85,88871,7306,13169,784
86,88871,7307,13204,784
87,88871,7308,13193,784
88,88872,7306,13169,784
89,88872,7307,13204,784
90,88872,7308,13195,784
91,88873,7306,13169,784
92,88873,7307,13204,784
93,88873,7308,13195,784
94,88874,7306,13169,784
95,88874,7307,13204,784
96,88874,7308,13195,784
97,88875,7306,13169,784
98,88875,7307,13204,784
99,88875,7308,13198,784
100,88876,7306,13169,784
101,88876,7307,13204,784
102,88876,7308,13193,784
103,88877,7306,13169,784
104,88877,7307,13204,784
105,88877,7308,13194,784
106,88878,7306,13169,784
107,88878,7307,13204,784
108,88878,7308,13202,784
109,88879,7306,13169,784
110,88879,7307,13204,784
111,88879,7308,13202,784
112,88880,7306,13169,784
113,88880,7307,13204,784
114,88880,7308,13197,784
115,88881,7306,13169,784
116,88881,7307,13204,784
117,88881,7308,13197,784
118,88882,7306,13169,784
119,88882,7307,13204,784
120,88882,7308,13196,784
121,88883,7306,13169,784
122,88883,7307,13204,784
123,88883,7308,13196,784
124,88884,7306,13169,784
125,88884,7307,13204,784
126,88884,7308,13196,784
127,88885,7306,13169,784
128,88885,7307,13172,784
129,88885,7308,13194,784
130,88886,7306,13169,784
131,88886,7307,13172,784
132,88886,7308,13194,784
133,88887,7306,13169,784
134,88887,7307,13172,784
135,88887,7308,13195,784
136,88887,7309,13205,784
137,88888,7306,13169,784
138,88888,7307,13172,784
139,88888,7308,13195,784
140,88888,7309,13206,784
141,88889,7306,13169,784
142,88889,7307,13172,784
143,88889,7308,13202,784
144,88890,7306,13169,784
145,88890,7307,13172,784
146,88890,7308,13203,784
147,88891,7306,13169,784
148,88891,7307,13172,784
149,88891,7308,13194,784
150,88892,7306,13169,784
151,88892,7307,13172,784
152,88892,7308,13195,784
153,88892,7309,13207,784
154,88893,7306,13169,784
155,88893,7307,13172,784
156,88893,7308,13203,784
157,88894,7306,13169,784
158,88894,7307,13172,784
159,88894,7308,13195,784
160,88894,7309,13207,784
161,88895,7306,13169,784
162,88895,7307,13172,784
163,88895,7308,13195,784
164,88895,7309,13208,784
165,88896,7306,13169,784
166,88896,7307,13172,784
167,88896,7308,13195,784
168,88896,7309,13209,784
169,88897,7306,13169,784
170,88897,7307,13172,784
171,88897,7308,13195,784
172,88897,7309,13208,784
173,88898,7306,13169,784
174,88898,7307,13172,784
175,88898,7308,13195,784
176,88898,7309,13209,784
177,88899,7306,13169,784
178,88899,7307,13172,784
179,88899,7308,13195,784
180,88899,7309,13208,784
181,88900,7306,13169,784
182,88900,7307,13172,784
183,88900,7308,13195,784
184,88900,7309,13209,784
185,88901,7306,13169,784
186,88901,7307,13172,784
187,88901,7308,13202,784
188,88902,7306,13169,784
189,88902,7307,13172,784
190,88902,7308,13196,784
191,88903,7306,13169,784
192,88903,7307,13172,784
193,88903,7308,13196,784
194,88904,7306,13169,784
195,88904,7307,13172,784
196,88904,7308,13196,784
197,88905,7306,13169,784
198,88905,7307,13172,784
199,88905,7308,13197,784
200,88906,7306,13169,784
201,88906,7307,13172,784
202,88906,7308,13197,784
203,88907,7306,13169,784
204,88907,7307,13172,784
205,88907,7308,13196,784
206,88908,7306,13169,784
207,88908,7307,13172,784
208,88908,7308,13199,784
209,88909,7306,13169,784
210,88909,7307,13172,784
211,88909,7308,13200,784
212,88910,7306,13169,784
213,88910,7307,13172,784
214,88910,7308,13193,784
215,88911,7306,13169,784
216,88911,7307,13172,784
217,88911,7308,13195,784
218,88912,7306,13169,784
219,88912,7307,13172,784
220,88912,7308,13195,784
221,88913,7306,13169,784
222,88913,7307,13172,784
223,88913,7308,13195,784
224,88914,7306,13169,784
225,88914,7307,13172,784
226,88914,7308,13198,784
227,88915,7306,13169,784
228,88915,7307,13172,784
229,88915,7308,13193,784
230,88916,7306,13169,784
231,88916,7307,13172,784
232,88916,7308,13194,784
233,88917,7306,13169,784
234,88917,7307,13172,784
235,88917,7308,13202,784
236,88918,7306,13169,784
237,88918,7307,13172,784
238,88918,7308,13202,784
239,88919,7306,13169,784
240,88919,7307,13172,784
241,88919,7308,13197,784
242,88920,7306,13169,784
243,88920,7307,13172,784
244,88920,7308,13197,784
245,88921,7306,13169,784
246,88921,7307,13172,784
247,88921,7308,13196,784
248,88922,7306,13169,784
249,88922,7307,13172,784
250,88922,7308,13196,784
251,88923,7306,13169,784
252,88923,7307,13172,784
253,88923,7308,13196,784
254,88924,7306,13169,784
255,88924,7307,13173,784
256,88924,7308,13194,784
257,88925,7306,13169,784
258,88925,7307,13173,784
259,88925,7308,13194,784
260,88926,7306,13169,784
261,88926,7307,13173,784
262,88926,7308,13195,784
263,88926,7309,13205,784
264,88927,7306,13169,784
265,88927,7307,13173,784
266,88927,7308,13195,784
267,88927,7309,13206,784
268,88928,7306,13169,784
269,88928,7307,13173,784
270,88928,7308,13202,784
271,88929,7306,13169,784
272,88929,7307,13173,784
273,88929,7308,13203,784
274,88930,7306,13169,784
275,88930,7307,13173,784
276,88930,7308,13194,784
277,88931,7306,13169,784
278,88931,7307,13173,784
279,88931,7308,13195,784
280,88931,7309,13207,784
281,88932,7306,13169,784
282,88932,7307,13173,784
283,88932,7308,13203,784
284,88933,7306,13169,784
285,88933,7307,13173,784
286,88933,7308,13195,784
287,88933,7309,13207,784
288,88934,7306,13169,784
289,88934,7307,13173,784
290,88934,7308,13195,784
291,88934,7309,13208,784
292,88935,7306,13169,784
293,88935,7307,13173,784
294,88935,7308,13195,784
295,88935,7309,13209,784
296,88936,7306,13169,784
297,88936,7307,13173,784
298,88936,7308,13195,784
299,88936,7309,13208,784
300,88937,7306,13169,784
301,88937,7307,13173,784
302,88937,7308,13195,784
303,88937,7309,13209,784
304,88938,7306,13169,784
305,88938,7307,13173,784
306,88938,7308,13195,784
307,88938,7309,13208,784
308,88939,7306,13169,784
309,88939,7307,13173,784
310,88939,7308,13195,784
311,88939,7309,13209,784
312,88940,7306,13169,784
313,88940,7307,13173,784
314,88940,7308,13202,784
315,88941,7306,13169,784
316,88941,7307,13173,784
317,88941,7308,13196,784
318,88942,7306,13169,784
319,88942,7307,13173,784
320,88942,7308,13196,784
321,88943,7306,13169,784
322,88943,7307,13173,784
323,88943,7308,13196,784
324,88944,7306,13169,784
325,88944,7307,13173,784
326,88944,7308,13197,784
327,88945,7306,13169,784
328,88945,7307,13173,784
329,88945,7308,13197,784
330,88946,7306,13169,784
331,88946,7307,13173,784
332,88946,7308,13196,784
333,88947,7306,13169,784
334,88947,7307,13173,784
335,88947,7308,13199,784
336,88948,7306,13169,784
337,88948,7307,13173,784
338,88948,7308,13200,784
339,88949,7306,13169,784
340,88949,7307,13173,784
341,88949,7308,13193,784
342,88950,7306,13169,784
343,88950,7307,13173,784
344,88950,7308,13195,784
345,88951,7306,13169,784
346,88951,7307,13173,784
347,88951,7308,13195,784
348,88952,7306,13169,784
349,88952,7307,13173,784
350,88952,7308,13195,784
351,88953,7306,13169,784
352,88953,7307,13173,784
353,88953,7308,13198,784
354,88954,7306,13169,784
355,88954,7307,13173,784
356,88954,7308,13193,784
357,88955,7306,13169,784
358,88955,7307,13173,784
359,88955,7308,13194,784
360,88956,7306,13169,784
361,88956,7307,13173,784
362,88956,7308,13202,784
363,88957,7306,13169,784
364,88957,7307,13173,784
365,88957,7308,13202,784
366,88958,7306,13169,784
367,88958,7307,13173,784
368,88958,7308,13197,784
369,88959,7306,13169,784
370,88959,7307,13173,784
371,88959,7308,13197,784
372,88960,7306,13169,784
373,88960,7307,13173,784
374,88960,7308,13196,784
375,88961,7306,13169,784
376,88961,7307,13173,784
377,88961,7308,13196,784
378,88962,7306,13169,784
379,88962,7307,13173,784
380,88962,7308,13196,784
381,88963,7306,13169,784
382,88963,7307,13174,784
383,88963,7308,13194,784
384,88964,7306,13169,784
385,88964,7307,13174,784
386,88964,7308,13194,784
387,88965,7306,13169,784
388,88965,7307,13174,784
389,88965,7308,13195,784
390,88965,7309,13205,784
391,88966,7306,13169,784
392,88966,7307,13174,784
393,88966,7308,13195,784
394,88966,7309,13206,784
395,88967,7306,13169,784
396,88967,7307,13174,784
397,88967,7308,13202,784
398,88968,7306,13169,784
399,88968,7307,13174,784
400,88968,7308,13203,784
401,88969,7306,13169,784
402,88969,7307,13174,784
403,88969,7308,13194,784
404,88970,7306,13169,784
405,88970,7307,13174,784
406,88970,7308,13195,784
407,88970,7309,13207,784
408,88971,7306,13169,784
409,88971,7307,13174,784
410,88971,7308,13203,784
411,88972,7306,13169,784
412,88972,7307,13174,784
413,88972,7308,13195,784
414,88972,7309,13207,784
415,88973,7306,13169,784
416,88973,7307,13174,784
417,88973,7308,13195,784
418,88973,7309,13208,784
419,88974,7306,13169,784
420,88974,7307,13174,784
421,88974,7308,13195,784
422,88974,7309,13209,784
423,88975,7306,13169,784
424,88975,7307,13174,784
425,88975,7308,13195,784
426,88975,7309,13208,784
427,88976,7306,13169,784
428,88976,7307,13174,784
429,88976,7308,13195,784
430,88976,7309,13209,784
431,88977,7306,13169,784
432,88977,7307,13174,784
433,88977,7308,13195,784
434,88977,7309,13208,784
435,88978,7306,13169,784
436,88978,7307,13174,784
437,88978,7308,13195,784
438,88978,7309,13209,784
439,88979,7306,13169,784
440,88979,7307,13174,784
441,88979,7308,13202,784
442,88980,7306,13169,784
443,88980,7307,13174,784
444,88980,7308,13196,784
445,88981,7306,13169,784
446,88981,7307,13174,784
447,88981,7308,13196,784
448,88982,7306,13169,784
449,88982,7307,13174,784
450,88982,7308,13196,784
451,88983,7306,13169,784
452,88983,7307,13174,784
453,88983,7308,13197,784
454,88984,7306,13169,784
455,88984,7307,13174,784
456,88984,7308,13197,784
457,88985,7306,13169,784
458,88985,7307,13174,784
459,88985,7308,13196,784
460,88986,7306,13169,784
461,88986,7307,13174,784
462,88986,7308,13199,784
463,88987,7306,13169,784
464,88987,7307,13174,784
465,88987,7308,13200,784
466,88988,7306,13169,784
467,88988,7307,13174,784
468,88988,7308,13193,784
469,88989,7306,13169,784
470,88989,7307,13174,784
471,88989,7308,13195,784
472,88990,7306,13169,784
473,88990,7307,13174,784
474,88990,7308,13195,784
475,88991,7306,13169,784
476,88991,7307,13174,784
