,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,78253,88843,88844,784,784,PR_FS,0,,2010-06-21 08:00,2010-07-10 08:00
1,78254,88847,88846,784,784,PR_FS,0,,2010-08-12 16:00,2010-09-01 08:00
2,78255,88848,88847,784,784,PR_FS,0,,2010-08-26 16:00,2010-09-15 08:00
3,78256,88851,88850,784,784,PR_FS,0,,2010-09-19 16:00,2010-10-09 08:00
4,78257,88852,88851,784,784,PR_FS,0,,2010-09-21 16:00,2010-10-11 08:00
5,78258,88854,88853,784,784,PR_FS,0,,2010-10-24 16:00,2010-11-27 08:00
6,78259,88855,88854,784,784,PR_FS,0,,2010-10-26 16:00,2010-11-29 08:00
7,78260,88859,88858,784,784,PR_FS,0,,2010-10-12 16:00,2010-11-01 08:00
8,78261,88861,88860,784,784,PR_FS,0,,2010-10-31 16:00,2010-11-24 08:00
9,78262,88864,88859,784,784,PR_SS,32,,2010-10-17 16:00,2010-10-23 08:00
10,78263,88865,88861,784,784,PR_SS,24,,2010-11-03 16:00,2010-11-14 08:00
11,78264,88846,88869,784,784,PR_FS,0,,2010-08-11 08:00,2010-08-30 08:00
12,78265,88870,88867,784,784,PR_FS,0,,2010-12-09 16:00,2010-12-28 16:00
13,78266,88869,88871,784,784,PR_FS,0,,2010-06-21 08:00,2010-08-30 08:00
14,78267,88858,88872,784,784,PR_FS,0,,2010-10-05 16:00,2010-10-25 08:00
15,78268,88860,88873,784,784,PR_FS,16,,2010-10-26 16:00,2010-11-13 08:00
16,78269,88872,88857,784,784,PR_FS,0,,2010-10-04 16:00,2010-10-24 08:00
17,78270,88873,88859,784,784,PR_FS,0,,2010-10-23 16:00,2010-11-11 08:00
18,78271,88874,88861,784,784,PR_FS,0,,2010-11-07 16:00,2010-12-01 08:00
19,78272,88853,88868,784,784,PR_FS,0,,2010-09-26 16:00,2010-11-25 08:00
20,78273,88857,88856,784,784,PR_FS,0,,2010-09-16 16:00,2010-10-13 08:00
21,78274,88875,88872,784,784,PR_FS,0,,2010-10-05 16:00,2010-10-27 08:00
22,78275,88856,88849,784,784,PR_FS,0,,2010-09-09 16:00,2010-09-29 08:00
23,78276,88850,88856,784,784,PR_FS,0,,2010-09-16 16:00,2010-10-06 08:00
24,78277,88857,88852,784,784,PR_FS,0,,2010-09-23 16:00,2010-10-13 08:00
25,78278,88868,88852,784,784,PR_FS,0,,2010-09-23 16:00,2010-11-23 08:00
26,78279,88873,88864,784,784,PR_FF,24,,2010-10-23 08:00,2010-11-09 08:00
27,78280,88874,88865,784,784,PR_FF,16,,2010-11-07 08:00,2010-11-30 08:00
28,78281,88863,88857,784,784,PR_SS,32,,2010-09-28 16:00,2010-10-04 08:00
