,cost_item_id,acct_id,pobs_id,cost_type_id,proj_id,task_id,cost_name,po_number,vendor_name,act_cost,cost_per_qty,remain_cost,target_cost,cost_load_type,auto_compute_act_flag,target_qty,qty_name,cost_descr,contract_manager_import
0,3489,,,,1340,88350,(New Expense Item),,,0.00,345000.00,0.00,0.00,CL_Uniform,N,0,,,
1,3490,,,,1340,88351,(New Expense Item),,,0.00,315900.00,0.00,0.00,CL_Uniform,N,0,,,
2,3491,,,,1340,88354,(New Expense Item),,,0.00,158700.00,0.00,0.00,CL_Uniform,N,0,,,
3,3492,,,,1340,88355,(New Expense Item),,,0.00,1262250.00,0.00,0.00,CL_Uniform,N,0,,,
4,3493,,,,1340,88356,(New Expense Item),,,0.00,76930.00,0.00,0.00,CL_Uniform,N,0,,,
5,3494,,,,1340,88357,(New Expense Item),,,0.00,468460.00,0.00,0.00,CL_Uniform,N,0,,,
6,3495,,,,1340,88361,(New Expense Item),,,0.00,161975.00,0.00,0.00,CL_Uniform,N,0,,,
7,3496,,,,1340,88363,(New Expense Item),,,0.00,112520.00,0.00,0.00,CL_Uniform,N,0,,,
8,3497,,,,1340,88360,(New Expense Item),,,0.00,74000.00,0.00,0.00,CL_Uniform,N,0,,,
9,3498,,,,1340,88362,(New Expense Item),,,0.00,15750.00,0.00,0.00,CL_Uniform,N,0,,,
10,3499,,,,1340,88364,(New Expense Item),,,0.00,2724.00,0.00,0.00,CL_Uniform,N,0,,,
11,3500,,,,1340,88365,(New Expense Item),,,0.00,2724.00,0.00,0.00,CL_Uniform,N,0,,,
