,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,88346,1340,12027,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,SD 100,Shop Drawings submittal,,40,0,80,0,0,0,80,0,0,0,,,,2012-01-20 08:00,2012-01-29 16:00,,2012-01-15 08:00,2012-01-24 16:00,2012-01-15 08:00,2012-01-24 16:00,2012-01-15 08:00,2012-01-24 16:00,,2012-01-20 08:00,2012-01-29 16:00,,PT_Normal,,,,,5DdtdwtWGUWJvEeMa1iCrA,JIzrv/VjjkWyJQ9CFmnssg,,,N,0,0,,,2011-12-08 16:07,2011-12-08 16:59,admin,admin
1,88347,1340,12027,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD 150,Shop Drawings Approval,,40,0,80,0,0,0,80,0,0,0,,,,2012-01-25 08:00,2012-02-03 16:00,,2012-01-20 08:00,2012-01-29 16:00,2012-01-20 08:00,2012-01-29 16:00,2012-01-20 08:00,2012-01-29 16:00,,2012-01-25 08:00,2012-02-03 16:00,,PT_Normal,,,,,C9IQcGGhoEKSc2joU5t/bQ,LPONaTkfk0C4rYXBaiUmMQ,,,N,0,0,,,2011-12-08 16:07,2011-12-08 16:59,admin,admin
2,88348,1340,12024,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDrtn,RV_OK,TK_NotStart,SD 120,Shop Drawings submittal,,128,0,56,0,0,0,56,0,0,0,,,,2012-02-15 08:00,2012-02-21 16:00,,2012-01-30 08:00,2012-02-05 16:00,2012-01-30 08:00,2012-02-05 16:00,2012-01-30 08:00,2012-02-05 16:00,,2012-02-15 08:00,2012-02-21 16:00,,PT_Normal,,,,,7CY+fJVbkk6X40iIG+pF7g,OskgUfzcnEKHX/JlSyqFyA,,,N,0,0,,,2011-12-08 16:07,2011-12-08 16:59,admin,admin
3,88349,1340,12024,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,SD 180,Shop Drawings Approval,,128,0,56,0,0,0,56,0,0,0,,,,2012-02-22 08:00,2012-02-28 16:00,,2012-02-06 08:00,2012-02-12 16:00,2012-02-06 08:00,2012-02-12 16:00,2012-02-06 08:00,2012-02-12 16:00,,2012-02-22 08:00,2012-02-28 16:00,,PT_Normal,,,,,8zfBLfeK7UqKUDHzdzEeCA,+OdwDwWP70irQOKORbC+gw,,,N,0,0,,,2011-12-08 16:07,2011-12-08 16:59,admin,admin
4,88350,1340,12026,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Excavation Works,,8,0,48,0,0,0,48,0,0,0,,,,2012-04-28 08:00,2012-05-03 16:00,,2012-04-27 08:00,2012-05-02 16:00,2012-04-27 08:00,2012-05-02 16:00,2012-04-27 08:00,2012-05-02 16:00,,2012-04-28 08:00,2012-05-03 16:00,,PT_Normal,,,,,LiRlnnnvSkmcuw7DJ8pjcQ,1vOLRG3SzUiUUlnygTVYCQ,,,N,0,0,,,2011-12-08 16:07,2011-12-08 17:01,admin,admin
5,88351,1340,12026,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Backfill Works,,8,8,32,0,0,0,32,0,0,0,,,,2012-05-28 08:00,2012-05-31 16:00,,2012-05-27 08:00,2012-05-30 16:00,2012-05-27 08:00,2012-05-30 16:00,2012-05-27 08:00,2012-05-30 16:00,,2012-05-28 08:00,2012-05-31 16:00,,PT_Normal,,,,,39R24KmHuE+e3qSZAK4Rzg,YrjfIsInP06eacLXtnS7iw,,,N,0,0,,,2011-12-08 16:07,2011-12-08 17:01,admin,admin
6,88352,1340,12019,1671,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1040,Project Start,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,,PT_Normal,,,,,A/9JJLIRGECHpi9KRrxbPA,j/6ZSyZdTESjph24wLiI0A,,,Y,0,0,,,2011-12-08 16:07,2011-12-08 16:07,admin,admin
7,88353,1340,12019,1671,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1050,Project Finish,,0,0,0,0,0,0,0,0,0,0,,,,2012-05-31 16:00,2012-05-31 16:00,,2012-05-31 16:00,2012-05-31 16:00,2012-05-31 16:00,2012-05-31 16:00,2012-05-31 16:00,2012-05-31 16:00,,2012-05-31 16:00,2012-05-31 16:00,,PT_Normal,,,,,M6dXQXX4YkCArI9jXCw5OA,RJFT6p9q0UC+SBosVSLldg,,,Y,0,0,,,2011-12-08 16:07,2011-12-08 17:01,admin,admin
8,88354,1340,12031,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,Plain Concrete For Footings,,8,0,32,0,0,0,32,0,0,0,,,,2012-05-04 08:00,2012-05-07 16:00,,2012-05-03 08:00,2012-05-06 16:00,2012-05-03 08:00,2012-05-06 16:00,2012-05-03 08:00,2012-05-06 16:00,,2012-05-04 08:00,2012-05-07 16:00,,PT_Normal,,,,,6khVPWGDQkqOpXH0IZNCbQ,9Ua2PYdTtE+ofRHN5gVfkg,,,N,0,0,,,2011-12-08 16:07,2011-12-08 17:01,admin,admin
9,88355,1340,12031,1671,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,Reinforced Concrete For Footings,,8,0,48,0,0,0,48,0,0,0,,,,2012-05-08 08:00,2012-05-13 16:00,,2012-05-07 08:00,2012-05-12 16:00,2012-05-07 08:00,2012-05-12 16:00,2012-05-07 08:00,2012-05-12 16:00,,2012-05-08 08:00,2012-05-13 16:00,,PT_Normal,,,,,GVY1M2idB0eZgIVomGdnZQ,fdMwZWGB6kuVEv+wMTRBdg,,,N,0,0,,,2011-12-08 16:07,2011-12-08 17:01,admin,admin
