,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,86028,88347,88346,1340,1340,PR_SS,40,,2012-01-19 16:00,2012-01-10 08:00
1,86029,88348,88347,1340,1340,PR_FS,0,,2012-01-29 16:00,2012-02-15 08:00
2,86030,88349,88348,1340,1340,PR_FS,0,,2012-02-05 16:00,2012-02-22 08:00
3,86031,88355,88354,1340,1340,PR_FS,0,,2012-05-06 16:00,2012-05-08 08:00
4,86032,88359,88358,1340,1340,PR_FS,0,,2012-03-23 16:00,2012-04-24 08:00
5,86034,88353,88361,1340,1340,PR_FS,0,,2012-05-28 16:00,2012-05-31 16:00
6,86036,88367,88352,1340,1340,PR_FS,0,,2012-01-01 08:00,2012-01-01 08:00
7,86037,88368,88367,1340,1340,PR_FS,0,,2012-01-07 16:00,2012-01-08 08:00
8,86038,88369,88368,1340,1340,PR_FS,800,,2012-04-23 16:00,2012-01-15 08:00
9,86041,88372,88371,1340,1340,PR_FS,0,,2012-01-24 16:00,2012-01-25 08:00
10,86042,88346,88368,1340,1340,PR_FS,0,,2012-01-14 16:00,2012-01-20 08:00
11,86044,88350,88370,1340,1340,PR_FS,0,,2012-04-26 16:00,2012-04-28 08:00
12,86045,88354,88350,1340,1340,PR_FS,0,,2012-05-02 16:00,2012-05-04 08:00
13,86048,88356,88372,1340,1340,PR_FS,0,,2012-02-03 16:00,2012-02-04 08:00
14,86049,88374,88355,1340,1340,PR_FS,0,,2012-05-12 16:00,2012-05-14 08:00
15,86050,88351,88374,1340,1340,PR_FS,80,,2012-05-26 16:00,2012-05-18 08:00
16,86051,88357,88356,1340,1340,PR_FS,0,,2012-02-28 16:00,2012-02-29 08:00
17,86052,88357,88349,1340,1340,PR_FS,0,,2012-02-12 16:00,2012-02-29 08:00
18,86053,88366,88357,1340,1340,PR_FS,0,,2012-03-14 16:00,2012-03-15 08:00
19,86054,88375,88366,1340,1340,PR_FS,0,,2012-03-26 16:00,2012-05-25 08:00
20,86055,88360,88366,1340,1340,PR_FS,56,,2012-04-02 16:00,2012-03-27 08:00
21,86062,88377,88362,1340,1340,PR_FS,0,,2012-05-14 16:00,2012-05-18 08:00
22,86066,88376,88364,1340,1340,PR_FS,0,,2012-04-22 16:00,2012-05-24 08:00
23,86067,88376,88365,1340,1340,PR_FS,0,,2012-05-23 16:00,2012-05-24 08:00
24,86070,88353,88376,1340,1340,PR_FS,0,,2012-05-31 16:00,2012-05-31 16:00
25,86071,88353,88377,1340,1340,PR_FS,0,,2012-05-28 16:00,2012-05-31 16:00
26,86072,88353,88375,1340,1340,PR_FS,0,,2012-04-02 16:00,2012-05-31 16:00
27,86073,88358,88349,1340,1340,PR_FS,240,,2012-03-13 16:00,2012-03-15 08:00
28,86077,88353,88381,1340,1340,PR_FS,0,,2012-05-27 16:00,2012-05-31 16:00
29,86128,88371,88368,1340,1340,PR_FS,0,,2012-01-14 16:00,2012-01-15 08:00
30,86129,88356,88347,1340,1340,PR_FS,0,,2012-01-29 16:00,2012-02-04 08:00
31,86130,88362,88360,1340,1340,PR_FS,16,,2012-04-24 16:00,2012-04-23 08:00
32,86131,88379,88360,1340,1340,PR_FS,0,,2012-04-22 16:00,2012-04-23 08:00
33,86135,88381,88379,1340,1340,PR_FS,0,,2012-05-12 16:00,2012-05-17 08:00
34,86136,88380,88379,1340,1340,PR_SS,40,,2012-04-27 16:00,2012-04-03 08:00
35,86137,88396,88379,1340,1340,PR_FS,0,,2012-05-12 16:00,2012-05-17 08:00
36,86138,88363,88380,1340,1340,PR_FS,-48,,2012-05-17 08:00,2012-05-22 16:00
37,86139,88373,88379,1340,1340,PR_SS,40,,2012-04-27 16:00,2012-04-12 08:00
38,86140,88378,88362,1340,1340,PR_FS,16,,2012-05-16 16:00,2012-05-15 08:00
39,86141,88363,88373,1340,1340,PR_FS,0,,2012-05-07 16:00,2012-05-17 08:00
40,86142,88353,88378,1340,1340,PR_FS,0,,2012-05-31 16:00,2012-05-31 16:00
41,86143,88361,88362,1340,1340,PR_FS,0,,2012-05-14 16:00,2012-05-18 08:00
42,86144,88365,88369,1340,1340,PR_FS,0,,2012-05-03 16:00,2012-05-04 08:00
43,86145,88365,88360,1340,1340,PR_FS,0,,2012-04-22 16:00,2012-05-04 08:00
44,86146,88365,88359,1340,1340,PR_FS,0,,2012-04-02 16:00,2012-05-04 08:00
45,86147,88364,88357,1340,1340,PR_FS,0,,2012-03-14 16:00,2012-05-04 08:00
46,86148,88364,88359,1340,1340,PR_FS,0,,2012-04-02 16:00,2012-05-04 08:00
47,86149,88370,88360,1340,1340,PR_FS,-48,,2012-04-17 08:00,2012-04-23 16:00
48,86150,88353,88351,1340,1340,PR_FS,0,,2012-05-30 16:00,2012-05-31 16:00
