,task_id,actv_code_type_id,actv_code_id,proj_id
0,92887,7951,12805,1594
1,92888,7951,12806,1594
2,92889,7951,12805,1594
3,92890,7951,12806,1594
4,92891,7951,12805,1594
5,92892,7951,12806,1594
6,92893,7951,12805,1594
7,92894,7951,12806,1594
8,92895,7951,12805,1594
9,92896,7951,12806,1594
10,92897,7951,12805,1594
11,92898,7951,12806,1594
12,92899,7951,12805,1594
13,92900,7951,12806,1594
14,92901,7951,12805,1594
15,92902,7951,12806,1594
16,92903,7951,12805,1594
17,92904,7951,12806,1594
18,92905,7951,12805,1594
19,92906,7951,12806,1594
20,92907,7951,12806,1594
21,92908,7951,12805,1594
22,92909,7951,12805,1594
23,92910,7951,12806,1594
24,92911,7951,12805,1594
25,92912,7951,12806,1594
26,92913,7951,12805,1594
27,92914,7951,12806,1594
28,92915,7951,12806,1594
29,92916,7951,12805,1594
30,92917,7951,12805,1594
31,92918,7951,12806,1594
32,92919,7951,12805,1594
33,92920,7951,12806,1594
34,92921,7951,12805,1594
35,92922,7951,12806,1594
36,92923,7951,12805,1594
37,92924,7951,12806,1594
38,93850,7951,12805,1594
39,93851,7951,12806,"1594
%E"
