,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,89791,89975,89974,1594,1594,PR_FS,0,,2012-09-26 16:00,2013-11-27 08:00
1,89793,89977,89976,1594,1594,PR_FS,0,,2012-10-11 16:00,2013-12-12 08:00
2,89794,89978,89977,1594,1594,PR_FS,0,,2012-10-14 16:00,2013-12-15 08:00
3,89795,89979,89978,1594,1594,PR_FS,0,,2012-10-22 16:00,2013-12-23 08:00
4,89796,89980,89979,1594,1594,PR_FS,0,,2012-10-24 16:00,2013-12-25 08:00
5,89797,89991,89990,1594,1594,PR_FS,0,,2012-06-25 16:00,2013-10-26 08:00
6,89798,89998,89975,1594,1594,PR_FS,0,,2012-10-02 16:00,2013-12-03 08:00
7,89799,89976,89998,1594,1594,PR_FS,0,,2012-10-08 16:00,2013-12-09 08:00
8,89800,89992,89991,1594,1594,PR_FS,0,,2012-07-01 16:00,2013-10-31 08:00
9,89801,89993,89992,1594,1594,PR_FS,0,,2012-07-05 16:00,2013-11-05 08:00
10,89802,89994,89993,1594,1594,PR_FS,0,,2012-07-14 16:00,2013-11-13 08:00
11,89803,89999,89994,1594,1594,PR_FS,0,,2012-07-22 16:00,2013-11-21 08:00
12,89804,89995,89999,1594,1594,PR_FS,0,,2012-07-28 16:00,2013-11-27 08:00
13,89805,90000,89995,1594,1594,PR_FS,0,,2012-07-29 16:00,2013-11-28 08:00
14,89806,89996,90000,1594,1594,PR_FS,0,,2012-08-06 16:00,2013-12-07 08:00
15,89807,90008,90007,1594,1594,PR_FS,0,,2012-09-26 16:00,2013-12-08 08:00
16,89808,90001,90008,1594,1594,PR_FS,0,,2012-10-02 16:00,2013-12-14 08:00
17,89809,90006,90001,1594,1594,PR_FS,0,,2012-10-14 16:00,2013-12-25 08:00
18,89810,90004,90006,1594,1594,PR_FS,0,,2012-10-15 16:00,2013-12-26 08:00
19,89811,90003,90004,1594,1594,PR_FS,0,,2012-10-17 16:00,2013-12-29 08:00
20,89812,90014,90013,1594,1594,PR_FS,0,,2012-11-12 16:00,2013-12-08 08:00
21,89813,90009,90014,1594,1594,PR_FS,0,,2012-11-18 16:00,2013-12-14 08:00
22,89814,90012,90009,1594,1594,PR_FS,0,,2012-11-29 16:00,2013-12-25 08:00
23,89815,90011,90012,1594,1594,PR_FS,0,,2012-12-01 16:00,2013-12-26 08:00
24,89816,90010,90011,1594,1594,PR_FS,0,,2012-12-03 16:00,2013-12-29 08:00
25,89817,90016,90015,1594,1594,PR_FS,0,,2012-11-25 16:00,2013-10-13 08:00
26,89818,90017,90016,1594,1594,PR_FS,0,,2012-12-06 16:00,2013-10-24 08:00
