,wbs_id,proj_id,obs_id,seq_num,est_wt,proj_node_flag,sum_data_flag,status_code,wbs_short_name,wbs_name,phase_id,parent_wbs_id,ev_user_pct,ev_etc_user_value,orig_cost,indep_remain_total_cost,ann_dscnt_rate_pct,dscnt_period_type,indep_remain_work_qty,anticip_start_date,anticip_end_date,ev_compute_type,ev_etc_compute_type,guid,tmpl_guid,plan_open_state
0,12359,1594,565,708,1,Y,N,WS_Open,GAMA-11,KATAMYA  AIRBASE,,10170,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,skPIegL7xkeS49ZcMgUAYA,,
1,12360,1594,565,0,1,N,N,WS_Open,1,Airfield lighting vault (ZA),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,xNIzELeOO06u55DeRDCOug,,
2,12361,1594,565,26,1,N,N,WS_Open,2,Vehicle fuel station (Y),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,HWmBogbZ0EO0CD3e7FnfRg,,
3,12362,1594,565,6,1,N,N,WS_Open,3,Aircraft wash rack,,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,RtCciu4jCESYH5TDkvN2Lw,,
4,12363,1594,565,0,1,N,N,WS_Open,4,Water distribution pump house (W),,12365,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,GhmAhWuSY0ivTbgMDV1PLw,,
5,12364,1594,565,1,1,N,N,WS_Open,5,Guard Towers(33) and Fences (V),,12365,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,4aYY2da6CEuI5I9pi+Ch7w,,
6,12365,1594,565,7,1,N,N,WS_Open,6,Base gate house (U),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,3LNxzGw2OkC6SYXjv/qZ4A,,
7,12366,1594,565,10,1,N,N,WS_Open,7,Communication building (T),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,Ynl8/74rpka9ltpKGGi7IQ,,
8,12367,1594,565,1,1,N,N,WS_Open,8,Air wing vehicle workshop (S),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,thHRZewkU0yStKIeIdOriQ,,
9,12368,1594,565,25,1,N,N,WS_Open,9,Vehicle sunshade 8 bays,,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,zppO0nC2cEuhy6LD8fAgRg,,
10,12369,1594,565,24,1,N,N,WS_Open,10,Vehicle sunshade 10 bays (Q),,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,3BrOfFLixEu1JY/qw1Rhdw,,
11,12370,1594,565,12,1,N,N,WS_Open,11,Equipment storage workshop,,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,P67hAC0/Zkq4dD0NRrj/Ig,,
12,12371,1594,565,2,1,N,N,WS_Open,12,Aircraft supply storage ware house,,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,B+4hHM7BgE6KEOhMmIF0Tg,,
13,12372,1594,565,18,1,N,N,WS_Open,13,Maintenance hangar,,13061,4,0.88,0.00,0.00,,,,,,EC_Cmp_pct,EE_Rem_hr,n6g7T4S1sUO9mMsrdKHiaA,,
