,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,89974,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1000,Excavation,,2920,0,16,0,0,0,16,0,0,0,,,,2013-11-25 08:00,2013-11-26 16:00,,2012-09-25 08:00,2012-09-26 16:00,2012-09-25 08:00,2012-09-26 16:00,2012-09-25 08:00,2012-09-26 16:00,,2013-11-25 08:00,2013-11-26 16:00,,PT_Normal,,,,,m46KdPPFnESLTJHCSUu1PQ,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
1,89975,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1010,Foundation,,2920,0,40,0,0,0,40,0,0,0,,,,2013-11-27 08:00,2013-12-02 16:00,,2012-09-27 08:00,2012-10-02 16:00,2012-09-27 08:00,2012-10-02 16:00,2012-09-27 08:00,2012-10-02 16:00,,2013-11-27 08:00,2013-12-02 16:00,,PT_Normal,,,,,Bs7CZok/oU65iMtSN+2WCQ,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
2,89976,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Tank installation,,2920,0,24,0,0,0,24,0,0,0,,,,2013-12-09 08:00,2013-12-11 16:00,,2012-10-09 08:00,2012-10-11 16:00,2012-10-09 08:00,2012-10-11 16:00,2012-10-09 08:00,2012-10-11 16:00,,2013-12-09 08:00,2013-12-11 16:00,,PT_Normal,,,,,g3ZJczJwjU2LTnw7YWPeRA,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
3,89977,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,Backfilling,,2920,0,16,0,0,0,16,0,0,0,,,,2013-12-12 08:00,2013-12-14 16:00,,2012-10-13 08:00,2012-10-14 16:00,2012-10-13 08:00,2012-10-14 16:00,2012-10-13 08:00,2012-10-14 16:00,,2013-12-12 08:00,2013-12-14 16:00,,PT_Normal,,,,,LbpHjI8IUE2ErjG3RyF/oQ,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
4,89978,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Canopy system installation,,2920,0,56,0,0,0,56,0,0,0,,,,2013-12-15 08:00,2013-12-22 16:00,,2012-10-15 08:00,2012-10-22 16:00,2012-10-15 08:00,2012-10-22 16:00,2012-10-15 08:00,2012-10-22 16:00,,2013-12-15 08:00,2013-12-22 16:00,,PT_Normal,,,,,gpwMd0cDv0eWnk5BmXDp5g,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
5,89979,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Fuel dispenser installation,,2920,0,16,0,0,0,16,0,0,0,,,,2013-12-23 08:00,2013-12-24 16:00,,2012-10-23 08:00,2012-10-24 16:00,2012-10-23 08:00,2012-10-24 16:00,2012-10-23 08:00,2012-10-24 16:00,,2013-12-23 08:00,2013-12-24 16:00,,PT_Normal,,,,,6njgm+2cCU2/HzW7vtMJoA,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
6,89980,1594,12808,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,Casting slab concrete,,2920,2920,40,0,0,0,40,0,0,0,,,,2013-12-25 08:00,2013-12-30 16:00,,2012-10-25 08:00,2012-10-30 16:00,2012-10-25 08:00,2012-10-30 16:00,2012-10-25 08:00,2012-10-30 16:00,,2013-12-25 08:00,2013-12-30 16:00,,PT_Normal,,,,,iJ5305KuWkC9ueOvHW50UA,,,,N,0,0,,,2012-01-05 11:03,2012-01-23 18:19,admin,admin
7,89990,1594,12788,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,Excavation,,3336,0,16,0,0,0,16,0,0,0,,,,2013-10-23 08:00,2013-10-24 16:00,,2012-06-24 08:00,2012-06-25 16:00,2012-06-24 08:00,2012-06-25 16:00,2012-06-24 08:00,2012-06-25 16:00,,2013-10-23 08:00,2013-10-24 16:00,,PT_Normal,,,,,MPY205dx60SP3ytq5tBuyw,m46KdPPFnESLTJHCSUu1PQ,,,N,0,0,,,2012-01-05 11:20,2012-01-23 18:13,admin,admin
8,89991,1594,12788,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,Foundation,,3336,0,40,0,0,0,40,0,0,0,,,,2013-10-26 08:00,2013-10-30 16:00,,2012-06-26 08:00,2012-07-01 16:00,2012-06-26 08:00,2012-07-01 16:00,2012-06-26 08:00,2012-07-01 16:00,,2013-10-26 08:00,2013-10-30 16:00,,PT_Normal,,,,,td5MyLpnbEyW9KOK8d0m0A,Bs7CZok/oU65iMtSN+2WCQ,,,N,0,0,,,2012-01-05 11:20,2012-01-23 18:13,admin,admin
9,89992,1594,12788,1772,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1090,Columns,,3336,0,32,0,0,0,32,0,0,0,,,,2013-10-31 08:00,2013-11-04 16:00,,2012-07-02 08:00,2012-07-05 16:00,2012-07-02 08:00,2012-07-05 16:00,2012-07-02 08:00,2012-07-05 16:00,,2013-10-31 08:00,2013-11-04 16:00,,PT_Normal,,,,,KC8ypy1+xEuMqcpUNUYuKA,,,,N,0,0,,,2012-01-05 11:21,2012-01-23 18:13,admin,admin
