,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt
0,83888,766,10682,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1000,Receiving IFC drawings,,0,0,0,0,0,0,0,0,0,0,,,,2010-07-07 08:00,2010-07-07 08:00,,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,,2010-07-07 08:00,2010-07-07 08:00,,PT_Normal,,,,,B0mNQ6WdCEC/nkxtk6wHfQ,,,,Y,0,0,,,2010-06-29 15:36,2010-08-23 14:26,admin,admin,,,
1,83889,766,10682,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1010,Receiving advance payement,,0,0,0,0,0,0,0,0,0,0,,,,2010-07-07 08:00,2010-07-07 08:00,,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,2010-07-07 08:00,,2010-07-07 08:00,2010-07-07 08:00,,PT_Normal,,,,,tsw7qGchI0Koh7M2tcreRg,,,,Y,0,0,,,2010-06-29 15:36,2010-08-23 14:26,admin,admin,,,
2,83890,766,10682,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1020,start construction phase,,0,0,0,0,0,0,0,0,0,0,,,,2010-07-17 08:00,2010-07-17 08:00,,2010-07-17 08:00,2010-07-17 08:00,2010-07-17 08:00,2010-07-17 08:00,2010-07-17 08:00,2010-07-17 08:00,,2010-07-17 08:00,2010-07-17 08:00,,PT_Normal,,,,,EZkCZjLIAkG1J2CzGRknsw,,,,Y,0,0,,,2010-06-29 15:36,2010-08-23 14:26,admin,admin,,,
3,83891,766,10682,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1030,finish construction,,0,0,0,0,0,0,0,0,0,0,,,,2011-04-03 16:00,2011-04-03 16:00,,2011-04-03 16:00,2011-04-03 16:00,2011-04-03 16:00,2011-04-03 16:00,2011-04-03 16:00,2011-04-03 16:00,,2011-04-03 16:00,2011-04-03 16:00,,PT_Normal,,,,,CPdrc8BafE+CXTEJ9ETvwg,,,,Y,0,0,,,2010-06-29 15:36,2010-08-23 14:26,admin,admin,,,
4,83963,766,10685,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1330,columns Formwork & Rft. Part 2,,0,0,64,0,0,0,64,0,0,0,,,,2010-07-17 08:00,2010-07-25 16:00,,2010-07-17 08:00,2010-07-25 16:00,2010-07-17 08:00,2010-07-25 16:00,2010-07-17 08:00,2010-07-25 16:00,,2010-07-17 08:00,2010-07-25 16:00,,PT_Normal,,,,,+upb8ujqUEWndAiJRa1e1g,,,,Y,0,0,,,2010-06-30 11:56,2010-08-23 14:26,admin,admin,,,
5,83964,766,10685,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1340,Columns Pouring Part2,,0,0,8,0,0,0,8,0,0,0,,,,2010-07-26 08:00,2010-07-26 16:00,,2010-07-26 08:00,2010-07-26 16:00,2010-07-26 08:00,2010-07-26 16:00,2010-07-26 08:00,2010-07-26 16:00,,2010-07-26 08:00,2010-07-26 16:00,,PT_Normal,,,,,4at5/9Mk+EKibwkfkLZYlA,,,,Y,0,0,,,2010-06-30 11:56,2010-08-23 14:26,admin,admin,,,
6,83965,766,10685,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1350,Slab Formwork & Rft. Part1,,88,88,80,0,0,0,80,0,0,0,,,,2010-07-29 08:00,2010-08-09 16:00,,2010-07-17 08:00,2010-07-27 16:00,2010-07-17 08:00,2010-07-27 16:00,2010-07-17 08:00,2010-07-27 16:00,,2010-07-29 08:00,2010-08-09 16:00,,PT_Normal,,,,,ykmdjJ+gj0q48VGyoljOMQ,,,,N,0,0,,,2010-06-30 12:14,2010-08-23 14:18,admin,admin,,,
7,83967,766,10685,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1370,Slab Formwork & Rft. Part2,,0,0,80,0,0,0,80,0,0,0,,,,2010-07-29 08:00,2010-08-09 16:00,,2010-07-29 08:00,2010-08-09 16:00,2010-07-29 08:00,2010-08-09 16:00,2010-07-29 08:00,2010-08-09 16:00,,2010-07-29 08:00,2010-08-09 16:00,,PT_Normal,,,,,sdv3Sx5AbUmRY/UPtXf7dg,,,,Y,0,0,,,2010-06-30 12:14,2010-08-23 14:26,admin,admin,,,
8,83968,766,10685,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1380,Slab Pouring,,0,0,8,0,0,0,8,0,0,0,,,,2010-08-10 08:00,2010-08-10 16:00,,2010-08-10 08:00,2010-08-10 16:00,2010-08-10 08:00,2010-08-10 16:00,2010-08-10 08:00,2010-08-10 16:00,,2010-08-10 08:00,2010-08-10 16:00,,PT_Normal,,,,,meh/k+X9ZUW8RX3mxzp0pA,,,,Y,0,0,,,2010-06-30 12:14,2010-08-23 14:26,admin,admin,,,
9,84010,766,10686,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1390,columns Formwork & Rft. Part1,,0,0,64,0,0,0,64,0,0,0,,,,2010-08-12 08:00,2010-08-21 16:00,,2010-08-12 08:00,2010-08-21 16:00,2010-08-12 08:00,2010-08-21 16:00,2010-08-12 08:00,2010-08-21 16:00,,2010-08-12 08:00,2010-08-21 16:00,,PT_Normal,,,,,/x5fSEZlc0C9tJhTF68FTw,aoAXnv9EYkKsSuO3clPmlw,,,Y,0,0,,,2010-06-30 14:41,2010-08-23 14:26,admin,admin,,,
