,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,71770,83964,83963,766,766,PR_FS,0,,2010-07-25 16:00,2010-07-26 08:00
1,71771,83967,83964,766,766,PR_FS,16,,2010-07-28 16:00,2010-07-27 08:00
2,71772,83968,83967,766,766,PR_FS,0,,2010-08-09 16:00,2010-08-10 08:00
3,71836,84011,84010,766,766,PR_FS,0,,2010-08-21 16:00,2010-08-22 08:00
4,71837,84014,84011,766,766,PR_FS,8,,2010-08-23 16:00,2010-09-02 08:00
5,71839,84013,84012,766,766,PR_FS,0,,2010-08-30 16:00,2010-08-31 08:00
6,71840,84016,84013,766,766,PR_FS,16,,2010-09-02 16:00,2010-09-01 08:00
7,71841,84017,84016,766,766,PR_FS,0,,2010-09-15 16:00,2010-09-16 08:00
8,71848,84012,83968,766,766,PR_FS,8,,2010-08-11 16:00,2010-08-21 08:00
9,71849,84021,84020,766,766,PR_FS,0,,2010-09-27 16:00,2010-09-28 08:00
10,71850,84024,84021,766,766,PR_FS,8,,2010-09-29 16:00,2010-10-10 08:00
11,71852,84023,84022,766,766,PR_FS,0,,2010-10-06 16:00,2010-10-07 08:00
12,71853,84026,84023,766,766,PR_FS,16,,2010-10-10 16:00,2010-10-09 08:00
13,71854,84027,84026,766,766,PR_FS,0,,2010-10-21 16:00,2010-10-23 08:00
14,71861,84022,84017,766,766,PR_FS,8,,2010-09-18 16:00,2010-09-27 08:00
15,71862,84031,84030,766,766,PR_FS,0,,2010-11-02 16:00,2010-11-03 08:00
16,71863,84034,84031,766,766,PR_FS,8,,2010-11-04 16:00,2010-11-14 08:00
17,71865,84033,84032,766,766,PR_FS,0,,2010-11-10 16:00,2010-11-11 08:00
18,71866,84036,84033,766,766,PR_FS,16,,2010-11-14 16:00,2010-11-13 08:00
19,71867,84037,84036,766,766,PR_FS,0,,2010-11-29 16:00,2010-11-30 08:00
20,71874,84032,84027,766,766,PR_FS,8,,2010-10-24 16:00,2010-11-01 08:00
21,71875,84041,84040,766,766,PR_FS,0,,2010-12-11 16:00,2010-12-12 08:00
22,71876,84044,84041,766,766,PR_FS,8,,2010-12-13 16:00,2010-12-22 08:00
23,71878,84043,84042,766,766,PR_FS,0,,2010-12-19 16:00,2010-12-20 08:00
24,71879,84046,84043,766,766,PR_FS,16,,2010-12-22 16:00,2010-12-21 08:00
25,71880,84047,84046,766,766,PR_FS,0,,2011-01-03 16:00,2011-01-04 08:00
26,71887,84042,84037,766,766,PR_FS,8,,2010-12-01 16:00,2010-12-09 08:00
27,71888,84051,84050,766,766,PR_FS,0,,2011-01-15 16:00,2011-01-16 08:00
