,task_id,actv_code_type_id,actv_code_id,proj_id
0,109615,7292,13503,764
1,109616,7292,13503,764
2,109617,7292,13502,764
3,109618,7292,13503,764
4,109621,7292,13502,764
5,109626,7292,13503,764
6,109627,7292,13502,764
7,109628,7292,13516,764
8,109629,7292,13517,764
9,109630,7292,13516,764
10,109631,7292,13517,764
11,109632,7292,13516,764
12,109633,7292,13517,764
13,109634,7292,13516,764
14,109635,7292,13517,764
15,109636,7292,13516,764
16,109637,7292,13517,764
17,109638,7292,13517,764
18,109639,7292,13516,764
19,109640,7292,13508,764
20,109641,7292,13508,764
21,109642,7292,13508,764
22,109643,7292,13508,764
23,109644,7292,13508,764
24,109645,7292,13508,764
25,109646,7292,13508,764
26,109647,7294,13512,764
27,109649,7294,13512,764
28,109653,7292,13516,764
29,109654,7292,13507,764
30,109657,7292,13506,764
31,109658,7292,13506,764
32,109659,7292,13506,764
33,109660,7292,13506,764
34,109661,7292,13506,764
35,109661,7294,13512,764
36,109662,7292,13507,764
37,109662,7294,13510,764
38,109663,7292,13507,764
39,109664,7292,13507,764
40,109665,7292,13507,764
41,109667,7294,13510,764
42,109670,7292,13504,764
43,109670,7294,13510,764
44,109674,7294,13512,764
45,109675,7294,13510,764
46,109677,7292,13507,764
47,109677,7294,13512,764
48,109678,7294,13512,764
49,109679,7292,13506,764
50,109679,7294,13510,764
51,109680,7294,13512,764
52,109692,7294,13512,764
