,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,116868,109616,109615,764,764,PR_FS,0,,2010-01-26 16:00,2010-01-27 08:00
1,116869,109617,109626,764,764,PR_FS,0,,2010-02-09 16:00,2010-02-10 08:00
2,116870,109622,109614,764,764,PR_FS,0,,2010-01-23 16:00,2010-01-24 08:00
3,116871,109615,109622,764,764,PR_FS,0,,2010-01-24 16:00,2010-01-25 08:00
4,116872,109652,109616,764,764,PR_FS,0,,2010-02-03 16:00,2010-02-04 08:00
5,116873,109626,109652,764,764,PR_FS,0,,2010-02-04 16:00,2010-02-06 08:00
6,116874,109621,109623,764,764,PR_FS,0,,2010-04-14 16:00,2010-04-15 08:00
7,116875,109618,109624,764,764,PR_FS,0,,2010-05-15 16:00,2010-05-16 08:00
8,116876,109620,109619,764,764,PR_FS,0,,2010-03-06 16:00,2010-03-07 08:00
9,116877,109623,109620,764,764,PR_FS,0,,2010-03-10 16:00,2010-03-11 08:00
10,116878,109625,109621,764,764,PR_FS,0,,2010-04-29 16:00,2010-05-01 08:00
11,116879,109627,109618,764,764,PR_FS,0,,2010-05-17 16:00,2010-05-18 08:00
12,116880,109624,109625,764,764,PR_FS,0,,2010-05-02 16:00,2010-05-03 08:00
13,116881,109629,109628,764,764,PR_FS,0,,2010-06-20 16:00,2010-06-21 08:00
14,116882,109630,109629,764,764,PR_FS,0,,2010-06-29 16:00,2010-06-30 08:00
15,116883,109631,109630,764,764,PR_FS,0,,2010-07-24 16:00,2010-07-25 08:00
16,116884,109632,109631,764,764,PR_FS,0,,2010-08-02 16:00,2010-08-03 08:00
17,116885,109634,109633,764,764,PR_FS,0,,2010-09-05 16:00,2010-09-06 08:00
18,116886,109635,109634,764,764,PR_FS,0,,2010-09-29 16:00,2010-09-30 08:00
19,116887,109636,109635,764,764,PR_FS,0,,2010-10-09 16:00,2010-10-10 08:00
20,116888,109637,109636,764,764,PR_FS,0,,2010-11-02 16:00,2010-11-03 08:00
21,116889,109639,109638,764,764,PR_FS,0,,2010-12-11 16:00,2011-01-17 08:00
22,116890,109633,109632,764,764,PR_FS,0,,2010-08-26 16:00,2010-08-28 08:00
23,116891,109653,109637,764,764,PR_FS,0,,2010-11-11 16:00,2010-11-13 08:00
24,116892,109638,109653,764,764,PR_FS,0,,2010-12-06 16:00,2011-01-12 08:00
25,116893,109628,109627,764,764,PR_FS,0,,2010-05-26 16:00,2010-05-27 08:00
26,116894,109650,109648,764,764,PR_FS,0,,2011-01-23 16:00,2011-02-01 08:00
27,116895,109649,109647,764,764,PR_FS,0,,2010-10-13 16:00,2011-02-14 08:00
28,116896,109692,109647,764,764,PR_FS,0,,2010-10-13 16:00,2011-02-06 08:00
29,116897,109641,109700,764,764,PR_FS,0,,2010-08-07 16:00,2011-01-03 08:00
30,116898,109644,109699,764,764,PR_FS,0,,2010-11-16 16:00,2010-12-21 08:00
31,116899,109642,109703,764,764,PR_FS,0,,2010-09-09 16:00,2011-01-03 08:00
32,116900,109643,109702,764,764,PR_FS,0,,2010-10-13 16:00,2010-12-21 08:00
33,116901,109645,109704,764,764,PR_FS,0,,2010-12-20 16:00,2010-12-21 08:00
34,116902,109646,109705,764,764,PR_FS,0,,2010-12-29 16:00,2011-02-05 08:00
35,116903,109679,109649,764,764,PR_FS,0,,2010-10-25 16:00,2011-03-08 08:00
36,116904,109657,109649,764,764,PR_FS,0,,2010-10-25 16:00,2011-02-26 08:00
37,116905,109661,109649,764,764,PR_FS,0,,2010-10-25 16:00,2011-03-08 08:00
38,116906,109657,109692,764,764,PR_FS,0,,2010-11-02 16:00,2011-02-26 08:00
39,116907,109661,109692,764,764,PR_FS,0,,2010-11-02 16:00,2011-03-08 08:00
40,116908,109679,109692,764,764,PR_FS,0,,2010-11-02 16:00,2011-03-08 08:00
41,116909,109684,109691,764,764,PR_FS,0,,2011-03-23 16:00,2011-05-29 08:00
42,116910,109691,109683,764,764,PR_FS,0,,2011-03-15 16:00,2011-05-21 08:00
43,116911,109683,109658,764,764,PR_FS,0,,2011-03-07 16:00,2011-05-12 08:00
44,116912,109682,109657,764,764,PR_FS,0,,2010-11-25 16:00,2011-04-02 08:00
45,116913,109669,109682,764,764,PR_FS,0,,2010-12-30 16:00,2011-04-25 08:00
46,116914,109640,109701,764,764,PR_FS,0,,2010-07-04 16:00,2011-01-03 08:00
47,116915,109647,109640,764,764,PR_FS,0,,2010-07-27 16:00,2011-01-26 08:00
48,116916,109654,109669,764,764,PR_FS,0,,2011-01-27 16:00,2011-06-02 08:00
49,116917,109698,109669,764,764,PR_FS,0,,2011-01-27 16:00,2011-05-23 08:00
50,116918,109614,109707,764,764,PR_FS,0,,2010-01-16 08:00,2010-01-16 08:00
51,116919,109651,109618,764,764,PR_FS,0,,2010-05-17 16:00,2010-05-26 16:00
52,116920,109628,109708,764,764,PR_FS,0,,2010-05-18 08:00,2010-05-27 08:00
53,116921,109709,109639,764,764,PR_FS,0,,2010-12-15 16:00,2011-06-13 16:00
54,116922,109640,109710,764,764,PR_FS,0,,2010-07-05 08:00,2011-01-03 08:00
55,116923,109711,109646,764,764,PR_FS,0,,2011-01-05 16:00,2011-02-10 16:00
56,116924,109708,109651,764,764,PR_FS,0,,2010-05-17 16:00,2010-05-27 08:00
57,116925,109701,109628,764,764,PR_FS,0,,2010-06-20 16:00,2010-12-20 08:00
58,116926,109700,109630,764,764,PR_FS,0,,2010-07-24 16:00,2010-12-20 08:00
59,116927,109703,109632,764,764,PR_FS,0,,2010-08-26 16:00,2010-12-20 08:00
60,116928,109702,109634,764,764,PR_FS,0,,2010-09-29 16:00,2010-12-07 08:00
