,task_id,proj_id,wbs_id,clndr_id,est_wt,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,review_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,review_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user
0,100231,2212,13935,841,0,0,N,N,N,CP_Drtn,TT_Mile,DT_FixedDrtn,RV_OK,TK_NotStart,A1000,Commencement date,,0,0,0,0,0,0,0,0,0,0,,,,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,2012-01-01 08:00,,2012-01-01 08:00,2012-01-01 08:00,,PT_Normal,,,,,stA1X73F80CJlm1dPntDEA,,,,Y,0,0,,,2012-02-02 10:06,2012-02-02 11:00,admin,admin
1,100232,2212,13935,841,0,0,N,N,N,CP_Drtn,TT_FinMile,DT_FixedDrtn,RV_OK,TK_NotStart,A1010,Project handing over,,0,0,0,0,0,0,0,0,0,0,,,,2012-04-15 16:00,2012-04-15 16:00,,2012-04-15 16:00,2012-04-15 16:00,2012-04-15 16:00,2012-04-15 16:00,2012-04-15 16:00,2012-04-15 16:00,,2012-04-15 16:00,2012-04-15 16:00,,PT_Normal,,,,,G3+CN3IcQ06Y0ApSQlV+sw,,,,Y,0,0,,,2012-02-02 10:06,2012-02-05 13:13,admin,admin
2,100233,2212,13988,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1020,Cleaning site,,168,0,112,0,0,0,112,0,0,0,,,,2012-02-11 08:00,2012-02-26 16:00,,2012-01-17 08:00,2012-02-01 16:00,2012-01-17 08:00,2012-02-01 16:00,2012-01-17 08:00,2012-02-01 16:00,,2012-02-11 08:00,2012-02-26 16:00,,PT_Normal,,,,,mssJ5UbcV0OGfjhy2AmpIA,,,,N,0,0,,,2012-02-02 10:08,2012-02-05 13:05,admin,admin
3,100234,2212,13988,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1030,Excavation,,168,0,112,0,0,0,112,0,0,0,,,,2012-02-27 08:00,2012-03-13 16:00,,2012-02-02 08:00,2012-02-18 16:00,2012-02-02 08:00,2012-02-18 16:00,2012-02-02 08:00,2012-02-18 16:00,,2012-02-27 08:00,2012-03-13 16:00,,PT_Normal,,,,,S6mG16V4hUSRMJCePhTgsA,,,,N,0,0,,,2012-02-02 10:09,2012-02-05 13:05,admin,admin
4,100235,2212,13988,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1040,Backfilling,,168,0,112,0,0,0,112,0,0,0,,,,2012-03-14 08:00,2012-03-29 16:00,,2012-02-19 08:00,2012-03-05 16:00,2012-02-19 08:00,2012-03-05 16:00,2012-02-19 08:00,2012-03-05 16:00,,2012-03-14 08:00,2012-03-29 16:00,,PT_Normal,,,,,MTT7w2m92k6kdrx3j8vRtQ,,,,N,0,0,,,2012-02-02 10:09,2012-02-05 13:05,admin,admin
5,100236,2212,13988,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1050,Base course,,168,168,112,0,0,0,112,0,0,0,,,,2012-03-31 08:00,2012-04-15 16:00,,2012-03-06 08:00,2012-03-21 16:00,2012-03-06 08:00,2012-03-21 16:00,2012-03-06 08:00,2012-03-21 16:00,,2012-03-31 08:00,2012-04-15 16:00,,PT_Normal,,,,,2JE/IfAsE0eSyj1yw8J+ZQ,,,,N,0,0,,,2012-02-02 10:09,2012-02-05 13:05,admin,admin
6,100237,2212,13934,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1060,Excavation,,88,0,112,0,0,0,112,0,0,0,,,,2012-01-30 08:00,2012-02-14 16:00,,2012-01-17 08:00,2012-02-01 16:00,2012-01-17 08:00,2012-02-01 16:00,2012-01-17 08:00,2012-02-01 16:00,,2012-01-30 08:00,2012-02-14 16:00,,PT_Normal,,,,,hemFrksdbESfLgD9TEjpmg,,,,N,0,0,,,2012-02-02 10:10,2012-02-05 13:07,admin,admin
7,100238,2212,13934,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1070,P.C footings,,88,0,240,0,0,0,240,0,0,0,,,,2012-02-05 08:00,2012-03-10 16:00,,2012-01-23 08:00,2012-02-26 16:00,2012-01-23 08:00,2012-02-26 16:00,2012-01-23 08:00,2012-02-26 16:00,,2012-02-05 08:00,2012-03-10 16:00,,PT_Normal,,,,,SyTzOECrxE+9scROGvlDOA,,,,N,0,0,,,2012-02-02 10:11,2012-02-05 13:07,admin,admin
8,100239,2212,13934,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1080,R.C footings,,88,0,240,0,0,0,240,0,0,0,,,,2012-02-09 08:00,2012-03-14 16:00,,2012-01-28 08:00,2012-03-01 16:00,2012-01-28 08:00,2012-03-01 16:00,2012-01-28 08:00,2012-03-01 16:00,,2012-02-09 08:00,2012-03-14 16:00,,PT_Normal,,,,,3eaoP88su0yqjlvIRurQEA,,,,N,0,0,,,2012-02-02 10:12,2012-02-05 13:07,admin,admin
9,100240,2212,13934,841,1,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,RV_OK,TK_NotStart,A1090,R.C columns,,88,0,240,0,0,0,240,0,0,0,,,,2012-02-18 08:00,2012-03-22 16:00,,2012-02-05 08:00,2012-03-10 16:00,2012-02-05 08:00,2012-03-10 16:00,2012-02-05 08:00,2012-03-10 16:00,,2012-02-18 08:00,2012-03-22 16:00,,PT_Normal,,,,,sS9/6GIuhkW9Y1ut3aLeBw,,,,N,0,0,,,2012-02-02 10:12,2012-02-05 13:07,admin,admin
