,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,115709,100238,100237,2212,2212,PR_SS,40,,2012-01-22 16:00,2012-01-14 08:00
1,115710,100239,100238,2212,2212,PR_SS,32,,2012-01-26 16:00,2012-01-01 08:00
2,115711,100243,100239,2212,2212,PR_FF,0,,2012-01-28 08:00,2012-03-14 16:00
3,115712,100240,100243,2212,2212,PR_FF,56,,2012-02-05 08:00,2012-03-15 08:00
4,115713,100241,100240,2212,2212,PR_SS,80,,2012-02-15 16:00,2012-01-14 08:00
5,115714,100242,100241,2212,2212,PR_SS,40,,2012-02-21 16:00,2012-02-06 08:00
6,115715,100244,100242,2212,2212,PR_SS,40,,2012-02-27 16:00,2012-02-12 08:00
7,115716,100245,100244,2212,2212,PR_SS,40,,2012-03-04 16:00,2012-02-18 08:00
8,115717,100246,100245,2212,2212,PR_SS,40,,2012-03-10 16:00,2012-02-23 08:00
9,115725,100257,100256,2212,2212,PR_FS,0,,2012-01-21 16:00,2012-01-22 08:00
10,115726,100258,100257,2212,2212,PR_FS,0,,2012-01-29 16:00,2012-01-30 08:00
11,115727,100259,100258,2212,2212,PR_FS,0,,2012-02-09 16:00,2012-02-11 08:00
12,115728,100260,100259,2212,2212,PR_FS,0,,2012-02-15 16:00,2012-02-16 08:00
13,115729,100261,100260,2212,2212,PR_FS,0,,2012-02-23 16:00,2012-02-25 08:00
14,115730,100262,100261,2212,2212,PR_FS,0,,2012-03-11 16:00,2012-03-12 08:00
15,115731,100234,100233,2212,2212,PR_FS,0,,2012-02-01 16:00,2012-02-27 08:00
16,115732,100235,100234,2212,2212,PR_FS,0,,2012-02-18 16:00,2012-03-14 08:00
17,115733,100236,100235,2212,2212,PR_FS,0,,2012-03-05 16:00,2012-03-31 08:00
18,115734,100263,100231,2212,2212,PR_FS,0,,2012-01-01 08:00,2012-01-01 08:00
19,115735,100233,100263,2212,2212,PR_FS,0,,2012-01-16 16:00,2012-02-11 08:00
20,115736,100237,100263,2212,2212,PR_FS,0,,2012-01-16 16:00,2012-01-30 08:00
21,115738,100256,100263,2212,2212,PR_FS,0,,2012-01-16 16:00,2012-01-17 08:00
22,117957,100867,100866,2212,2212,PR_SS,40,,2012-01-22 16:00,2012-01-07 08:00
23,117958,100868,100867,2212,2212,PR_SS,32,,2012-01-26 16:00,2011-12-20 08:00
24,117959,100872,100868,2212,2212,PR_FF,0,,2012-01-28 08:00,2012-03-26 16:00
25,117960,100869,100872,2212,2212,PR_FF,56,,2012-02-05 08:00,2012-03-27 08:00
26,117961,100870,100869,2212,2212,PR_SS,80,,2012-02-15 16:00,2012-01-02 08:00
27,117962,100871,100870,2212,2212,PR_SS,40,,2012-02-21 16:00,2012-01-25 08:00
28,117963,100873,100871,2212,2212,PR_SS,40,,2012-02-27 16:00,2012-01-31 08:00
29,117965,100866,100263,2212,2212,PR_FS,0,,2012-01-16 16:00,2012-01-30 08:00
30,117966,100232,100236,2212,2212,PR_FS,0,,2012-03-21 16:00,2012-04-15 16:00
31,117967,100232,100246,2212,2212,PR_FS,0,,2012-04-02 16:00,2012-04-15 16:00
32,117968,100232,100873,2212,2212,PR_FS,0,,2012-04-02 16:00,2012-04-15 16:00
33,117969,100232,100262,2212,2212,PR_FS,0,,2012-04-15 16:00,2012-04-15 16:00
34,117970,100264,100232,2212,2212,PR_FF,0,,2012-04-14 08:00,"2012-04-15 16:00
%E"
